NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,23100.0,23200.0,-100.0,-0.00431034,23100.0,23350.0,22950.0,685607.0,15873361900.0,0.0,0.0,685607.0,15873361900.0,-53773.0,10073.0,12700.0,43700.0,-1241039700.0,233229700.0,294050000.0,1007810000.0
27/08/2026,23200.0,23200.0,0.0,0.0,23050.0,23350.0,23050.0,498636.0,11566061050.0,0.0,0.0,498636.0,11566061050.0,-93350.0,58450.0,0.0,34900.0,-2159945000.0,1355890000.0,0.0,804055000.0
26/08/2026,23200.0,23050.0,150.0,0.00650759,22900.0,23250.0,22800.0,679669.0,15649443450.0,0.0,0.0,679669.0,15649443450.0,-170396.0,92696.0,0.0,77700.0,-3917552900.0,2137322900.0,0.0,1780230000.0
25/08/2026,23050.0,23000.0,50.0,0.00217391,22900.0,23150.0,22850.0,710579.0,16366371400.0,0.0,0.0,710579.0,16366371400.0,-15176.0,62276.0,0.0,-47100.0,-347607300.0,1429282300.0,0.0,-1081675000.0
24/08/2026,23000.0,23100.0,-100.0,-0.004329,23250.0,23500.0,22950.0,559859.0,13001495550.0,0.0,0.0,559859.0,13001495550.0,-9390.0,77790.0,0.0,-68400.0,-213334700.0,1805894700.0,0.0,-1592560000.0
21/08/2026,23100.0,22400.0,700.0,0.03125,22350.0,23100.0,22250.0,1156704.0,26260740500.0,0.0,0.0,1156704.0,26260740500.0,38663.0,-13063.0,12800.0,-25600.0,846026350.0,-278181350.0,290360000.0,-567845000.0
20/08/2026,22400.0,22250.0,150.0,0.00674157,22200.0,22550.0,22200.0,525264.0,11751331150.0,0.0,0.0,525264.0,11751331150.0,-3037.0,-37563.0,0.0,40600.0,-60411500.0,-842178500.0,0.0,902590000.0
19/08/2026,22250.0,22150.0,100.0,0.00451467,22150.0,22400.0,22000.0,518636.0,11519585050.0,0.0,0.0,518636.0,11519585050.0,21590.0,110.0,0.0,-21700.0,480841000.0,2424000.0,0.0,-483265000.0
18/08/2026,22150.0,22100.0,50.0,0.00226244,22100.0,22400.0,22000.0,608428.0,13506813450.0,0.0,0.0,608428.0,13506813450.0,-110851.0,62051.0,0.0,48800.0,-2459329600.0,1381009600.0,0.0,1078320000.0
17/08/2026,22100.0,22050.0,50.0,0.00226757,22050.0,22200.0,21900.0,485764.0,10716900800.0,0.0,0.0,485764.0,10716900800.0,-12300.0,45200.0,-12600.0,-32900.0,-265830000.0,991470000.0,-278045000.0,-725640000.0
14/08/2026,22050.0,22600.0,-550.0,-0.02433628,22400.0,22400.0,22050.0,411028.0,9137043250.0,0.0,0.0,411028.0,9137043250.0,-24515.0,48415.0,-400.0,-23900.0,-562380400.0,1091555400.0,-8820000.0,-529175000.0
13/08/2026,22600.0,22750.0,-150.0,-0.00659341,22750.0,22900.0,22550.0,592320.0,13432621200.0,0.0,0.0,592320.0,13432621200.0,175288.0,-172588.0,0.0,-2700.0,3967773250.0,-3906618250.0,0.0,-61155000.0
12/08/2026,22750.0,22700.0,50.0,0.00220264,22700.0,22750.0,22550.0,488635.0,11064306500.0,0.0,0.0,488635.0,11064306500.0,-53100.0,-59600.0,300.0,112700.0,-1201195000.0,-1343875000.0,6810000.0,2545070000.0
11/08/2026,22700.0,22400.0,300.0,0.01339286,22450.0,22700.0,22450.0,496861.0,11214133500.0,0.0,0.0,496861.0,11214133500.0,22584.0,-67334.0,-12700.0,44750.0,510371950.0,-1519954150.0,-287235000.0,1009582200.0
10/08/2026,22400.0,22150.0,250.0,0.01128668,22150.0,22550.0,22150.0,515946.0,11539592600.0,0.0,0.0,515946.0,11539592600.0,16124.0,-16624.0,0.0,500.0,361042600.0,-374697600.0,0.0,13655000.0
07/08/2026,22150.0,22050.0,100.0,0.00453515,22000.0,22250.0,21900.0,435388.0,9605646050.0,0.0,0.0,435388.0,9605646050.0,-98849.0,111349.0,0.0,-12500.0,-2184617900.0,2458862900.0,0.0,-274245000.0
06/08/2026,22050.0,22500.0,-450.0,-0.02,22350.0,22500.0,22050.0,453684.0,10103947000.0,0.0,0.0,453684.0,10103947000.0,-119787.0,198187.0,0.0,-78400.0,-2678384400.0,4412419400.0,0.0,-1734035000.0
05/08/2026,22500.0,22400.0,100.0,0.00446429,22500.0,22850.0,22500.0,514473.0,11665003500.0,0.0,0.0,514473.0,11665003500.0,32349.0,-46049.0,0.0,13700.0,749193000.0,-1058108000.0,0.0,308915000.0
04/08/2026,22400.0,22350.0,50.0,0.00223714,22300.0,22500.0,22100.0,497863.0,11089859800.0,0.0,0.0,497863.0,11089859800.0,39039.0,-21239.0,-13000.0,-17800.0,866485000.0,-471630000.0,-291110000.0,-394855000.0
03/08/2026,22350.0,22200.0,150.0,0.00675676,22200.0,22450.0,22050.0,599466.0,13351231100.0,0.0,0.0,599466.0,13351231100.0,181060.0,-213260.0,0.0,32200.0,4036573550.0,-4737428550.0,0.0,700855000.0
31/07/2026,22200.0,22100.0,100.0,0.00452489,22200.0,22300.0,22050.0,433134.0,9610458950.0,0.0,0.0,433134.0,9610458950.0,-79001.0,91501.0,0.0,-12500.0,-1753377050.0,2030072050.0,0.0,-276695000.0
30/07/2026,22100.0,21700.0,400.0,0.01843318,21700.0,22200.0,21550.0,653882.0,14321359050.0,0.0,0.0,653882.0,14321359050.0,-59080.0,52480.0,0.0,6600.0,-1307227000.0,1173802000.0,0.0,133425000.0
29/07/2026,21700.0,21700.0,0.0,0.0,21650.0,21800.0,21500.0,382267.0,8268019050.0,0.0,0.0,382267.0,8268019050.0,217943.0,-162643.0,-500.0,-55300.0,4715493350.0,-3519518350.0,-10850000.0,-1195975000.0
28/07/2026,21700.0,21550.0,150.0,0.00696056,21400.0,21900.0,21300.0,601989.0,12942764750.0,0.0,0.0,601989.0,12942764750.0,-138203.0,240403.0,0.0,-102200.0,-2971701950.0,5182891950.0,0.0,-2211190000.0
27/07/2026,21550.0,21950.0,-400.0,-0.01822323,21950.0,22200.0,21550.0,615182.0,13487467200.0,0.0,0.0,615182.0,13487467200.0,156350.0,28950.0,0.0,-185300.0,3422692001.0,630928000.0,0.0,-4053620000.0
