NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,3440.0,3460.0,-20.0,-0.00578035,3260.0,3460.0,3260.0,5500.0,17998000.0,0.0,0.0,5500.0,17998000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,3460.0,3480.0,-20.0,-0.00574713,3350.0,3480.0,3350.0,7771.0,26081050.0,0.0,0.0,7771.0,26081050.0,1157.0,-1157.0,0.0,0.0,3851150.0,-3851150.0,0.0,0.0
26/08/2026,3480.0,3410.0,70.0,0.02052786,3540.0,3540.0,3350.0,1700.0,5841000.0,0.0,0.0,1700.0,5841000.0,-500.0,500.0,0.0,0.0,-1745000.0,1745000.0,0.0,0.0
25/08/2026,3410.0,3520.0,-110.0,-0.03125,3520.0,3520.0,3280.0,13201.0,43922330.0,0.0,0.0,13201.0,43922330.0,-4601.0,4601.0,0.0,0.0,-15336330.0,15336330.0,0.0,0.0
24/08/2026,3520.0,3490.0,30.0,0.00859599,3490.0,3630.0,3320.0,11008.0,36839640.0,0.0,0.0,11008.0,36839640.0,4400.0,-4400.0,0.0,0.0,14631001.0,-14631000.0,0.0,0.0
21/08/2026,3490.0,3490.0,0.0,0.0,3620.0,3620.0,3490.0,364.0,1296090.0,0.0,0.0,364.0,1296090.0,3.0,-3.0,0.0,0.0,11030.0,-11030.0,0.0,0.0
20/08/2026,3490.0,3490.0,0.0,0.0,3640.0,3640.0,3400.0,900.0,3093000.0,0.0,0.0,900.0,3093000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,3490.0,3660.0,-170.0,-0.04644809,3420.0,3650.0,3410.0,14640.0,50344040.0,0.0,0.0,14640.0,50344040.0,-9800.0,9800.0,0.0,0.0,-33358000.0,33358000.0,0.0,0.0
18/08/2026,3660.0,3540.0,120.0,0.03389831,3540.0,3660.0,3540.0,709.0,2534310.0,0.0,0.0,709.0,2534310.0,-499.0,499.0,0.0,0.0,-1766651.0,1766650.0,0.0,0.0
17/08/2026,3540.0,3540.0,0.0,0.0,3580.0,3580.0,3540.0,400.0,1420000.0,0.0,0.0,400.0,1420000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,3540.0,3590.0,-50.0,-0.01392758,3660.0,3660.0,3380.0,10349.0,35606750.0,0.0,0.0,10349.0,35606750.0,1038.0,-1038.0,0.0,0.0,3564440.0,-3564440.0,0.0,0.0
13/08/2026,3590.0,3590.0,0.0,0.0,3690.0,3690.0,3440.0,1003.0,3563830.0,0.0,0.0,1003.0,3563830.0,-1.0,1.0,0.0,0.0,-33449.0,33450.0,0.0,0.0
12/08/2026,3590.0,3550.0,40.0,0.01126761,3690.0,3690.0,3590.0,933.0,3366370.0,0.0,0.0,933.0,3366370.0,-100.0,100.0,0.0,0.0,-359000.0,359000.0,0.0,0.0
11/08/2026,3550.0,3370.0,180.0,0.05341246,3600.0,3600.0,3330.0,3608.0,12424400.0,0.0,0.0,3608.0,12424400.0,-1092.0,1092.0,0.0,0.0,-3908600.0,3908600.0,0.0,0.0
10/08/2026,3370.0,3600.0,-230.0,-0.06388889,3600.0,3670.0,3370.0,304.0,1077670.0,0.0,0.0,304.0,1077670.0,-2.0,2.0,0.0,0.0,-29490.0,29490.0,0.0,0.0
07/08/2026,3600.0,3530.0,70.0,0.01983003,3530.0,3680.0,3530.0,2102.0,7547360.0,0.0,0.0,2102.0,7547360.0,-1300.0,1300.0,0.0,0.0,-4612001.0,4612000.0,0.0,0.0
06/08/2026,3530.0,3550.0,-20.0,-0.0056338,3320.0,3530.0,3320.0,1320.0,4403400.0,0.0,0.0,1320.0,4403400.0,-1184.0,1184.0,0.0,0.0,-3930880.0,3930880.0,0.0,0.0
05/08/2026,3550.0,3660.0,-110.0,-0.03005464,3420.0,3550.0,3420.0,2401.0,8224650.0,0.0,0.0,2401.0,8224650.0,-2400.0,2400.0,0.0,0.0,-8221001.0,8221000.0,0.0,0.0
04/08/2026,3660.0,3660.0,0.0,0.0,3660.0,3660.0,3660.0,11.0,37850.0,0.0,0.0,11.0,37850.0,9.0,-9.0,0.0,0.0,30760.0,-30760.0,0.0,0.0
03/08/2026,3660.0,3600.0,60.0,0.01666667,3690.0,3690.0,3600.0,338.0,1231740.0,0.0,0.0,338.0,1231740.0,84.0,-84.0,0.0,0.0,301440.0,-301440.0,0.0,0.0
31/07/2026,3600.0,3580.0,20.0,0.00558659,3690.0,3690.0,3600.0,307.0,1114120.0,0.0,0.0,307.0,1114120.0,200.0,-200.0,0.0,0.0,720000.0,-720000.0,0.0,0.0
30/07/2026,3580.0,3680.0,-100.0,-0.02717391,3430.0,3580.0,3430.0,2204.0,7590320.0,0.0,0.0,2204.0,7590320.0,-2000.0,2000.0,0.0,0.0,-6860001.0,6860000.0,0.0,0.0
29/07/2026,3680.0,3720.0,-40.0,-0.01075269,3680.0,3680.0,3680.0,106.0,390300.0,0.0,0.0,106.0,390300.0,-100.0,100.0,0.0,0.0,-368000.0,368000.0,0.0,0.0
28/07/2026,3720.0,3490.0,230.0,0.06590258,3330.0,3720.0,3330.0,2054.0,6957210.0,0.0,0.0,2054.0,6957210.0,14.0,-14.0,0.0,0.0,52080.0,-52080.0,0.0,0.0
27/07/2026,3490.0,3570.0,-80.0,-0.02240896,3350.0,3540.0,3350.0,4642.0,15847190.0,0.0,0.0,4642.0,15847190.0,1511.0,-1511.0,0.0,0.0,5049650.0,-5049650.0,0.0,0.0
24/07/2026,3570.0,3340.0,230.0,0.06886228,3340.0,3570.0,3340.0,3600.0,12162000.0,0.0,0.0,3600.0,12162000.0,600.0,-600.0,0.0,0.0,2120000.0,-2120000.0,0.0,0.0
23/07/2026,3340.0,3430.0,-90.0,-0.02623907,3350.0,3490.0,3220.0,9358.0,31054570.0,0.0,0.0,9358.0,31054570.0,-7000.0,7000.0,0.0,0.0,-23150001.0,23150000.0,0.0,0.0
22/07/2026,3430.0,3540.0,-110.0,-0.03107345,3310.0,3440.0,3300.0,7602.0,25186960.0,0.0,0.0,7602.0,25186960.0,-6900.0,6900.0,0.0,0.0,-22843001.0,22843000.0,0.0,0.0
21/07/2026,3540.0,3430.0,110.0,0.03206997,3400.0,3540.0,3400.0,2108.0,7183170.0,0.0,0.0,2108.0,7183170.0,900.0,-900.0,0.0,0.0,3060000.0,-3060000.0,0.0,0.0
20/07/2026,3430.0,3470.0,-40.0,-0.01152738,3370.0,3460.0,3230.0,45904.0,148539880.0,0.0,0.0,45904.0,148539880.0,-18600.0,18600.0,0.0,0.0,-60094000.0,60094000.0,0.0,0.0
17/07/2026,3470.0,3490.0,-20.0,-0.00573066,3470.0,3470.0,3470.0,1153.0,4000910.0,0.0,0.0,1153.0,4000910.0,30.0,-30.0,0.0,0.0,104100.0,-104100.0,0.0,0.0
16/07/2026,3490.0,3510.0,-20.0,-0.00569801,3320.0,3490.0,3320.0,2380.0,8241600.0,0.0,0.0,2380.0,8241600.0,-52.0,52.0,0.0,0.0,-172640.0,172640.0,0.0,0.0
15/07/2026,3510.0,3550.0,-40.0,-0.01126761,3520.0,3520.0,3490.0,504.0,1766200.0,0.0,0.0,504.0,1766200.0,101.0,-101.0,0.0,0.0,350550.0,-350550.0,0.0,0.0
14/07/2026,3550.0,3550.0,0.0,0.0,3550.0,3550.0,3550.0,5.0,17750.0,0.0,0.0,5.0,17750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/07/2026,3550.0,3580.0,-30.0,-0.00837989,3380.0,3570.0,3360.0,960.0,3327970.0,0.0,0.0,960.0,3327970.0,-300.0,300.0,0.0,0.0,-1031000.0,1031000.0,0.0,0.0
10/07/2026,3580.0,3600.0,-20.0,-0.00555556,3680.0,3680.0,3350.0,1786.0,6136680.0,0.0,0.0,1786.0,6136680.0,536.0,-536.0,0.0,0.0,1810580.0,-1810580.0,0.0,0.0
09/07/2026,3600.0,3600.0,0.0,0.0,3350.0,3600.0,3350.0,1921.0,6793970.0,0.0,0.0,1921.0,6793970.0,394.0,-394.0,0.0,0.0,1395160.0,-1395160.0,0.0,0.0
08/07/2026,3600.0,3640.0,-40.0,-0.01098901,3500.0,3600.0,3500.0,525.0,1854240.0,0.0,0.0,525.0,1854240.0,-299.0,299.0,0.0,0.0,-1046360.0,1046360.0,0.0,0.0
07/07/2026,3640.0,3590.0,50.0,0.01392758,3450.0,3700.0,3450.0,830.0,2926700.0,0.0,0.0,830.0,2926700.0,322.0,-322.0,0.0,0.0,1089480.0,-1089480.0,0.0,0.0
06/07/2026,3590.0,3590.0,0.0,0.0,3590.0,3590.0,3590.0,41.0,147190.0,0.0,0.0,41.0,147190.0,20.0,-20.0,0.0,0.0,71800.0,-71800.0,0.0,0.0
03/07/2026,3590.0,3600.0,-10.0,-0.00277778,3360.0,3590.0,3360.0,660.0,2250710.0,0.0,0.0,660.0,2250710.0,71.0,-71.0,0.0,0.0,244100.0,-244100.0,0.0,0.0
02/07/2026,3600.0,3680.0,-80.0,-0.02173913,3680.0,3680.0,3480.0,4030.0,14122770.0,0.0,0.0,4030.0,14122770.0,-3005.0,3005.0,0.0,0.0,-10427770.0,10427770.0,0.0,0.0
01/07/2026,3680.0,3700.0,-20.0,-0.00540541,3700.0,3700.0,3600.0,6889.0,24950000.0,0.0,0.0,6889.0,24950000.0,439.0,-439.0,0.0,0.0,1652640.0,-1652640.0,0.0,0.0
30/06/2026,3700.0,3490.0,210.0,0.06017192,3500.0,3730.0,3500.0,39896.0,142781780.0,0.0,0.0,39896.0,142781780.0,-2660.0,2660.0,0.0,0.0,-9879900.0,9879900.0,0.0,0.0
29/06/2026,3490.0,3270.0,220.0,0.06727829,3420.0,3490.0,3270.0,29319.0,97936410.0,0.0,0.0,29319.0,97936410.0,15326.0,-15326.0,0.0,0.0,50160280.0,-50160280.0,0.0,0.0
26/06/2026,3270.0,3490.0,-220.0,-0.06303725,3250.0,3450.0,3250.0,1614.0,5310720.0,0.0,0.0,1614.0,5310720.0,314.0,-314.0,0.0,0.0,987720.0,-987720.0,0.0,0.0
25/06/2026,3490.0,3490.0,0.0,0.0,3490.0,3490.0,3490.0,16.0,54550.0,0.0,0.0,16.0,54550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/06/2026,3490.0,3460.0,30.0,0.00867052,3310.0,3490.0,3240.0,2230.0,7265540.0,0.0,0.0,2230.0,7265540.0,-70.0,70.0,0.0,0.0,-228460.0,228460.0,0.0,0.0
23/06/2026,3460.0,3490.0,-30.0,-0.00859599,3340.0,3490.0,3340.0,761.0,2599320.0,0.0,0.0,761.0,2599320.0,129.0,-129.0,0.0,0.0,433440.0,-433440.0,0.0,0.0
22/06/2026,3490.0,3490.0,0.0,0.0,3310.0,3490.0,3310.0,8479.0,28467790.0,0.0,0.0,8479.0,28467790.0,4361.0,-4261.0,0.0,-100.0,14601350.0,-14252350.0,0.0,-349000.0
19/06/2026,3490.0,3490.0,0.0,0.0,3320.0,3490.0,3320.0,3369.0,11276320.0,0.0,0.0,3369.0,11276320.0,-252.0,252.0,0.0,0.0,-855159.0,855160.0,0.0,0.0
18/06/2026,3490.0,3500.0,-10.0,-0.00285714,3500.0,3500.0,3350.0,4306.0,14748260.0,0.0,0.0,4306.0,14748260.0,-2198.0,2298.0,0.0,-100.0,-7671021.0,8021020.0,0.0,-350000.0
17/06/2026,3500.0,3500.0,0.0,0.0,3500.0,3500.0,3450.0,14907.0,51880390.0,0.0,0.0,14907.0,51880390.0,-7499.0,7499.0,0.0,0.0,-26276510.0,26276510.0,0.0,0.0
16/06/2026,3500.0,3490.0,10.0,0.00286533,3530.0,3530.0,3400.0,11018.0,38512590.0,0.0,0.0,11018.0,38512590.0,5705.0,-5705.0,0.0,0.0,19916301.0,-19916300.0,0.0,0.0
15/06/2026,3490.0,3490.0,0.0,0.0,3490.0,3490.0,3340.0,1700.0,5917000.0,0.0,0.0,1700.0,5917000.0,-1500.0,1500.0,0.0,0.0,-5235000.0,5235000.0,0.0,0.0
