NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,16950.0,16950.0,0.0,0.0,16950.0,16950.0,16950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,16950.0,16950.0,0.0,0.0,16950.0,16950.0,16950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,16950.0,16950.0,0.0,0.0,16950.0,16950.0,16950.0,200.0,3390000.0,0.0,0.0,200.0,3390000.0,0.0,-200.0,0.0,200.0,0.0,-3390000.0,0.0,3390000.0
26/08/2026,16950.0,16950.0,0.0,0.0,16950.0,16950.0,16950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,16950.0,16950.0,0.0,0.0,16950.0,16950.0,16950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,16950.0,16950.0,0.0,0.0,16950.0,16950.0,16950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/08/2026,16950.0,18200.0,-1250.0,-0.06868132,16950.0,16950.0,16950.0,2100.0,35595000.0,0.0,0.0,2100.0,35595000.0,-2100.0,0.0,0.0,2100.0,-35595000.0,0.0,0.0,35595000.0
20/08/2026,18200.0,18200.0,0.0,0.0,18200.0,18200.0,18200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,18200.0,18200.0,0.0,0.0,18200.0,18200.0,18200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,18200.0,18200.0,0.0,0.0,18200.0,18200.0,18200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
