NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
08/09/2026,74100.81,77100.0,0.0,0.0,74196.92,74196.92,73908.59,15280.0,1177249100.0,0.0,0.0,15280.0,1177249100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/09/2026,74100.81,77100.0,0.0,0.0,74100.81,74196.92,73524.15,29295.0,2254192400.0,0.0,0.0,29295.0,2254192400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/09/2026,74100.81,77200.0,-100.0,-0.00129534,74196.92,74196.92,73908.59,10393.0,801403900.0,0.0,0.0,10393.0,801403900.0,-1400.0,0.0,0.0,1400.0,-108080000.0,0.0,0.0,108080000.0
03/09/2026,74196.92,76800.0,400.0,0.00520833,73812.48,74196.92,73331.93,11127.0,855595200.0,0.0,0.0,11127.0,855595200.0,-1400.0,0.0,0.0,1400.0,-107720000.0,0.0,0.0,107720000.0
28/08/2026,73812.48,76600.0,200.0,0.00261097,73620.26,74004.7,73331.93,19235.0,1472463300.0,0.0,0.0,19235.0,1472463300.0,7279.0,-7279.0,0.0,0.0,557805400.0,-557805400.0,0.0,0.0
27/08/2026,73620.26,76600.0,0.0,0.0,73620.26,73716.37,73235.82,14600.0,1115998000.0,0.0,0.0,14600.0,1115998000.0,8096.0,-8196.0,0.0,100.0,619004500.0,-626634500.0,0.0,7630000.0
26/08/2026,73620.26,76300.0,300.0,0.00393185,74196.92,74196.92,73620.26,16485.0,1266433000.0,0.0,0.0,16485.0,1266433000.0,11200.0,-11100.0,0.0,-100.0,860520000.0,-852860000.0,0.0,-7660000.0
25/08/2026,73331.93,77600.0,-1300.0,-0.01675258,74485.25,74485.25,73331.93,24519.0,1881706500.0,0.0,0.0,24519.0,1881706500.0,9710.0,-9510.0,0.0,-200.0,745994800.0,-730754800.0,0.0,-15240000.0
24/08/2026,74581.36,77900.0,-300.0,-0.00385109,75158.02,75158.02,74389.14,6066.0,472018000.0,0.0,0.0,6066.0,472018000.0,630.0,-330.0,0.0,-300.0,49327100.0,-25967100.0,0.0,-23360000.0
21/08/2026,74869.69,77900.0,0.0,0.0,74869.69,75158.02,74869.69,14695.0,1146911600.0,0.0,0.0,14695.0,1146911600.0,1451.0,-1551.0,0.0,100.0,112734200.0,-120544200.0,0.0,7810000.0
