NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,11800.0,12100.0,-300.0,-0.02479339,11850.0,11950.0,11650.0,11461923.0,135146801750.0,0.0,0.0,11461923.0,135146801750.0,3634120.0,0.0,0.0,-3634120.0,42873621600.0,0.0,0.0,-42873621600.0
28/08/2026,12100.0,12100.0,0.0,0.0,12000.0,12150.0,11900.0,6628885.0,79993530150.0,0.0,0.0,6628885.0,79993530150.0,2639.0,1347907.0,12400.0,-1350546.0,25294100.0,16280332700.0,150040000.0,-16305626800.0
27/08/2026,12100.0,12050.0,50.0,0.00414938,12000.0,12150.0,11900.0,7500648.0,90407830100.0,912000.0,11400000000.0,8412648.0,101807830100.0,-377753.0,1204819.0,25000.0,-827066.0,-4483154599.0,14509473300.0,301250000.0,-10026318700.0
26/08/2026,12050.0,11800.0,250.0,0.02118644,11800.0,12100.0,11750.0,15778176.0,188774315400.0,0.0,0.0,15778176.0,188774315400.0,-2894855.0,3705955.0,201700.0,-811100.0,-34780388650.0,44452598651.0,2432415000.0,-9672210000.0
25/08/2026,11800.0,11800.0,0.0,0.0,11800.0,11900.0,11650.0,6022808.0,70781928600.0,912000.0,10254528000.0,6934808.0,81036456600.0,-937853.0,738953.0,0.0,198900.0,-11079310850.0,8741265850.0,0.0,2338045000.0
24/08/2026,11800.0,11550.0,250.0,0.02164502,11600.0,12000.0,11450.0,23503255.0,277366785700.0,0.0,0.0,23503255.0,277366785700.0,-1255727.0,1050127.0,1000.0,205600.0,-14770000250.0,12588335250.0,11950000.0,2181665000.0
21/08/2026,11550.0,10850.0,700.0,0.06451613,10850.0,11550.0,10800.0,13152760.0,148745084950.0,912000.0,10305600000.0,14064760.0,159050684950.0,-455311.0,-71789.0,0.0,527100.0,-4822273549.0,-979256450.0,0.0,5801530000.0
20/08/2026,10850.0,10950.0,-100.0,-0.00913242,10950.0,11050.0,10850.0,2909827.0,31823311850.0,1300000.0,14185600000.0,4209827.0,46008911850.0,342799.0,-180999.0,0.0,-161800.0,3739852350.0,-1967082350.0,0.0,-1772770000.0
19/08/2026,10950.0,11050.0,-100.0,-0.00904977,11100.0,11150.0,10850.0,4727367.0,51868304250.0,912000.0,10435104000.0,5639367.0,62303408250.0,-233193.0,-215907.0,0.0,449100.0,-2531748150.0,-2376236850.0,0.0,4907985000.0
18/08/2026,11050.0,11500.0,-450.0,-0.03913043,11400.0,11450.0,11050.0,10577963.0,118349721050.0,1300000.0,14257100000.0,11877963.0,132606821050.0,3362362.0,-1426210.0,0.0,-1936152.0,37592826300.0,-15974588900.0,0.0,-21618237400.0
17/08/2026,11500.0,11500.0,0.0,0.0,11450.0,11500.0,11150.0,6097350.0,69143597800.0,912000.0,10488000000.0,7009350.0,79631597800.0,864469.0,-1061939.0,1000.0,197470.0,9714757549.0,-11996546750.0,11350000.0,2281789200.0
14/08/2026,11500.0,10850.0,650.0,0.05990783,10850.0,11600.0,10750.0,27736383.0,311871403450.0,1300000.0,14300000000.0,29036383.0,326171403450.0,541204.0,-1834504.0,900.0,1293300.0,6927861949.0,-20720016950.0,9990000.0,13792155000.0
13/08/2026,10850.0,11150.0,-300.0,-0.02690583,11200.0,11450.0,10850.0,11902052.0,132082882150.0,0.0,0.0,11902052.0,132082882150.0,-193296.0,79996.0,0.0,113300.0,-2059761750.0,975861750.0,0.0,1083900000.0
12/08/2026,11150.0,11050.0,100.0,0.00904977,11050.0,11200.0,11050.0,6436339.0,71531769450.0,0.0,0.0,6436339.0,71531769450.0,-848518.0,334018.0,1900.0,514500.0,-9433797850.0,3707947850.0,21185000.0,5725850000.0
11/08/2026,11050.0,11050.0,0.0,0.0,11100.0,11200.0,11000.0,4415462.0,48834091900.0,0.0,0.0,4415462.0,48834091900.0,55048.0,4452.0,100.0,-59500.0,613446601.0,45808400.0,1545000.0,-659255000.0
10/08/2026,11050.0,10700.0,350.0,0.03271028,10800.0,11050.0,10800.0,8895455.0,97489558950.0,1800000.0,19721500000.0,10695455.0,117211058950.0,208694.0,797596.0,0.0,-1006290.0,2252313650.0,8796013250.0,0.0,-11048326900.0
07/08/2026,10700.0,10950.0,-250.0,-0.02283105,10950.0,11000.0,10700.0,13000943.0,141029660950.0,0.0,0.0,13000943.0,141029660950.0,4584822.0,-1111292.0,2000.0,-3473530.0,49638122300.0,-12170789800.0,21850000.0,-37467332500.0
06/08/2026,10950.0,10800.0,150.0,0.01388889,10850.0,11150.0,10700.0,10363821.0,112818481750.0,1300000.0,14300000000.0,11663821.0,127118481750.0,1091400.0,-2117881.0,-50000.0,1026481.0,11888881750.0,-22987001300.0,-542500000.0,11098119550.0
