NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,17050.0,17050.0,0.0,0.0,17000.0,17200.0,16900.0,2702653.0,46074123800.0,1635000.0,27795000000.0,4337653.0,73869123800.0,243700.0,0.0,0.0,-243700.0,4155485000.0,0.0,0.0,-4155485000.0
03/09/2026,17050.0,17300.0,-250.0,-0.01445087,17100.0,17250.0,17000.0,3722508.0,63660771250.0,100000.0,1700000000.0,3822508.0,65360771250.0,89007.0,0.0,0.0,-89007.0,1513082400.0,0.0,0.0,-1513082400.0
28/08/2026,17300.0,17350.0,-50.0,-0.00288184,17400.0,17500.0,17300.0,4694323.0,81613638600.0,15120000.0,254617500000.0,19814323.0,336231138600.0,741229.0,-527465.0,0.0,-213764.0,12951273700.0,-9240451900.0,0.0,-3710821800.0
27/08/2026,17350.0,17350.0,0.0,0.0,17400.0,17600.0,17300.0,3206606.0,55824552300.0,800000.0,13880000000.0,4006606.0,69704552300.0,-240099.0,323299.0,9200.0,-83200.0,-4188643150.0,5631538150.0,160095000.0,-1442895000.0
26/08/2026,17350.0,17250.0,100.0,0.0057971,17250.0,17550.0,17150.0,5108022.0,88466368800.0,0.0,0.0,5108022.0,88466368800.0,926370.0,-864970.0,2000.0,-61400.0,16042741801.0,-14967506800.0,34600000.0,-1075235000.0
25/08/2026,17250.0,17350.0,-100.0,-0.00576369,17400.0,17700.0,17200.0,5091652.0,88647551500.0,3761600.0,65263760000.0,8853252.0,153911311500.0,559611.0,-464121.0,180000.0,-95490.0,9654762850.0,-8037222850.0,3173000000.0,-1617540000.0
24/08/2026,17350.0,17400.0,-50.0,-0.00287356,17600.0,17700.0,17350.0,4219089.0,73889774150.0,3132700.0,54103375000.0,7351789.0,127993149150.0,3688.0,109012.0,1500.0,-112700.0,78125900.0,1898279100.0,26100000.0,-1976405000.0
21/08/2026,17400.0,16900.0,500.0,0.0295858,16850.0,17500.0,16800.0,5584926.0,96362433250.0,1822000.0,30791800000.0,7406926.0,127154233250.0,352566.0,-238966.0,0.0,-113600.0,5964820449.0,-3992620450.0,0.0,-1972200000.0
20/08/2026,16900.0,16950.0,-50.0,-0.00294985,16950.0,17100.0,16800.0,2298023.0,38882699800.0,1573100.0,27620525000.0,3871123.0,66503224800.0,672982.0,-235782.0,0.0,-437200.0,11349041950.0,-3959356950.0,0.0,-7389685000.0
19/08/2026,16950.0,17000.0,-50.0,-0.00294118,16900.0,17000.0,16800.0,2608007.0,44055883200.0,245000.0,4165000000.0,2853007.0,48220883200.0,299904.0,-402404.0,0.0,102500.0,5065550400.0,-6799490399.0,0.0,1733940000.0
18/08/2026,17000.0,17100.0,-100.0,-0.00584795,17150.0,17250.0,16800.0,7908017.0,134688091300.0,9173314.0,157101109400.0,17081331.0,291789200700.0,-531354.0,663354.0,0.0,-132000.0,-9082770450.0,11305695450.0,0.0,-2222925000.0
17/08/2026,17100.0,17150.0,-50.0,-0.00291545,17150.0,17400.0,17050.0,2953187.0,50688790350.0,0.0,0.0,2953187.0,50688790350.0,147538.0,-29838.0,45500.0,-117700.0,2502917700.0,-480092700.0,782795000.0,-2022825000.0
14/08/2026,17150.0,17500.0,-350.0,-0.02,17500.0,17650.0,17100.0,5247868.0,90919861550.0,330000.0,6105000000.0,5577868.0,97024861550.0,628598.0,-180798.0,-2900.0,-447800.0,10791171750.0,-3015791750.0,-49690000.0,-7775380000.0
13/08/2026,17500.0,18200.0,-700.0,-0.03846154,18250.0,18350.0,17500.0,9966382.0,177834296050.0,0.0,0.0,9966382.0,177834296050.0,2146304.0,-898904.0,0.0,-1247400.0,38799193550.0,-16457718550.0,0.0,-22341475000.0
12/08/2026,18200.0,18100.0,100.0,0.00552486,18150.0,18350.0,18100.0,4980471.0,90732842600.0,597000.0,10915700000.0,5577471.0,101648542600.0,-609599.0,788999.0,2800.0,-179400.0,-11144338300.0,14408973300.0,50960000.0,-3264635000.0
