NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,14700.0,14700.0,0.0,0.0,14600.0,14700.0,14500.0,182771.0,2666800900.0,0.0,0.0,182771.0,2666800900.0,10200.0,0.0,0.0,-10200.0,149355000.0,0.0,0.0,-149355000.0
03/09/2026,14700.0,14750.0,-50.0,-0.00338983,14900.0,14900.0,14600.0,212313.0,3113764150.0,0.0,0.0,212313.0,3113764150.0,23733.0,0.0,0.0,-23733.0,349296400.0,0.0,0.0,-349296400.0
28/08/2026,14750.0,14700.0,50.0,0.00340136,14600.0,14950.0,14600.0,212029.0,3141073750.0,0.0,0.0,212029.0,3141073750.0,-43062.0,30662.0,0.0,12400.0,-638723450.0,455708450.0,0.0,183015000.0
27/08/2026,14700.0,15000.0,-300.0,-0.02,15000.0,15000.0,14700.0,211722.0,3132250800.0,55000.0,825000000.0,266722.0,3957250800.0,6238.0,1988.0,0.0,-8226.0,92833850.0,29199850.0,0.0,-122033700.0
26/08/2026,15000.0,14850.0,150.0,0.01010101,14800.0,15000.0,14750.0,180550.0,2681697550.0,0.0,0.0,180550.0,2681697550.0,-8174.0,10074.0,0.0,-1900.0,-118928899.0,147018900.0,0.0,-28090000.0
25/08/2026,14850.0,14850.0,0.0,0.0,14750.0,14900.0,14700.0,294279.0,4347991750.0,0.0,0.0,294279.0,4347991750.0,-46281.0,44081.0,0.0,2200.0,-685585900.0,653530900.0,0.0,32055000.0
24/08/2026,14850.0,14950.0,-100.0,-0.00668896,14950.0,15150.0,14800.0,209814.0,3133406600.0,0.0,0.0,209814.0,3133406600.0,-45410.0,60910.0,0.0,-15500.0,-676504950.0,910649950.0,0.0,-234145000.0
21/08/2026,14950.0,14850.0,100.0,0.00673401,14800.0,14950.0,14500.0,350570.0,5188853350.0,0.0,0.0,350570.0,5188853350.0,-21444.0,-11256.0,0.0,32700.0,-301735800.0,-180904200.0,0.0,482640000.0
20/08/2026,14850.0,14800.0,50.0,0.00337838,14800.0,14900.0,14650.0,162512.0,2402196000.0,0.0,0.0,162512.0,2402196000.0,-35983.0,70783.0,0.0,-34800.0,-531875650.0,1046900650.0,0.0,-515025000.0
19/08/2026,14800.0,15000.0,-200.0,-0.01333333,14650.0,14850.0,14650.0,247583.0,3646303600.0,0.0,0.0,247583.0,3646303600.0,53657.0,-45857.0,0.0,-7800.0,789478100.0,-673823100.0,0.0,-115655000.0
18/08/2026,15000.0,14800.0,200.0,0.01351351,14600.0,15000.0,14550.0,269205.0,3972295800.0,0.0,0.0,269205.0,3972295800.0,11703.0,-4403.0,0.0,-7300.0,170510750.0,-59930750.0,0.0,-110580000.0
17/08/2026,14800.0,15000.0,-200.0,-0.01333333,14650.0,15100.0,14650.0,176520.0,2618126800.0,0.0,0.0,176520.0,2618126800.0,378.0,-25278.0,0.0,24900.0,3023601.0,-371328600.0,0.0,368305000.0
14/08/2026,15000.0,15450.0,-450.0,-0.02912621,15400.0,15800.0,15000.0,228948.0,3484387500.0,0.0,0.0,228948.0,3484387500.0,-31309.0,41509.0,0.0,-10200.0,-482177350.0,639527350.0,0.0,-157350000.0
13/08/2026,15450.0,15800.0,-350.0,-0.0221519,15700.0,15800.0,15450.0,340304.0,5302577800.0,0.0,0.0,340304.0,5302577800.0,21251.0,-7851.0,0.0,-13400.0,331054300.0,-122214300.0,0.0,-208840000.0
12/08/2026,15800.0,16100.0,-300.0,-0.01863354,16100.0,16100.0,15800.0,175622.0,2784690250.0,0.0,0.0,175622.0,2784690250.0,26149.0,-19149.0,0.0,-7000.0,413815900.0,-302955900.0,0.0,-110860000.0
11/08/2026,16100.0,15900.0,200.0,0.01257862,16000.0,16100.0,15750.0,344600.0,5483197300.0,0.0,0.0,344600.0,5483197300.0,43968.0,-15368.0,0.0,-28600.0,692211100.0,-234251100.0,0.0,-457960000.0
10/08/2026,15900.0,16000.0,-100.0,-0.00625,16000.0,16000.0,15800.0,241753.0,3841329950.0,0.0,0.0,241753.0,3841329950.0,23799.0,1201.0,0.0,-25000.0,377851900.0,19748100.0,0.0,-397600000.0
07/08/2026,16000.0,16400.0,-400.0,-0.02439024,15850.0,16250.0,15850.0,255432.0,4079555200.0,370000.0,6074290000.0,625432.0,10153845200.0,-9636.0,57836.0,0.0,-48200.0,-152217600.0,923957600.0,0.0,-771740000.0
06/08/2026,16400.0,16450.0,-50.0,-0.00303951,16450.0,16450.0,15750.0,365899.0,5862475950.0,0.0,0.0,365899.0,5862475950.0,-15799.0,45599.0,0.0,-29800.0,-265750250.0,752045250.0,0.0,-486295000.0
05/08/2026,16450.0,16450.0,0.0,0.0,16100.0,16850.0,16000.0,446268.0,7273313150.0,370000.0,6105000000.0,816268.0,13378313150.0,-72375.0,25175.0,0.0,47200.0,-1213121100.0,439026100.0,0.0,774095000.0
04/08/2026,16450.0,15400.0,1050.0,0.06818182,15400.0,16450.0,15300.0,1276602.0,20461980600.0,0.0,0.0,1276602.0,20461980600.0,-725584.0,-204864.0,0.0,930448.0,-11604811200.0,-3253404600.0,0.0,14858215800.0
03/08/2026,15400.0,14800.0,600.0,0.04054054,14800.0,15400.0,14650.0,527436.0,7947895250.0,0.0,0.0,527436.0,7947895250.0,-98860.0,35960.0,0.0,62900.0,-1495711650.0,549931650.0,0.0,945780000.0
31/07/2026,14800.0,14900.0,-100.0,-0.00671141,14900.0,14900.0,14200.0,263166.0,3823202400.0,0.0,0.0,263166.0,3823202400.0,-22683.0,75983.0,0.0,-53300.0,-337902500.0,1114347500.0,0.0,-776445000.0
30/07/2026,14900.0,14700.0,200.0,0.01360544,14350.0,14900.0,14350.0,315007.0,4623472100.0,0.0,0.0,315007.0,4623472100.0,25578.0,12222.0,0.0,-37800.0,355824600.0,199020400.0,0.0,-554845000.0
29/07/2026,14700.0,15000.0,-300.0,-0.02,14950.0,14950.0,14300.0,182418.0,2644662000.0,140000.0,1960000000.0,322418.0,4604662000.0,-8682.0,26582.0,0.0,-17900.0,-133090600.0,397930600.0,0.0,-264840000.0
28/07/2026,15000.0,14300.0,700.0,0.04895105,13500.0,15000.0,13500.0,651551.0,9451734650.0,0.0,0.0,651551.0,9451734650.0,-239296.0,-146864.0,0.0,386160.0,-3469824350.0,-2070828650.0,0.0,5540653000.0
27/07/2026,14300.0,14600.0,-300.0,-0.02054795,14300.0,14450.0,13750.0,316747.0,4445596650.0,0.0,0.0,316747.0,4445596650.0,11621.0,65179.0,0.0,-76800.0,146486750.0,932103250.0,0.0,-1078590000.0
24/07/2026,14600.0,14600.0,0.0,0.0,14450.0,14600.0,13600.0,541614.0,7608511400.0,0.0,0.0,541614.0,7608511400.0,-155702.0,195002.0,0.0,-39300.0,-2222105200.0,2785015200.0,0.0,-562910000.0
23/07/2026,14600.0,14800.0,-200.0,-0.01351351,13950.0,14750.0,13800.0,337881.0,4839966950.0,0.0,0.0,337881.0,4839966950.0,9170.0,-4170.0,0.0,-5000.0,142859500.0,-62624500.0,0.0,-80235000.0
22/07/2026,14800.0,14550.0,250.0,0.01718213,14400.0,14800.0,13700.0,1095110.0,15434488750.0,0.0,0.0,1095110.0,15434488750.0,-16539.0,-44761.0,0.0,61300.0,-221277250.0,-608462750.0,0.0,829740000.0
21/07/2026,14550.0,15400.0,-850.0,-0.05519481,15200.0,15200.0,14350.0,420188.0,6149849250.0,3218050.0,46179017500.0,3638238.0,52328866750.0,67651.0,9149.0,0.0,-76800.0,981085250.0,153274750.0,0.0,-1134360000.0
