NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,8890.0,8510.0,380.0,0.04465335,8530.0,8890.0,8400.0,17911.0,155478630.0,0.0,0.0,17911.0,155478630.0,-13901.0,-499.0,0.0,14400.0,-121165530.0,-4331470.0,0.0,125497000.0
27/08/2026,8510.0,8520.0,-10.0,-0.00117371,8470.0,8510.0,8400.0,4564.0,38635280.0,0.0,0.0,4564.0,38635280.0,-2500.0,0.0,0.0,2500.0,-21198001.0,0.0,0.0,21198000.0
26/08/2026,8520.0,8530.0,-10.0,-0.00117233,8350.0,8520.0,8350.0,7509.0,63744770.0,0.0,0.0,7509.0,63744770.0,-4700.0,100.0,0.0,4600.0,-40071001.0,845000.0,0.0,39226000.0
25/08/2026,8530.0,8680.0,-150.0,-0.01728111,8550.0,8590.0,8390.0,26400.0,221933000.0,0.0,0.0,26400.0,221933000.0,-3600.0,100.0,0.0,3500.0,-30250000.0,854000.0,0.0,29396000.0
24/08/2026,8680.0,8850.0,-170.0,-0.01920904,8720.0,8730.0,8680.0,1932.0,16796560.0,0.0,0.0,1932.0,16796560.0,-1.0,1.0,0.0,0.0,-8800.0,8800.0,0.0,0.0
21/08/2026,8850.0,8400.0,450.0,0.05357143,8500.0,8900.0,8400.0,19380.0,165718090.0,0.0,0.0,19380.0,165718090.0,-12880.0,-3320.0,0.0,16200.0,-110420091.0,-28232910.0,0.0,138653000.0
20/08/2026,8400.0,8300.0,100.0,0.01204819,8300.0,8400.0,8300.0,8504.0,71258400.0,0.0,0.0,8504.0,71258400.0,1900.0,-1700.0,0.0,-200.0,15860001.0,-14195000.0,0.0,-1665000.0
19/08/2026,8300.0,8400.0,-100.0,-0.01190476,8450.0,8450.0,8210.0,3318.0,27567000.0,0.0,0.0,3318.0,27567000.0,2400.0,-1700.0,0.0,-700.0,19944000.0,-14126000.0,0.0,-5818000.0
18/08/2026,8400.0,8560.0,-160.0,-0.01869159,8250.0,8500.0,8250.0,2700.0,22493000.0,0.0,0.0,2700.0,22493000.0,-100.0,-200.0,0.0,300.0,-794000.0,-1700000.0,0.0,2494000.0
17/08/2026,8560.0,8370.0,190.0,0.02270012,8680.0,8680.0,8380.0,1200.0,10182000.0,0.0,0.0,1200.0,10182000.0,-1000.0,500.0,0.0,500.0,-8476000.0,4196000.0,0.0,4280000.0
14/08/2026,8370.0,8450.0,-80.0,-0.00946746,8730.0,8730.0,8370.0,360.0,3097200.0,0.0,0.0,360.0,3097200.0,-40.0,40.0,0.0,0.0,-346800.0,346800.0,0.0,0.0
