NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,4340.0,4330.0,10.0,0.00230947,4320.0,4350.0,4290.0,217808.0,942498040.0,0.0,0.0,217808.0,942498040.0,0.0,0.0,0.0,11235.0,0.0,0.0,0.0,48838500.0
28/08/2026,4330.0,4340.0,-10.0,-0.00230415,4320.0,4330.0,4200.0,593805.0,2523313980.0,0.0,0.0,593805.0,2523313980.0,139027.0,-66227.0,0.0,-72800.0,579846491.0,-269276490.0,0.0,-310570000.0
27/08/2026,4340.0,4300.0,40.0,0.00930233,4330.0,4350.0,4250.0,210200.0,900731730.0,0.0,0.0,210200.0,900731730.0,-677.0,13477.0,0.0,-12800.0,-5218740.0,60123740.0,0.0,-54905000.0
26/08/2026,4300.0,4320.0,-20.0,-0.00462963,4320.0,4360.0,4300.0,313110.0,1355345100.0,0.0,0.0,313110.0,1355345100.0,164634.0,-164834.0,0.0,200.0,713770040.0,-714598040.0,0.0,828000.0
25/08/2026,4320.0,4430.0,-110.0,-0.0248307,4440.0,4440.0,4320.0,457282.0,1998005520.0,0.0,0.0,457282.0,1998005520.0,-120068.0,112968.0,0.0,7100.0,-527146290.0,496129290.0,0.0,31017000.0
24/08/2026,4430.0,4300.0,130.0,0.03023256,4300.0,4470.0,4300.0,790107.0,3465310090.0,0.0,0.0,790107.0,3465310090.0,188219.0,-231319.0,0.0,43100.0,825632711.0,-1013952710.0,0.0,188320000.0
21/08/2026,4300.0,4250.0,50.0,0.01176471,4200.0,4300.0,4150.0,951482.0,4020548550.0,0.0,0.0,951482.0,4020548550.0,148287.0,-260787.0,0.0,112500.0,635190650.0,-1111780650.0,0.0,476590000.0
20/08/2026,4250.0,4250.0,0.0,0.0,4330.0,4330.0,4120.0,1340160.0,5615543050.0,0.0,0.0,1340160.0,5615543050.0,-73540.0,71840.0,0.0,1700.0,-303269550.0,297341550.0,0.0,5928000.0
19/08/2026,4250.0,4320.0,-70.0,-0.0162037,4360.0,4360.0,4240.0,154361.0,658403180.0,0.0,0.0,154361.0,658403180.0,-10200.0,20200.0,0.0,-10000.0,-43753000.0,86510000.0,0.0,-42757000.0
18/08/2026,4320.0,4370.0,-50.0,-0.01144165,4370.0,4400.0,4290.0,928857.0,4009831050.0,0.0,0.0,928857.0,4009831050.0,76596.0,-66396.0,0.0,-10200.0,322790440.0,-278566440.0,0.0,-44224000.0
17/08/2026,4370.0,4400.0,-30.0,-0.00681818,4460.0,4460.0,4300.0,321720.0,1398193640.0,0.0,0.0,321720.0,1398193640.0,92660.0,-82660.0,0.0,-10000.0,399564260.0,-355720260.0,0.0,-43844000.0
14/08/2026,4400.0,4440.0,-40.0,-0.00900901,4430.0,4480.0,4330.0,653532.0,2879158430.0,0.0,0.0,653532.0,2879158430.0,-19544.0,64044.0,0.0,-44500.0,-97582070.0,293342070.0,0.0,-195760000.0
13/08/2026,4440.0,4490.0,-50.0,-0.01113586,4460.0,4500.0,4400.0,633251.0,2810341440.0,0.0,0.0,633251.0,2810341440.0,77100.0,-87000.0,0.0,9900.0,340834000.0,-384798000.0,0.0,43964000.0
12/08/2026,4490.0,4490.0,0.0,0.0,4410.0,4500.0,4400.0,952036.0,4223953920.0,0.0,0.0,952036.0,4223953920.0,-59200.0,55600.0,0.0,3600.0,-267421690.0,251638690.0,0.0,15783000.0
11/08/2026,4490.0,4530.0,-40.0,-0.00883002,4530.0,4630.0,4400.0,907926.0,4029900930.0,0.0,0.0,907926.0,4029900930.0,-327719.0,317919.0,0.0,9800.0,-1456962870.0,1413493870.0,0.0,43469000.0
10/08/2026,4530.0,4400.0,130.0,0.02954545,4300.0,4580.0,4300.0,784789.0,3523534890.0,0.0,0.0,784789.0,3523534890.0,-166144.0,132340.0,0.0,33804.0,-750804660.0,599895000.0,0.0,150909660.0
07/08/2026,4400.0,4340.0,60.0,0.01382488,4300.0,4400.0,4290.0,302184.0,1309770650.0,0.0,0.0,302184.0,1309770650.0,-102855.0,113255.0,0.0,-10400.0,-446075720.0,491272720.0,0.0,-45197000.0
06/08/2026,4340.0,4470.0,-130.0,-0.02908277,4410.0,4510.0,4310.0,421114.0,1849110830.0,0.0,0.0,421114.0,1849110830.0,-19417.0,35577.0,0.0,-16160.0,-86264900.0,157564900.0,0.0,-71300000.0
