NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,11450.0,11500.0,-50.0,-0.00434783,11500.0,11500.0,11300.0,314028.0,3571139600.0,0.0,0.0,314028.0,3571139600.0,17368.0,-8568.0,0.0,-8800.0,200661950.0,-100416950.0,0.0,-100245000.0
27/08/2026,11500.0,11600.0,-100.0,-0.00862069,11550.0,11550.0,11300.0,561661.0,6407265150.0,0.0,0.0,561661.0,6407265150.0,86490.0,-66590.0,0.0,-19900.0,995376500.0,-767376500.0,0.0,-228000000.0
26/08/2026,11600.0,11550.0,50.0,0.004329,11500.0,11600.0,11250.0,380686.0,4364384800.0,0.0,0.0,380686.0,4364384800.0,68916.0,-26216.0,0.0,-42700.0,794981850.0,-307546850.0,0.0,-487435000.0
25/08/2026,11550.0,11500.0,50.0,0.00434783,11450.0,11750.0,11400.0,656012.0,7577020850.0,0.0,0.0,656012.0,7577020850.0,-15555.0,36555.0,0.0,-21000.0,-180154750.0,423814750.0,0.0,-243660000.0
24/08/2026,11500.0,11200.0,300.0,0.02678571,11200.0,11500.0,11150.0,414531.0,4694062150.0,0.0,0.0,414531.0,4694062150.0,-36101.0,-7599.0,0.0,43700.0,-395455650.0,-96009350.0,0.0,491465000.0
21/08/2026,11200.0,11150.0,50.0,0.0044843,11000.0,11300.0,11000.0,647075.0,7242269050.0,0.0,0.0,647075.0,7242269050.0,-39553.0,-14347.0,0.0,53900.0,-439146050.0,-160803950.0,0.0,599950000.0
20/08/2026,11150.0,11150.0,0.0,0.0,11200.0,11200.0,11000.0,212631.0,2356732150.0,0.0,0.0,212631.0,2356732150.0,43609.0,-43109.0,0.0,-500.0,486131051.0,-480571050.0,0.0,-5560000.0
19/08/2026,11150.0,11250.0,-100.0,-0.00888889,11100.0,11150.0,10950.0,425653.0,4704702000.0,0.0,0.0,425653.0,4704702000.0,-35079.0,53379.0,0.0,-18300.0,-380408850.0,584058850.0,0.0,-203650000.0
18/08/2026,11250.0,11300.0,-50.0,-0.00442478,11250.0,11250.0,11050.0,471068.0,5254058500.0,0.0,0.0,471068.0,5254058500.0,67026.0,-80926.0,0.0,13900.0,757038500.0,-910503500.0,0.0,153465000.0
17/08/2026,11300.0,11250.0,50.0,0.00444444,11050.0,11300.0,11050.0,193892.0,2177819200.0,0.0,0.0,193892.0,2177819200.0,17614.0,-14514.0,0.0,-3100.0,197660650.0,-163095650.0,0.0,-34565000.0
14/08/2026,11250.0,11350.0,-100.0,-0.00881057,11300.0,11350.0,10950.0,505176.0,5616347450.0,0.0,0.0,505176.0,5616347450.0,120826.0,-91826.0,0.0,-29000.0,1346196000.0,-1019871000.0,0.0,-326325000.0
13/08/2026,11350.0,11350.0,0.0,0.0,11400.0,11400.0,11100.0,537172.0,6037638550.0,0.0,0.0,537172.0,6037638550.0,133901.0,-93501.0,0.0,-40400.0,1509802801.0,-1054562800.0,0.0,-455240000.0
12/08/2026,11350.0,11100.0,250.0,0.02252252,11050.0,11500.0,11000.0,679724.0,7706466250.0,0.0,0.0,679724.0,7706466250.0,95018.0,-81218.0,0.0,-13800.0,1079398700.0,-922333700.0,0.0,-157065000.0
11/08/2026,11100.0,11000.0,100.0,0.00909091,11000.0,11100.0,10850.0,684152.0,7518126300.0,0.0,0.0,684152.0,7518126300.0,92667.0,-134567.0,0.0,41900.0,1028942000.0,-1487997000.0,0.0,459055000.0
10/08/2026,11000.0,10950.0,50.0,0.00456621,10950.0,11000.0,10800.0,406620.0,4433863050.0,0.0,0.0,406620.0,4433863050.0,-53591.0,15591.0,0.0,38000.0,-580547400.0,167752400.0,0.0,412795000.0
