NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,17700.0,17700.0,0.0,0.0,17700.0,17700.0,17700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,17700.0,17700.0,0.0,0.0,17700.0,17700.0,17700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,17700.0,18900.0,-1200.0,-0.06349206,17700.0,17700.0,17700.0,301.0,5327700.0,0.0,0.0,301.0,5327700.0,100.0,-100.0,0.0,0.0,1770000.0,-1770000.0,0.0,0.0
26/08/2026,18900.0,18900.0,0.0,0.0,18900.0,18900.0,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,18900.0,18900.0,0.0,0.0,18900.0,18900.0,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,18900.0,18850.0,50.0,0.00265252,18900.0,18900.0,18900.0,610.0,11516000.0,0.0,0.0,610.0,11516000.0,110.0,-110.0,0.0,0.0,2066000.0,-2066000.0,0.0,0.0
21/08/2026,18850.0,20250.0,-1400.0,-0.0691358,18850.0,18850.0,18850.0,1900.0,35815000.0,0.0,0.0,1900.0,35815000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,20250.0,21750.0,-1500.0,-0.06896552,20250.0,20250.0,20250.0,300.0,6075000.0,0.0,0.0,300.0,6075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,21750.0,23350.0,-1600.0,-0.06852248,21750.0,21750.0,21750.0,300.0,6525000.0,0.0,0.0,300.0,6525000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,23350.0,25100.0,-1750.0,-0.06972112,26850.0,26850.0,23350.0,300.0,7355000.0,0.0,0.0,300.0,7355000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,25100.0,25100.0,0.0,0.0,25100.0,25100.0,25100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,25100.0,25100.0,0.0,0.0,25100.0,25100.0,25100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/08/2026,25100.0,25100.0,0.0,0.0,25100.0,25100.0,25100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/08/2026,25100.0,25100.0,0.0,0.0,25100.0,25100.0,25100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2026,25100.0,25100.0,0.0,0.0,25100.0,25100.0,25100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
