NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,3960.0,4090.0,-130.0,-0.03178484,4090.0,4110.0,3960.0,144016.0,579647020.0,0.0,0.0,144016.0,579647020.0,7000.0,-5000.0,0.0,-2000.0,30315000.0,-22180000.0,0.0,-8135000.0
27/08/2026,4090.0,4130.0,-40.0,-0.00968523,4150.0,4170.0,4090.0,82350.0,339144200.0,3200000.0,13216000000.0,3282350.0,13555144200.0,-10971.0,24471.0,0.0,-13500.0,-45631900.0,101482900.0,0.0,-55851000.0
26/08/2026,4130.0,4230.0,-100.0,-0.02364066,4140.0,4210.0,4080.0,522840.0,2155540900.0,0.0,0.0,522840.0,2155540900.0,-86895.0,86895.0,0.0,0.0,-362763300.0,362858300.0,0.0,-95000.0
25/08/2026,4230.0,4250.0,-20.0,-0.00470588,4200.0,4240.0,4120.0,306944.0,1284601920.0,0.0,0.0,306944.0,1284601920.0,48100.0,-49200.0,0.0,1100.0,198346000.0,-202878000.0,0.0,4532000.0
24/08/2026,4250.0,4250.0,0.0,0.0,4220.0,4270.0,4100.0,643783.0,2683562560.0,0.0,0.0,643783.0,2683562560.0,-80900.0,68200.0,0.0,12700.0,-351616000.0,298796000.0,0.0,52820000.0
21/08/2026,4250.0,4250.0,0.0,0.0,4240.0,4280.0,4120.0,112440.0,472735600.0,0.0,0.0,112440.0,472735600.0,-7960.0,7260.0,0.0,700.0,-35254400.0,32278400.0,0.0,2976000.0
20/08/2026,4250.0,4250.0,0.0,0.0,4110.0,4250.0,4100.0,145924.0,612724880.0,0.0,0.0,145924.0,612724880.0,16176.0,-16176.0,0.0,0.0,71289120.0,-71289120.0,0.0,0.0
19/08/2026,4250.0,4250.0,0.0,0.0,4110.0,4290.0,4100.0,218174.0,915025900.0,0.0,0.0,218174.0,915025900.0,-153.0,153.0,-47.0,0.0,5416890.0,-5416890.0,-198000.0,0.0
18/08/2026,4250.0,4250.0,0.0,0.0,4260.0,4270.0,4100.0,231910.0,968215400.0,0.0,0.0,231910.0,968215400.0,4010.0,-6910.0,0.0,2900.0,24340400.0,-36303400.0,0.0,11963000.0
17/08/2026,4250.0,4260.0,-10.0,-0.00234742,4260.0,4260.0,3970.0,307716.0,1257612320.0,0.0,0.0,307716.0,1257612320.0,187400.0,-187400.0,0.0,0.0,753867000.0,-753867000.0,0.0,0.0
