NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,2990.0,2990.0,0.0,0.0,3000.0,3040.0,2990.0,162022.0,485247990.0,0.0,0.0,162022.0,485247990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,2990.0,3080.0,-90.0,-0.02922078,3080.0,3080.0,2990.0,351564.0,1061151390.0,895000.0,2756600000.0,1246564.0,3817751390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,3080.0,3130.0,-50.0,-0.01597444,3160.0,3160.0,3080.0,241877.0,749834300.0,0.0,0.0,241877.0,749834300.0,-2698.0,2698.0,0.0,0.0,-8363770.0,8363770.0,0.0,0.0
27/08/2026,3130.0,3110.0,20.0,0.00643087,3130.0,3180.0,3100.0,198565.0,622864290.0,0.0,0.0,198565.0,622864290.0,-44083.0,44083.0,0.0,0.0,-139306430.0,139306430.0,0.0,0.0
26/08/2026,3110.0,3100.0,10.0,0.00322581,3100.0,3120.0,3100.0,93026.0,288881340.0,0.0,0.0,93026.0,288881340.0,32052.0,-32052.0,0.0,0.0,99494240.0,-99494240.0,0.0,0.0
25/08/2026,3100.0,3140.0,-40.0,-0.01273885,3140.0,3140.0,3100.0,248647.0,775645190.0,0.0,0.0,248647.0,775645190.0,-50708.0,50708.0,0.0,0.0,-159800120.0,159800120.0,0.0,0.0
24/08/2026,3140.0,3160.0,-20.0,-0.00632911,3160.0,3160.0,3130.0,171178.0,538887370.0,0.0,0.0,171178.0,538887370.0,-36371.0,36371.0,0.0,0.0,-114483300.0,114483300.0,0.0,0.0
21/08/2026,3160.0,3100.0,60.0,0.01935484,3100.0,3160.0,3060.0,269491.0,838168360.0,0.0,0.0,269491.0,838168360.0,44670.0,-44670.0,0.0,0.0,139180500.0,-139180500.0,0.0,0.0
20/08/2026,3100.0,3120.0,-20.0,-0.00641026,3120.0,3120.0,3090.0,72326.0,224491580.0,0.0,0.0,72326.0,224491580.0,9788.0,-9788.0,0.0,0.0,30463520.0,-30463520.0,0.0,0.0
19/08/2026,3120.0,3120.0,0.0,0.0,3150.0,3150.0,3090.0,114657.0,356140340.0,0.0,0.0,114657.0,356140340.0,-7036.0,7036.0,0.0,0.0,-21575440.0,21575440.0,0.0,0.0
18/08/2026,3120.0,3140.0,-20.0,-0.00636943,3140.0,3160.0,3110.0,94621.0,296728380.0,0.0,0.0,94621.0,296728380.0,-16016.0,16016.0,0.0,0.0,-50479150.0,50479150.0,0.0,0.0
17/08/2026,3140.0,3110.0,30.0,0.0096463,3110.0,3140.0,3100.0,73138.0,227490200.0,0.0,0.0,73138.0,227490200.0,6158.0,-6158.0,0.0,0.0,19187170.0,-19187170.0,0.0,0.0
14/08/2026,3110.0,3130.0,-20.0,-0.00638978,3120.0,3140.0,3100.0,204370.0,635872390.0,0.0,0.0,204370.0,635872390.0,7373.0,-7373.0,0.0,0.0,23043700.0,-23043700.0,0.0,0.0
13/08/2026,3130.0,3130.0,0.0,0.0,3130.0,3150.0,3110.0,184749.0,578438470.0,0.0,0.0,184749.0,578438470.0,10122.0,-10122.0,0.0,0.0,31823679.0,-31823680.0,0.0,0.0
12/08/2026,3130.0,3140.0,-10.0,-0.00318471,3120.0,3150.0,3110.0,130540.0,408701170.0,0.0,0.0,130540.0,408701170.0,23669.0,-23669.0,0.0,0.0,74378660.0,-74378660.0,0.0,0.0
11/08/2026,3140.0,3110.0,30.0,0.0096463,3130.0,3150.0,3110.0,187174.0,585600940.0,0.0,0.0,187174.0,585600940.0,-25511.0,25511.0,0.0,0.0,-80035580.0,80035580.0,0.0,0.0
10/08/2026,3110.0,3100.0,10.0,0.00322581,3130.0,3140.0,3090.0,197619.0,614610570.0,0.0,0.0,197619.0,614610570.0,-1688.0,1688.0,0.0,0.0,-5000040.0,5000040.0,0.0,0.0
07/08/2026,3100.0,3110.0,-10.0,-0.00321543,3110.0,3140.0,3100.0,174773.0,544849260.0,0.0,0.0,174773.0,544849260.0,98268.0,-98268.0,0.0,0.0,306050500.0,-306050500.0,0.0,0.0
06/08/2026,3110.0,3120.0,-10.0,-0.00320513,3120.0,3160.0,3090.0,167733.0,523125780.0,0.0,0.0,167733.0,523125780.0,8578.0,-8578.0,0.0,0.0,25722380.0,-25722380.0,0.0,0.0
05/08/2026,3120.0,3150.0,-30.0,-0.00952381,3200.0,3240.0,3120.0,231374.0,732500980.0,0.0,0.0,231374.0,732500980.0,45113.0,-45113.0,0.0,0.0,140733111.0,-140733110.0,0.0,0.0
04/08/2026,3150.0,3020.0,130.0,0.04304636,3020.0,3230.0,3020.0,481318.0,1526515430.0,0.0,0.0,481318.0,1526515430.0,8961.0,-8961.0,0.0,0.0,33020569.0,-33020570.0,0.0,0.0
03/08/2026,3020.0,3000.0,20.0,0.00666667,3000.0,3040.0,2970.0,331752.0,994098250.0,0.0,0.0,331752.0,994098250.0,20630.0,-20630.0,0.0,0.0,62243000.0,-62243000.0,0.0,0.0
31/07/2026,3000.0,3040.0,-40.0,-0.01315789,3030.0,3080.0,3000.0,161209.0,488932590.0,0.0,0.0,161209.0,488932590.0,15396.0,-15396.0,0.0,0.0,46157880.0,-46157880.0,0.0,0.0
30/07/2026,3040.0,2970.0,70.0,0.02356902,3000.0,3050.0,2990.0,141437.0,427191560.0,0.0,0.0,141437.0,427191560.0,-1300.0,1300.0,0.0,0.0,-3956000.0,3956000.0,0.0,0.0
29/07/2026,2970.0,2960.0,10.0,0.00337838,2960.0,3000.0,2950.0,154921.0,459726200.0,0.0,0.0,154921.0,459726200.0,23600.0,-23600.0,0.0,0.0,69391600.0,-69391600.0,0.0,0.0
28/07/2026,2960.0,2950.0,10.0,0.00338983,2980.0,3050.0,2900.0,425242.0,1251463760.0,0.0,0.0,425242.0,1251463760.0,-24834.0,24834.0,0.0,0.0,-72409230.0,72409230.0,0.0,0.0
27/07/2026,2950.0,3070.0,-120.0,-0.03908795,3120.0,3120.0,2950.0,245643.0,736831470.0,0.0,0.0,245643.0,736831470.0,52210.0,-52210.0,0.0,0.0,157556401.0,-157556400.0,0.0,0.0
24/07/2026,3070.0,3120.0,-50.0,-0.01602564,3120.0,3180.0,3000.0,189844.0,586076440.0,0.0,0.0,189844.0,586076440.0,-30604.0,30604.0,0.0,0.0,-95419940.0,95419940.0,0.0,0.0
23/07/2026,3120.0,3120.0,0.0,0.0,3120.0,3140.0,3050.0,192249.0,595188340.0,0.0,0.0,192249.0,595188340.0,-48580.0,48580.0,0.0,0.0,-149835369.0,149835370.0,0.0,0.0
22/07/2026,3120.0,3150.0,-30.0,-0.00952381,3200.0,3200.0,3090.0,582930.0,1816350540.0,0.0,0.0,582930.0,1816350540.0,37739.0,-37739.0,0.0,0.0,118385140.0,-118385140.0,0.0,0.0
21/07/2026,3150.0,3180.0,-30.0,-0.00943396,3170.0,3310.0,3150.0,361853.0,1154097430.0,0.0,0.0,361853.0,1154097430.0,-87587.0,87587.0,0.0,0.0,-279981270.0,279981270.0,0.0,0.0
20/07/2026,3180.0,3370.0,-190.0,-0.05637982,3370.0,3390.0,3180.0,347853.0,1130832020.0,0.0,0.0,347853.0,1130832020.0,-39019.0,39019.0,0.0,0.0,-127022280.0,127022280.0,0.0,0.0
17/07/2026,3370.0,3460.0,-90.0,-0.02601156,3410.0,3460.0,3370.0,166461.0,565894730.0,0.0,0.0,166461.0,565894730.0,-55967.0,55967.0,0.0,0.0,-190282800.0,190282800.0,0.0,0.0
16/07/2026,3460.0,3480.0,-20.0,-0.00574713,3480.0,3480.0,3380.0,279564.0,960709780.0,0.0,0.0,279564.0,960709780.0,-64239.0,64239.0,0.0,0.0,-218040660.0,218040660.0,0.0,0.0
15/07/2026,3480.0,3530.0,-50.0,-0.01416431,3540.0,3550.0,3440.0,202861.0,707821300.0,0.0,0.0,202861.0,707821300.0,32300.0,-32300.0,0.0,0.0,113278000.0,-113278000.0,0.0,0.0
14/07/2026,3530.0,3530.0,0.0,0.0,3570.0,3580.0,3400.0,159231.0,560404670.0,0.0,0.0,159231.0,560404670.0,70800.0,-70800.0,0.0,0.0,250184000.0,-250184000.0,0.0,0.0
13/07/2026,3530.0,3550.0,-20.0,-0.0056338,3540.0,3600.0,3390.0,676272.0,2370311320.0,0.0,0.0,676272.0,2370311320.0,-52417.0,52417.0,0.0,0.0,-181186350.0,181186350.0,0.0,0.0
10/07/2026,3550.0,3600.0,-50.0,-0.01388889,3600.0,3630.0,3550.0,252663.0,905999090.0,0.0,0.0,252663.0,905999090.0,8167.0,-8167.0,0.0,0.0,29673230.0,-29673230.0,0.0,0.0
09/07/2026,3600.0,3610.0,-10.0,-0.00277008,3610.0,3620.0,3580.0,102769.0,370296610.0,0.0,0.0,102769.0,370296610.0,-14952.0,14952.0,0.0,0.0,-53793320.0,53793320.0,0.0,0.0
08/07/2026,3610.0,3620.0,-10.0,-0.00276243,3620.0,3690.0,3590.0,303011.0,1098252230.0,780000.0,2797200000.0,1083011.0,3895452230.0,29113.0,-29113.0,0.0,0.0,103366600.0,-103366600.0,0.0,0.0
07/07/2026,3620.0,3620.0,0.0,0.0,3670.0,3700.0,3580.0,685281.0,2474053250.0,760000.0,2729200000.0,1445281.0,5203253250.0,16583.0,-16583.0,0.0,0.0,60864640.0,-60864640.0,0.0,0.0
06/07/2026,3620.0,3810.0,-190.0,-0.04986877,3810.0,3840.0,3620.0,416366.0,1540575600.0,0.0,0.0,416366.0,1540575600.0,-38640.0,38640.0,0.0,0.0,-141391000.0,141391000.0,0.0,0.0
