NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,72800.0,72200.0,600.0,0.00831025,72500.0,73000.0,72400.0,3564028.0,259007911900.0,4838877.0,373561304400.0,8402905.0,632569216300.0,0.0,55400.0,55400.0,960390.0,0.0,4042410000.0,4042410000.0,69775794000.0
03/09/2026,72200.0,73200.0,-1000.0,-0.0136612,73000.0,73000.0,72000.0,4121476.0,298332255500.0,4235300.0,312960984100.0,8356776.0,611293239600.0,-273848.0,0.0,-32100.0,305948.0,-19800171400.0,0.0,-2237450000.0,22037621400.0
28/08/2026,73200.0,72200.0,1000.0,0.01385042,72200.0,74000.0,72200.0,10229968.0,752192458100.0,3305900.0,252185880000.0,13535868.0,1004378338100.0,-2974048.0,-304743.0,-710300.0,3278791.0,-218689200000.0,-22433372500.0,-52124840000.0,241122572500.0
27/08/2026,72200.0,72600.0,-400.0,-0.00550964,72600.0,72700.0,72200.0,3557606.0,257438000900.0,23000.0,1784800000.0,3580606.0,259222800900.0,41733.0,-389627.0,-885000.0,347894.0,3032023800.0,-28152815800.0,-63994610000.0,25120792000.0
26/08/2026,72600.0,70700.0,1900.0,0.02687412,70700.0,72900.0,70700.0,10189497.0,735797873800.0,1272435.0,95902086000.0,11461932.0,831699959800.0,-2802812.0,-12782.0,194600.0,2815594.0,-202372131400.0,-588053500.0,14043850000.0,202960184900.0
25/08/2026,70700.0,71400.0,-700.0,-0.00980392,71400.0,72000.0,70700.0,4713701.0,335620964100.0,1649094.0,122234534800.0,6362795.0,457855498900.0,-285971.0,330217.0,-379200.0,-44246.0,-20511419000.0,23677696200.0,-26863160000.0,-3166277200.0
24/08/2026,71400.0,72000.0,-600.0,-0.00833333,72500.0,72700.0,71400.0,4637076.0,333250175400.0,0.0,0.0,4637076.0,333250175400.0,742365.0,-244712.0,-442100.0,-497653.0,53438145500.0,-17584343500.0,-31683810000.0,-35853802000.0
21/08/2026,72000.0,69800.0,2200.0,0.03151862,69900.0,72000.0,69500.0,7056454.0,502180367100.0,896000.0,66841600000.0,7952454.0,569021967100.0,-408426.0,278891.0,488000.0,129535.0,-29289471900.0,20019563400.0,35044690000.0,9269908500.0
20/08/2026,69800.0,68900.0,900.0,0.01306241,69100.0,70300.0,69100.0,4484868.0,313900850500.0,538600.0,38096632800.0,5023468.0,351997483300.0,-455547.0,-41047.0,615900.0,496594.0,-31870461100.0,-2829231200.0,43152170000.0,34699692300.0
19/08/2026,68900.0,69000.0,-100.0,-0.00144928,69000.0,69200.0,68600.0,1832096.0,126119888500.0,2618800.0,193267440000.0,4450896.0,319387328500.0,-51957.0,-136373.0,311618.0,188330.0,-3587875600.0,-9376356900.0,21464958000.0,12964232500.0
18/08/2026,69000.0,68800.0,200.0,0.00290698,68800.0,69300.0,68200.0,3401666.0,234056375300.0,1268000.0,92370800000.0,4669666.0,326427175300.0,336171.0,-478656.0,-323200.0,142485.0,23126061300.0,-32900719400.0,-22175750000.0,9774658100.0
17/08/2026,68800.0,68300.0,500.0,0.00732064,68400.0,69400.0,68400.0,4132177.0,284709237500.0,5081400.0,347813587700.0,9213577.0,632522825200.0,-63623.0,-176464.0,551000.0,240087.0,-4422302500.0,-12149096500.0,38005140000.0,16571399000.0
