NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,145900.0,145900.0,0.0,0.0,145700.0,145900.0,143500.0,204185.0,29612409000.0,0.0,0.0,204185.0,29612409000.0,-25952.0,55558.0,-8500.0,-29606.0,-3783684500.0,8080088100.0,-1237820000.0,-4296403600.0
27/08/2026,145900.0,142900.0,3000.0,0.0209937,142900.0,146500.0,142900.0,414764.0,60098897700.0,0.0,0.0,414764.0,60098897700.0,89849.0,-93159.0,-20000.0,3310.0,13098790200.0,-13533180200.0,-2920000000.0,434390000.0
26/08/2026,142900.0,145000.0,-2100.0,-0.01448276,144900.0,144900.0,142900.0,277934.0,39866551100.0,495775.0,73374700000.0,773709.0,113241251100.0,108076.0,-1730.0,-12500.0,-106346.0,15496525599.0,-224050200.0,-1787880000.0,-15272475400.0
25/08/2026,145000.0,147500.0,-2500.0,-0.01694915,146000.0,146500.0,144000.0,147524.0,21436357400.0,0.0,0.0,147524.0,21436357400.0,20961.0,27847.0,0.0,-48808.0,3052260000.0,4036197300.0,0.0,-7088457300.0
24/08/2026,147500.0,143500.0,4000.0,0.02787456,143000.0,148000.0,142600.0,467904.0,68266770200.0,28500.0,4170120000.0,496404.0,72436890200.0,81202.0,-101001.0,-42400.0,19799.0,11984875400.0,-14808741900.0,-6243320000.0,2823866500.0
21/08/2026,143500.0,145000.0,-1500.0,-0.01034483,144800.0,147500.0,140600.0,473647.0,68189134100.0,0.0,0.0,473647.0,68189134100.0,218988.0,-79588.0,-33500.0,-139400.0,31548137500.0,-11594847500.0,-4897900000.0,-19953290000.0
20/08/2026,145000.0,143000.0,2000.0,0.01398601,142900.0,147000.0,142100.0,430306.0,62215959500.0,837287.0,126168135000.0,1267593.0,188384094500.0,43602.0,-42122.0,0.0,-1480.0,6261626501.0,-6045833800.0,0.0,-215792700.0
19/08/2026,143000.0,145100.0,-2100.0,-0.01447278,142000.0,149600.0,142000.0,777802.0,113731602000.0,408125.0,63341000000.0,1185927.0,177072602000.0,62178.0,-288251.0,-68853.0,226073.0,8923060700.0,-42196118700.0,-10218062000.0,33273058000.0
18/08/2026,145100.0,147000.0,-1900.0,-0.01292517,147000.0,151500.0,145100.0,336600.0,49470039700.0,507850.0,77193200000.0,844450.0,126663239700.0,-80798.0,102532.0,-25100.0,-21734.0,-11898542700.0,15067050800.0,-3716280000.0,-3168508100.0
17/08/2026,147000.0,142900.0,4100.0,0.02869139,143200.0,147000.0,138000.0,931185.0,132899034700.0,408125.0,61218750000.0,1339310.0,194117784700.0,-297764.0,184664.0,-37500.0,113100.0,-42948423500.0,26976733500.0,-5445170000.0,15971690000.0
14/08/2026,142900.0,146900.0,-4000.0,-0.02722941,142100.0,144800.0,141800.0,827171.0,118320784900.0,0.0,0.0,827171.0,118320784900.0,-125102.0,34602.0,100.0,90500.0,-17893415400.0,4954665400.0,14260000.0,12938750000.0
13/08/2026,146900.0,148000.0,-1100.0,-0.00743243,147300.0,147900.0,143100.0,410258.0,59834670000.0,0.0,0.0,410258.0,59834670000.0,-35887.0,-42313.0,0.0,78200.0,-5359367300.0,-6082962700.0,0.0,11442330000.0
12/08/2026,148000.0,146500.0,1500.0,0.01023891,148000.0,148500.0,145000.0,934855.0,137234955300.0,197300.0,28904450000.0,1132155.0,166139405300.0,20637.0,-253637.0,-38200.0,233000.0,3156006800.0,-37016036800.0,-5657020000.0,33860030000.0
11/08/2026,146500.0,137000.0,9500.0,0.06934307,138100.0,146500.0,138000.0,1436936.0,208613386400.0,0.0,0.0,1436936.0,208613386400.0,-406127.0,-8373.0,3600.0,414500.0,-58597292400.0,-1178357600.0,524520000.0,59775650000.0
10/08/2026,137000.0,132000.0,5000.0,0.03787879,134000.0,137200.0,132000.0,781777.0,105060666200.0,0.0,0.0,781777.0,105060666200.0,-87867.0,-42533.0,-12600.0,130400.0,-11857990600.0,-5688199400.0,-1744350000.0,17546190000.0
