NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
24/09/2026,82000.0,84800.0,-2800.0,-0.03301887,84600.0,85700.0,81300.0,2018393.0,167752992000.0,0.0,0.0,2018393.0,167752992000.0,0.0,90800.0,90800.0,318984.0,0.0,7475300000.0,7475300000.0,26012984800.0
23/09/2026,84800.0,86000.0,-1200.0,-0.01395349,86500.0,86500.0,84800.0,1177061.0,100427397100.0,193000.0,16598000000.0,1370061.0,117025397100.0,0.0,70973.0,70973.0,38610.0,0.0,6035498000.0,6035498000.0,3294594000.0
22/09/2026,86000.0,86100.0,-100.0,-0.00116144,86200.0,87400.0,85000.0,815672.0,70049278800.0,0.0,0.0,815672.0,70049278800.0,0.0,-18400.0,-18400.0,-70200.0,0.0,-1583560000.0,-1583560000.0,-5995320000.0
21/09/2026,86101.48,88000.0,600.0,0.00681818,85032.5,87170.46,84935.32,1461988.0,129751656900.0,0.0,0.0,1461988.0,129751656900.0,0.0,-71900.0,-71900.0,-136301.0,0.0,-6364540000.0,-6364540000.0,-12102238000.0
18/09/2026,85518.4,88600.0,-600.0,-0.00677201,86004.3,86198.66,84740.96,1417062.0,124418680000.0,0.0,0.0,1417062.0,124418680000.0,0.0,7100.0,7100.0,-172497.0,0.0,626410000.0,626410000.0,-15139156600.0
17/09/2026,86101.48,89400.0,-800.0,-0.00894855,86781.74,88142.26,85032.5,2628397.0,233499964600.0,0.0,0.0,2628397.0,233499964600.0,0.0,91500.0,91500.0,44478.0,0.0,8136740000.0,8136740000.0,3893881800.0
16/09/2026,86878.92,91400.0,-2000.0,-0.02188184,89016.88,90377.4,86878.92,2663856.0,242406196700.0,0.0,0.0,2663856.0,242406196700.0,0.0,11900.0,11900.0,393196.0,0.0,1038700000.0,1038700000.0,35790328400.0
15/09/2026,88822.52,85700.0,5700.0,0.06651109,84060.7,88919.7,82894.54,3749960.0,334652184900.0,0.0,0.0,3749960.0,334652184900.0,0.0,-54700.0,-54700.0,552228.0,0.0,-5025930000.0,-5025930000.0,48421560400.0
14/09/2026,83283.26,82900.0,2800.0,0.03377563,82700.18,84352.24,81631.2,1639342.0,140371461200.0,0.0,0.0,1639342.0,140371461200.0,0.0,-10700.0,-10700.0,551872.0,0.0,-908540000.0,-908540000.0,47254464700.0
11/09/2026,80562.22,84600.0,-1700.0,-0.02009456,83380.44,84255.06,80562.22,1456248.0,123295356200.0,0.0,0.0,1456248.0,123295356200.0,0.0,-40600.0,-40600.0,-155606.0,0.0,-3502350000.0,-3502350000.0,-13214348400.0
10/09/2026,82214.28,85700.0,-1100.0,-0.01283547,83963.52,85032.5,82117.1,1148106.0,98440444500.0,0.0,0.0,1148106.0,98440444500.0,0.0,127600.0,127600.0,-38590.0,0.0,10971160000.0,10971160000.0,-3240028000.0
09/09/2026,83283.26,84400.0,1300.0,0.01540284,82894.54,85129.68,82797.36,2298037.0,198717416600.0,20000.0,1570000000.0,2318037.0,200287416600.0,0.0,26000.0,26000.0,433637.0,0.0,2235570000.0,2235570000.0,37578889700.0
08/09/2026,82019.92,82800.0,1600.0,0.01932367,81242.48,83088.9,80465.04,1051623.0,88700330600.0,0.0,0.0,1051623.0,88700330600.0,0.0,-13900.0,-13900.0,209013.0,0.0,-1174820000.0,-1174820000.0,17529642500.0
07/09/2026,80465.04,84000.0,-1200.0,-0.01428571,81339.66,82019.92,80173.5,1237458.0,103201032100.0,0.0,0.0,1237458.0,103201032100.0,0.0,20300.0,20300.0,-166400.0,0.0,1656050000.0,1656050000.0,-13776900000.0
04/09/2026,81631.2,84000.0,0.0,0.0,81631.2,82117.1,80076.32,1174499.0,97965304900.0,0.0,0.0,1174499.0,97965304900.0,0.0,2400.0,2400.0,-62825.0,0.0,165420000.0,165420000.0,-5238530000.0
03/09/2026,81631.2,84200.0,-200.0,-0.0023753,82894.54,85032.5,80562.22,1875311.0,158866192900.0,0.0,0.0,1875311.0,158866192900.0,0.0,86100.0,86100.0,-207182.0,0.0,7282690000.0,7282690000.0,-17526241500.0
28/08/2026,81825.56,84300.0,-100.0,-0.00118624,82797.36,83963.52,81825.56,1566066.0,133234851900.0,0.0,0.0,1566066.0,133234851900.0,6189.0,75851.0,26500.0,-82040.0,402346200.0,6480661400.0,2200930000.0,-6883007600.0
27/08/2026,81922.74,84100.0,200.0,0.00237812,81728.38,82991.72,80367.86,1568558.0,131878051600.0,0.0,0.0,1568558.0,131878051600.0,-26124.0,-67879.0,-63900.0,94003.0,-2055340500.0,-5698088900.0,-5365530000.0,7753429400.0
26/08/2026,81728.38,83500.0,600.0,0.00718563,80659.4,84157.88,80659.4,1592549.0,135364695700.0,0.0,0.0,1592549.0,135364695700.0,-380616.0,127206.0,-39100.0,253410.0,-32299229200.0,10793116200.0,-3367870000.0,21506113000.0
25/08/2026,81145.3,85000.0,-1500.0,-0.01764706,81825.56,82991.72,79784.78,2131670.0,177547740400.0,0.0,0.0,2131670.0,177547740400.0,-182073.0,163529.0,-52500.0,18544.0,-15303540800.0,13818400000.0,-4369540000.0,1485140800.0
24/08/2026,82603.0,83500.0,1500.0,0.01796407,81436.84,85129.68,79687.6,2701696.0,230528811100.0,0.0,0.0,2701696.0,230528811100.0,139168.0,189355.0,59700.0,-328523.0,12175921300.0,16200431500.0,5267440000.0,-28376352800.0
21/08/2026,81145.3,83500.0,0.0,0.0,81436.84,81436.84,79687.6,1364507.0,112924590900.0,0.0,0.0,1364507.0,112924590900.0,96654.0,74557.0,14400.0,-171211.0,7951395900.0,6106960900.0,1164250000.0,-14058356800.0
20/08/2026,81145.3,83700.0,-200.0,-0.00238949,81534.02,82019.92,79881.96,1116771.0,92671623200.0,0.0,0.0,1116771.0,92671623200.0,-100048.0,163754.0,55800.0,-63706.0,-8259348100.0,13586752900.0,4617450000.0,-5327404800.0
19/08/2026,81339.66,83500.0,200.0,0.00239521,81048.12,82117.1,80173.5,1946306.0,162670125700.0,0.0,0.0,1946306.0,162670125700.0,-368053.0,503452.0,-9100.0,-135399.0,-30657626500.0,42050054000.0,-748580000.0,-11392427500.0
18/08/2026,81145.3,79100.0,4400.0,0.05562579,77258.1,82214.28,77063.74,3659904.0,304088858900.0,0.0,0.0,3659904.0,304088858900.0,-108041.0,259341.0,76500.0,-151300.0,-9241150200.0,21731346200.0,6611450000.0,-12490196000.0
17/08/2026,76869.38,76000.0,3100.0,0.04078947,74051.16,76966.56,74051.16,1118576.0,87640256200.0,0.0,0.0,1118576.0,87640256200.0,-293110.0,149420.0,63400.0,143690.0,-22978906100.0,11806113100.0,5038420000.0,11172793000.0
14/08/2026,73856.8,77900.0,-1900.0,-0.02439024,75606.04,76966.56,72787.82,1672633.0,128155956000.0,0.0,0.0,1672633.0,128155956000.0,-296842.0,299832.0,340000.0,-2990.0,-22777495500.0,23026174500.0,26085360000.0,-248679000.0
13/08/2026,75703.22,80000.0,-2100.0,-0.02625,76966.56,77744.0,75411.68,1365825.0,107665240000.0,0.0,0.0,1365825.0,107665240000.0,302383.0,-264890.0,-15600.0,-37493.0,23904411800.0,-20914558400.0,-1244910000.0,-2989853400.0
12/08/2026,77744.0,77500.0,2500.0,0.03225806,75314.5,77841.18,75022.96,1437565.0,113266928400.0,0.0,0.0,1437565.0,113266928400.0,-26189.0,-7891.0,-3500.0,34080.0,-2056649900.0,-628916100.0,-299440000.0,2685566000.0
11/08/2026,75314.5,79800.0,-2300.0,-0.02882206,78229.9,78327.08,75217.32,1561812.0,122924024000.0,0.0,0.0,1561812.0,122924024000.0,-98470.0,79481.0,37000.0,18989.0,-7534760500.0,6064558300.0,2875430000.0,1470202200.0
10/08/2026,77549.64,74600.0,5200.0,0.06970509,74731.42,77549.64,73953.98,3009631.0,236214012500.0,0.0,0.0,3009631.0,236214012500.0,-833150.0,423319.0,26500.0,409831.0,-65513935500.0,33558456700.0,1963000000.0,31955478800.0
07/08/2026,72496.28,69800.0,4800.0,0.06876791,68511.9,72496.28,68414.72,2123271.0,156157139600.0,0.0,0.0,2123271.0,156157139600.0,-272713.0,-209684.0,-55200.0,482397.0,-20122863599.0,-15589072600.0,-4032270000.0,35711936200.0
06/08/2026,67831.64,70500.0,-700.0,-0.00992908,68511.9,69386.52,67831.64,676732.0,47711133300.0,0.0,0.0,676732.0,47711133300.0,59528.0,-46175.0,-8700.0,-13353.0,4218466600.0,-3271778200.0,-630690000.0,-946688400.0
05/08/2026,68511.9,69900.0,600.0,0.00858369,67831.64,68511.9,66957.02,1141215.0,79386878100.0,1000000.0,74700000000.0,2141215.0,154086878100.0,52015.0,54185.0,-30500.0,-106200.0,3585802300.0,3731527700.0,-2120570000.0,-7317330000.0
04/08/2026,67928.82,71200.0,-1300.0,-0.01825843,69192.16,69192.16,67248.56,855464.0,59883188200.0,0.0,0.0,855464.0,59883188200.0,-23500.0,-17970.0,-14130.0,41470.0,-1616253900.0,-1280452100.0,-1009194000.0,2896706000.0
03/08/2026,69192.16,68600.0,2600.0,0.03790087,66665.48,69192.16,66179.58,1153940.0,81048592000.0,0.0,0.0,1153940.0,81048592000.0,-511677.0,104371.0,134100.0,407306.0,-35953575399.0,7332093500.0,9419760000.0,28621481900.0
31/07/2026,66665.48,68700.0,-100.0,-0.0014556,67831.64,67831.64,66179.58,970682.0,66939369100.0,0.0,0.0,970682.0,66939369100.0,-121585.0,48575.0,22800.0,73010.0,-8377717100.0,3324900100.0,1554670000.0,5052817000.0
30/07/2026,66762.66,67900.0,800.0,0.01178203,67054.2,67345.74,66082.4,948378.0,65270367500.0,0.0,0.0,948378.0,65270367500.0,-185418.0,42618.0,3100.0,142800.0,-12806049900.0,2939219900.0,225070000.0,9866830000.0
29/07/2026,65985.22,67000.0,900.0,0.01343284,65013.42,66568.3,65013.42,995067.0,67512381800.0,0.0,0.0,995067.0,67512381800.0,-309650.0,17550.0,21400.0,292100.0,-21006297801.0,1213887800.0,1477880000.0,19792410000.0
28/07/2026,65110.6,66900.0,100.0,0.00149477,64819.06,65402.14,64235.98,622088.0,41582355000.0,0.0,0.0,622088.0,41582355000.0,-186791.0,181853.0,16400.0,4938.0,-12483838100.0,12161388300.0,1087410000.0,322449800.0
27/07/2026,65013.42,67200.0,-300.0,-0.00446429,65110.6,66568.3,64333.16,853015.0,57408803800.0,0.0,0.0,853015.0,57408803800.0,-394204.0,384506.0,181200.0,9698.0,-26513614200.0,25843168200.0,12196100000.0,670446000.0
24/07/2026,65304.96,66800.0,400.0,0.00598802,65110.6,66859.84,65110.6,1053933.0,71548065600.0,0.0,0.0,1053933.0,71548065600.0,18848.0,42752.0,-42000.0,-61600.0,1256123000.0,2935677000.0,-2868000000.0,-4191800000.0
23/07/2026,64916.24,64400.0,2400.0,0.03726708,62875.46,64916.24,62875.46,1515381.0,99489571900.0,0.0,0.0,1515381.0,99489571900.0,124284.0,-354053.0,-20400.0,229769.0,8259966400.0,-23308449500.0,-1392090000.0,15048483100.0
22/07/2026,62583.92,68000.0,-3600.0,-0.05294118,66082.4,67054.2,62583.92,2738696.0,182878911500.0,0.0,0.0,2738696.0,182878911500.0,-121543.0,607882.0,138900.0,-486339.0,-8358933800.0,40669002400.0,9463390000.0,-32310068600.0
21/07/2026,66082.4,73100.0,-5100.0,-0.06976744,71038.58,72204.74,66082.4,4301304.0,298670750100.0,0.0,0.0,4301304.0,298670750100.0,872429.0,114448.0,-451200.0,-986877.0,60001830200.0,7221112800.0,-30405580000.0,-67222943000.0
20/07/2026,71038.58,76200.0,-3100.0,-0.04068241,74439.88,75411.68,69969.6,873451.0,65677061300.0,0.0,0.0,873451.0,65677061300.0,-127721.0,121921.0,15800.0,5800.0,-9564511699.0,9118381700.0,1150390000.0,446130000.0
17/07/2026,74051.16,77400.0,-1200.0,-0.01550388,75217.32,75217.32,73856.8,571207.0,43600449200.0,0.0,0.0,571207.0,43600449200.0,220574.0,-37074.0,-52200.0,-183500.0,16850598100.0,-2827668100.0,-3984290000.0,-14022930000.0
16/07/2026,75217.32,77600.0,-200.0,-0.00257732,75411.68,75800.4,73565.26,990434.0,76221751200.0,0.0,0.0,990434.0,76221751200.0,-65711.0,6396.0,38800.0,59315.0,-5032080700.0,492366700.0,2996710000.0,4539714000.0
15/07/2026,75411.68,78500.0,-900.0,-0.01146497,76577.84,76577.84,75022.96,948280.0,73670521400.0,0.0,0.0,948280.0,73670521400.0,35311.0,-136411.0,-23300.0,101100.0,2731669500.0,-10593759500.0,-1807520000.0,7862090000.0
