NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,12850.0,12650.0,200.0,0.01581028,12800.0,12850.0,12700.0,388664.0,4962509400.0,0.0,0.0,388664.0,4962509400.0,0.0,25000.0,25000.0,21400.0,0.0,318750000.0,318750000.0,273385000.0
03/09/2026,12650.0,12700.0,-50.0,-0.00393701,12650.0,12700.0,12600.0,137664.0,1738258600.0,0.0,0.0,137664.0,1738258600.0,-2400.0,0.0,0.0,2400.0,-30365000.0,0.0,0.0,30365000.0
28/08/2026,12700.0,12650.0,50.0,0.00395257,12650.0,12750.0,12600.0,131496.0,1668074550.0,0.0,0.0,131496.0,1668074550.0,30372.0,-32872.0,23300.0,2500.0,385383500.0,-417123500.0,295995000.0,31740000.0
27/08/2026,12650.0,12650.0,0.0,0.0,12650.0,12750.0,12600.0,138091.0,1747416300.0,0.0,0.0,138091.0,1747416300.0,1744.0,-11644.0,0.0,9900.0,21870250.0,-147610250.0,0.0,125740000.0
26/08/2026,12650.0,12700.0,-50.0,-0.00393701,12550.0,12700.0,12550.0,290773.0,3686438750.0,0.0,0.0,290773.0,3686438750.0,93356.0,-103654.0,0.0,10298.0,1186040751.0,-1316715550.0,0.0,130674800.0
25/08/2026,12700.0,12750.0,-50.0,-0.00392157,12800.0,12800.0,12600.0,307202.0,3891160000.0,0.0,0.0,307202.0,3891160000.0,139353.0,-139353.0,25600.0,0.0,1761851700.0,-1761851700.0,325205000.0,0.0
24/08/2026,12750.0,12700.0,50.0,0.00393701,12800.0,12800.0,12550.0,119162.0,1510476900.0,0.0,0.0,119162.0,1510476900.0,-16907.0,2307.0,0.0,14600.0,-214223200.0,28313200.0,0.0,185910000.0
21/08/2026,12700.0,12450.0,250.0,0.02008032,12450.0,12750.0,12350.0,153008.0,1914944650.0,0.0,0.0,153008.0,1914944650.0,23460.0,-24560.0,0.0,1100.0,289996250.0,-303996250.0,0.0,14000000.0
20/08/2026,12450.0,12350.0,100.0,0.00809717,12400.0,12500.0,12350.0,127734.0,1584830750.0,0.0,0.0,127734.0,1584830750.0,522.0,-222.0,0.0,-300.0,6558950.0,-2833950.0,0.0,-3725000.0
19/08/2026,12350.0,12400.0,-50.0,-0.00403226,12500.0,12500.0,12300.0,153852.0,1901758600.0,0.0,0.0,153852.0,1901758600.0,74803.0,-72703.0,0.0,-2100.0,924035150.0,-897985150.0,0.0,-26050000.0
18/08/2026,12400.0,12400.0,0.0,0.0,12400.0,12500.0,12400.0,94660.0,1177429350.0,0.0,0.0,94660.0,1177429350.0,13437.0,-13037.0,0.0,-400.0,167112400.0,-162132400.0,0.0,-4980000.0
17/08/2026,12400.0,12400.0,0.0,0.0,12400.0,12450.0,12300.0,112972.0,1395920800.0,0.0,0.0,112972.0,1395920800.0,29203.0,-27003.0,0.0,-2200.0,360771000.0,-333576000.0,0.0,-27195000.0
14/08/2026,12400.0,12350.0,50.0,0.00404858,12300.0,12400.0,12300.0,191888.0,2368849550.0,0.0,0.0,191888.0,2368849550.0,41924.0,-36124.0,0.0,-5800.0,517772451.0,-446142450.0,0.0,-71630000.0
13/08/2026,12350.0,12350.0,0.0,0.0,12300.0,12450.0,12300.0,188950.0,2336459400.0,0.0,0.0,188950.0,2336459400.0,38791.0,-30391.0,0.0,-8400.0,479934499.0,-375884500.0,0.0,-104050000.0
12/08/2026,12350.0,12250.0,100.0,0.00816327,12250.0,12350.0,12250.0,141191.0,1737504800.0,0.0,0.0,141191.0,1737504800.0,50166.0,-50066.0,0.0,-100.0,616695750.0,-615460750.0,0.0,-1235000.0
11/08/2026,12250.0,12250.0,0.0,0.0,12250.0,12350.0,12200.0,180371.0,2215498450.0,0.0,0.0,180371.0,2215498450.0,85971.0,-85171.0,0.0,-800.0,1056909400.0,-1047109400.0,0.0,-9800000.0
10/08/2026,12250.0,12100.0,150.0,0.01239669,12200.0,12250.0,12100.0,332880.0,4048687450.0,0.0,0.0,332880.0,4048687450.0,144044.0,-149244.0,0.0,5200.0,1752457300.0,-1815847300.0,0.0,63390000.0
07/08/2026,12100.0,12100.0,0.0,0.0,12100.0,12200.0,12050.0,230034.0,2785482800.0,0.0,0.0,230034.0,2785482800.0,103267.0,-62217.0,0.0,-41050.0,1250492301.0,-753192300.0,0.0,-497300000.0
06/08/2026,12100.0,12200.0,-100.0,-0.00819672,12150.0,12200.0,12050.0,214320.0,2599164150.0,0.0,0.0,214320.0,2599164150.0,90002.0,-41002.0,0.0,-49000.0,1091914600.0,-498784600.0,0.0,-593130000.0
05/08/2026,12200.0,12200.0,0.0,0.0,12300.0,12300.0,12150.0,230693.0,2818387850.0,0.0,0.0,230693.0,2818387850.0,39984.0,-31084.0,0.0,-8900.0,486587450.0,-377817450.0,0.0,-108770000.0
04/08/2026,12200.0,12200.0,0.0,0.0,12300.0,12300.0,12150.0,148962.0,1822782800.0,0.0,0.0,148962.0,1822782800.0,13429.0,-42596.0,0.0,29167.0,163949950.0,-521262300.0,0.0,357312350.0
03/08/2026,12200.0,12100.0,100.0,0.00826446,11950.0,12200.0,11950.0,388583.0,4717620650.0,0.0,0.0,388583.0,4717620650.0,132752.0,-170832.0,0.0,38080.0,1608411500.0,-2070616000.0,0.0,462204500.0
31/07/2026,12100.0,12150.0,-50.0,-0.00411523,12200.0,12200.0,12100.0,164631.0,1997615250.0,0.0,0.0,164631.0,1997615250.0,-25689.0,17789.0,0.0,7900.0,-311668050.0,215683050.0,0.0,95985000.0
30/07/2026,12150.0,12100.0,50.0,0.00413223,12000.0,12250.0,11900.0,330382.0,3997035600.0,0.0,0.0,330382.0,3997035600.0,15844.0,-25744.0,0.0,9900.0,194495650.0,-312980650.0,0.0,118485000.0
29/07/2026,12100.0,12000.0,100.0,0.00833333,11900.0,12100.0,11900.0,111744.0,1342885950.0,0.0,0.0,111744.0,1342885950.0,8005.0,5060.0,0.0,-13065.0,96581949.0,60818050.0,0.0,-157400000.0
