NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,29050.0,29150.0,-100.0,-0.00343053,29300.0,29300.0,28750.0,889113.0,25793341150.0,0.0,0.0,889113.0,25793341150.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2900000.0
28/08/2026,29150.0,29100.0,50.0,0.00171821,29200.0,29800.0,29000.0,1881337.0,55097438650.0,0.0,0.0,1881337.0,55097438650.0,-181321.0,174521.0,0.0,6800.0,-5288398250.0,5093518250.0,0.0,194880000.0
27/08/2026,29100.0,29000.0,100.0,0.00344828,29100.0,29400.0,28800.0,1259650.0,36563160950.0,0.0,0.0,1259650.0,36563160950.0,-533125.0,640125.0,0.0,-107000.0,-15469228250.0,18580143250.0,0.0,-3110915000.0
26/08/2026,29000.0,28800.0,200.0,0.00694444,28800.0,29100.0,28300.0,1272622.0,36494360400.0,0.0,0.0,1272622.0,36494360400.0,-14105.0,60105.0,0.0,-46000.0,-438632651.0,1764722650.0,0.0,-1326090000.0
25/08/2026,28800.0,29750.0,-950.0,-0.03193277,29750.0,29900.0,28750.0,3554280.0,103385424600.0,0.0,0.0,3554280.0,103385424600.0,-116785.0,377385.0,0.0,-260600.0,-3336158950.0,10949468950.0,0.0,-7613310000.0
24/08/2026,29750.0,30550.0,-800.0,-0.02618658,30950.0,30950.0,29650.0,3091211.0,93416140750.0,0.0,0.0,3091211.0,93416140750.0,754401.0,-477601.0,-490500.0,-276800.0,22885161450.0,-14458801450.0,-14809135000.0,-8426360000.0
21/08/2026,30550.0,29000.0,1550.0,0.05344828,29000.0,30650.0,28900.0,3751836.0,112491939800.0,0.0,0.0,3751836.0,112491939800.0,730333.0,-752633.0,-880000.0,22300.0,22295776401.0,-22868186400.0,-26613130000.0,572410000.0
20/08/2026,29000.0,29050.0,-50.0,-0.00172117,29250.0,29600.0,28800.0,1320737.0,38456898800.0,2500000.0,77500000000.0,3820737.0,115956898800.0,-62900.0,221600.0,0.0,-158700.0,-1774594000.0,6414044000.0,0.0,-4639450000.0
19/08/2026,29050.0,29000.0,50.0,0.00172414,29100.0,29500.0,28800.0,1515916.0,44031983450.0,0.0,0.0,1515916.0,44031983450.0,-432959.0,427859.0,0.0,5100.0,-12578087750.0,12412862750.0,0.0,165225000.0
18/08/2026,29000.0,28900.0,100.0,0.00346021,28900.0,29700.0,28700.0,1574459.0,45701618800.0,20000.0,609000000.0,1594459.0,46310618800.0,-333097.0,21197.0,0.0,311900.0,-9637449500.0,631964500.0,0.0,9005485000.0
