NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,25950.0,26100.0,-150.0,-0.00574713,26100.0,26350.0,25700.0,6880647.0,178564342500.0,6565625.0,171204250000.0,13446272.0,349768592500.0,48100.0,0.0,0.0,-48100.0,1250865000.0,0.0,0.0,-1250865000.0
03/09/2026,26100.0,26450.0,-350.0,-0.01323251,26400.0,26400.0,25900.0,5457520.0,142348345700.0,0.0,0.0,5457520.0,142348345700.0,94148.0,0.0,0.0,-94148.0,2471139900.0,0.0,0.0,-2471139900.0
28/08/2026,26450.0,26150.0,300.0,0.01147228,26250.0,27200.0,25900.0,15204040.0,404892131750.0,4719445.0,123413486750.0,19923485.0,528305618500.0,507134.0,-264895.0,250000.0,-242239.0,13602591350.0,-7119715300.0,6695000000.0,-6482876050.0
27/08/2026,26150.0,26200.0,-50.0,-0.0019084,26500.0,26650.0,25950.0,6000549.0,157267196550.0,1620000.0,42444000000.0,7620549.0,199711196550.0,-554354.0,1174322.0,50000.0,-619968.0,-14482891950.0,30758823200.0,1307500000.0,-16275931250.0
26/08/2026,26200.0,25900.0,300.0,0.01158301,25950.0,26250.0,25800.0,5819823.0,151415072000.0,633000.0,17264100000.0,6452823.0,168679172000.0,-621971.0,939282.0,0.0,-317311.0,-16151232900.0,24414490000.0,0.0,-8263257100.0
25/08/2026,25900.0,26250.0,-350.0,-0.01333333,26300.0,26450.0,25700.0,11302208.0,293715593050.0,1710090.0,44745862500.0,13012298.0,338461455550.0,-930952.0,793435.0,0.0,137517.0,-24073319700.0,20589460250.0,0.0,3483859450.0
24/08/2026,26250.0,26250.0,0.0,0.0,26800.0,26900.0,26200.0,11061770.0,293176191950.0,2786255.0,72959193750.0,13848025.0,366135385700.0,1803787.0,-1457940.0,900.0,-345847.0,47896299349.0,-38571769200.0,23670000.0,-9324530150.0
21/08/2026,26250.0,24550.0,1700.0,0.06924644,24550.0,26250.0,24450.0,20552700.0,528886574450.0,3773090.0,92629359500.0,24325790.0,621515933950.0,2461577.0,-1737511.0,-2300.0,-724066.0,62337643150.0,-43898637850.0,-56465000.0,-18439005300.0
20/08/2026,24550.0,24600.0,-50.0,-0.00203252,24800.0,24950.0,24400.0,3886253.0,95399536100.0,1954615.0,48083529000.0,5840868.0,143483065100.0,1307846.0,-130767.0,0.0,-1177079.0,32106836301.0,-3218808600.0,0.0,-28888027700.0
19/08/2026,24600.0,24900.0,-300.0,-0.01204819,24950.0,25000.0,24250.0,5230753.0,128344356900.0,0.0,0.0,5230753.0,128344356900.0,476143.0,305916.0,0.0,-782059.0,11750440100.0,7508540000.0,0.0,-19258980100.0
