NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,24150.0,24000.0,150.0,0.00625,24000.0,24400.0,23800.0,1300.0,31215000.0,0.0,0.0,1300.0,31215000.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
28/08/2026,24000.0,23600.0,400.0,0.01694915,24000.0,24000.0,23600.0,3763.0,89499600.0,0.0,0.0,3763.0,89499600.0,650.0,-650.0,0,0.0,15570000.0,-15570000.0,0,0.0
27/08/2026,23600.0,23600.0,0.0,0.0,23800.0,23800.0,23600.0,2100.0,49620000.0,0.0,0.0,2100.0,49620000.0,1900.0,-1000.0,0,-900.0,44860000.0,-23620000.0,0,-21240000.0
26/08/2026,23600.0,23400.0,200.0,0.00854701,23300.0,23950.0,23300.0,6100.0,144665000.0,0.0,0.0,6100.0,144665000.0,400.0,-400.0,0,0.0,9395000.0,-9395000.0,0,0.0
25/08/2026,23400.0,23600.0,-200.0,-0.00847458,23600.0,23800.0,23400.0,5410.0,127409000.0,0.0,0.0,5410.0,127409000.0,510.0,-510.0,0,0.0,12119000.0,-12119000.0,0,0.0
24/08/2026,23600.0,23400.0,200.0,0.00854701,23400.0,23750.0,23400.0,2600.0,60930000.0,0.0,0.0,2600.0,60930000.0,100.0,-100.0,0,0.0,2305000.0,-2305000.0,0,0.0
21/08/2026,23400.0,23400.0,0.0,0.0,23200.0,23500.0,23100.0,4400.0,102580000.0,0.0,0.0,4400.0,102580000.0,900.0,-900.0,0,0.0,20980000.0,-20980000.0,0,0.0
20/08/2026,23400.0,23050.0,350.0,0.01518438,23200.0,23500.0,23200.0,1213.0,28438500.0,0.0,0.0,1213.0,28438500.0,-600.0,600.0,0,0.0,-14020000.0,14020000.0,0,0.0
19/08/2026,23050.0,23000.0,50.0,0.00217391,23100.0,23100.0,23000.0,5000.0,115265000.0,0.0,0.0,5000.0,115265000.0,-1800.0,1800.0,0,0.0,-41515000.0,41515000.0,0,0.0
18/08/2026,23000.0,23800.0,-800.0,-0.03361345,23700.0,23700.0,23000.0,15900.0,372290000.0,0.0,0.0,15900.0,372290000.0,6200.0,3800.0,0,-10000.0,146990000.0,87920000.0,0,-234910000.0
17/08/2026,23800.0,23850.0,-50.0,-0.00209644,23800.0,23850.0,23800.0,3600.0,85705000.0,0.0,0.0,3600.0,85705000.0,-800.0,800.0,0,0.0,-19015000.0,19015000.0,0,0.0
14/08/2026,23850.0,24000.0,-150.0,-0.00625,24000.0,24000.0,23600.0,5900.0,140305000.0,0.0,0.0,5900.0,140305000.0,-700.0,700.0,0,0.0,-16730000.0,16730000.0,0,0.0
13/08/2026,24000.0,24050.0,-50.0,-0.002079,24500.0,24500.0,24000.0,19600.0,471340000.0,0.0,0.0,19600.0,471340000.0,-100.0,100.0,0,0.0,-2460000.0,2460000.0,0,0.0
12/08/2026,24050.0,24500.0,-450.0,-0.01836735,24500.0,24500.0,24050.0,7100.0,171950000.0,0.0,0.0,7100.0,171950000.0,-2900.0,2900.0,0,0.0,-70195000.0,70195000.0,0,0.0
11/08/2026,24500.0,24450.0,50.0,0.00204499,24450.0,24550.0,24450.0,4900.0,120045000.0,0.0,0.0,4900.0,120045000.0,-1700.0,200.0,0,1500.0,-41650000.0,4900000.0,0,36750000.0
10/08/2026,24450.0,24150.0,300.0,0.01242236,24450.0,24450.0,24450.0,800.0,19560000.0,0.0,0.0,800.0,19560000.0,-200.0,100.0,0,100.0,-4890000.0,2445000.0,0,2445000.0
07/08/2026,24150.0,24900.0,-750.0,-0.03012048,24700.0,24700.0,24150.0,2040.0,49630000.0,0.0,0.0,2040.0,49630000.0,573.0,-573.0,0,0.0,13910000.0,-13910000.0,0,0.0
06/08/2026,24900.0,24300.0,600.0,0.02469136,24300.0,24950.0,24300.0,3841.0,95472100.0,0.0,0.0,3841.0,95472100.0,-300.0,1000.0,0,-700.0,-7440000.0,24900000.0,0,-17460000.0
05/08/2026,24300.0,24100.0,200.0,0.00829876,24100.0,24300.0,24100.0,2017.0,48693950.0,0.0,0.0,2017.0,48693950.0,200.0,-200.0,0,0.0,4825000.0,-4825000.0,0,0.0
04/08/2026,24100.0,23900.0,200.0,0.0083682,23900.0,24100.0,23900.0,4502.0,108158900.0,0.0,0.0,4502.0,108158900.0,300.0,-300.0,0,0.0,7200000.0,-7200000.0,0,0.0
