NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,7700.0,7800.0,-100.0,-0.01282051,7810.0,7950.0,7700.0,98515.0,765379440.0,0.0,0.0,98515.0,765379440.0,-700.0,0.0,0.0,700.0,-5460000.0,0.0,0.0,5460000.0
03/09/2026,7800.0,7900.0,-100.0,-0.01265823,7850.0,8000.0,7720.0,83386.0,652993870.0,0.0,0.0,83386.0,652993870.0,-2300.0,0.0,0.0,2300.0,-17731000.0,0.0,0.0,17731000.0
28/08/2026,7900.0,7980.0,-80.0,-0.01002506,7980.0,7990.0,7860.0,91047.0,720195020.0,0.0,0.0,91047.0,720195020.0,13668.0,-2468.0,0.0,-11200.0,108714740.0,-19539740.0,0.0,-89175000.0
27/08/2026,7980.0,8040.0,-60.0,-0.00746269,8130.0,8130.0,7940.0,38023.0,304346650.0,0.0,0.0,38023.0,304346650.0,4628.0,1472.0,0.0,-6100.0,37233170.0,11723830.0,0.0,-48957000.0
26/08/2026,8040.0,7860.0,180.0,0.02290076,8120.0,8280.0,8020.0,323966.0,2632643940.0,0.0,0.0,323966.0,2632643940.0,-33620.0,40520.0,0.0,-6900.0,-273474000.0,329768000.0,0.0,-56294000.0
25/08/2026,7860.0,8010.0,-150.0,-0.01872659,8010.0,8010.0,7840.0,71477.0,566045470.0,0.0,0.0,71477.0,566045470.0,-27101.0,16401.0,0.0,10700.0,-213930791.0,129662790.0,0.0,84268000.0
24/08/2026,8010.0,8000.0,10.0,0.00125,8020.0,8020.0,7800.0,109280.0,870068120.0,0.0,0.0,109280.0,870068120.0,31188.0,-25188.0,0.0,-6000.0,249867410.0,-200848410.0,0.0,-49019000.0
21/08/2026,8000.0,7790.0,210.0,0.02695764,7720.0,8010.0,7680.0,75801.0,599059460.0,0.0,0.0,75801.0,599059460.0,-4250.0,6150.0,0.0,-1900.0,-33583750.0,48467750.0,0.0,-14884000.0
20/08/2026,7790.0,7730.0,60.0,0.00776197,7610.0,7930.0,7610.0,45598.0,352400690.0,0.0,0.0,45598.0,352400690.0,-5909.0,12609.0,0.0,-6700.0,-45694450.0,97460450.0,0.0,-51766000.0
19/08/2026,7730.0,8000.0,-270.0,-0.03375,8000.0,8000.0,7720.0,114489.0,890639930.0,0.0,0.0,114489.0,890639930.0,14641.0,-35341.0,0.0,20700.0,113783880.0,-274460880.0,0.0,160677000.0
18/08/2026,8000.0,8310.0,-310.0,-0.03730445,8310.0,8390.0,7730.0,130843.0,1045412180.0,0.0,0.0,130843.0,1045412180.0,5382.0,-3268.0,0.0,-2114.0,41022910.0,-24513510.0,0.0,-16509400.0
17/08/2026,8310.0,8480.0,-170.0,-0.02004717,8300.0,8590.0,8300.0,80254.0,669033950.0,0.0,0.0,80254.0,669033950.0,9015.0,-11415.0,0.0,2400.0,74955659.0,-95099660.0,0.0,20144000.0
14/08/2026,8480.0,8500.0,-20.0,-0.00235294,8300.0,8550.0,8300.0,184174.0,1549047500.0,0.0,0.0,184174.0,1549047500.0,30263.0,-28563.0,0.0,-1700.0,252321600.0,-238058600.0,0.0,-14263000.0
13/08/2026,8500.0,8690.0,-190.0,-0.02186421,8800.0,8940.0,8460.0,292272.0,2545033510.0,0.0,0.0,292272.0,2545033510.0,96606.0,-76206.0,0.0,-20400.0,860170500.0,-681603500.0,0.0,-178567000.0
12/08/2026,8690.0,8660.0,30.0,0.0034642,8400.0,9260.0,8400.0,377343.0,3340603880.0,0.0,0.0,377343.0,3340603880.0,53580.0,-19480.0,0.0,-34100.0,486044949.0,-189957950.0,0.0,-296087000.0
11/08/2026,8660.0,8190.0,470.0,0.05738706,8750.0,8750.0,8220.0,781310.0,6669111930.0,0.0,0.0,781310.0,6669111930.0,-25441.0,49041.0,0.0,-23600.0,-239698111.0,437878110.0,0.0,-198180000.0
10/08/2026,8190.0,7660.0,530.0,0.0691906,7680.0,8190.0,7680.0,175608.0,1410550380.0,0.0,0.0,175608.0,1410550380.0,80072.0,-80172.0,0.0,100.0,640465590.0,-641234590.0,0.0,769000.0
07/08/2026,7660.0,7860.0,-200.0,-0.02544529,7860.0,7860.0,7560.0,145306.0,1120979040.0,0.0,0.0,145306.0,1120979040.0,29454.0,-13154.0,0.0,-16300.0,227745290.0,-101195290.0,0.0,-126550000.0
06/08/2026,7860.0,7890.0,-30.0,-0.00380228,8060.0,8380.0,7500.0,556146.0,4437137640.0,0.0,0.0,556146.0,4437137640.0,78166.0,-14966.0,0.0,-63200.0,618234091.0,-120150090.0,0.0,-498084000.0
05/08/2026,7890.0,7380.0,510.0,0.06910569,7590.0,7890.0,7500.0,435741.0,3403744300.0,0.0,0.0,435741.0,3403744300.0,-115796.0,117009.0,0.0,-1213.0,-917420441.0,926857010.0,0.0,-9436570.0
04/08/2026,7380.0,6900.0,480.0,0.06956522,6910.0,7380.0,6850.0,285554.0,2048773520.0,0.0,0.0,285554.0,2048773520.0,-64812.0,64512.0,0.0,300.0,-462569000.0,462160000.0,0.0,409000.0
03/08/2026,6900.0,6660.0,240.0,0.03603604,6660.0,6990.0,6660.0,255861.0,1755402520.0,0.0,0.0,255861.0,1755402520.0,-103393.0,72203.0,0.0,31190.0,-710865240.0,496255240.0,0.0,214610000.0
31/07/2026,6660.0,6700.0,-40.0,-0.00597015,6930.0,6930.0,6660.0,227337.0,1537402420.0,0.0,0.0,227337.0,1537402420.0,56515.0,-34415.0,0.0,-22100.0,377071800.0,-227908800.0,0.0,-149163000.0
30/07/2026,6700.0,6590.0,110.0,0.01669196,6640.0,6780.0,6570.0,274591.0,1824988450.0,0.0,0.0,274591.0,1824988450.0,-90454.0,73454.0,0.0,17000.0,-600843201.0,487788200.0,0.0,113055000.0
29/07/2026,6590.0,6630.0,-40.0,-0.00603318,6620.0,6670.0,6590.0,192192.0,1273215130.0,0.0,0.0,192192.0,1273215130.0,-87106.0,72706.0,0.0,14400.0,-577465551.0,481945550.0,0.0,95520000.0
28/07/2026,6630.0,6550.0,80.0,0.01221374,6450.0,6680.0,6410.0,201395.0,1322251590.0,0.0,0.0,201395.0,1322251590.0,-12029.0,-14971.0,0.0,27000.0,-79296480.0,-97819520.0,0.0,177116000.0
