NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,6970.0,6980.0,-10.0,-0.00143266,6970.0,6970.0,6970.0,600.0,4182000.0,0.0,0.0,600.0,4182000.0,600.0,-600.0,0.0,0.0,4182000.0,-4182000.0,0.0,0.0
27/08/2026,6980.0,6980.0,0.0,0.0,6980.0,6980.0,6980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,6980.0,6980.0,0.0,0.0,6980.0,6980.0,6980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,6980.0,6980.0,0.0,0.0,6980.0,6980.0,6980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,6980.0,6970.0,10.0,0.00143472,6980.0,6980.0,6980.0,200.0,1396000.0,0.0,0.0,200.0,1396000.0,-200.0,200.0,0.0,0.0,-1396000.0,1396000.0,0.0,0.0
21/08/2026,6970.0,6970.0,0.0,0.0,6950.0,6970.0,6900.0,2400.0,16700000.0,0.0,0.0,2400.0,16700000.0,-1100.0,1100.0,0.0,0.0,-7649000.0,7649000.0,0.0,0.0
20/08/2026,6970.0,6970.0,0.0,0.0,6970.0,6970.0,6970.0,1.0,6990.0,0.0,0.0,1.0,6990.0,1.0,-1.0,0.0,0.0,6990.0,-6990.0,0.0,0.0
19/08/2026,6970.0,6970.0,0.0,0.0,6900.0,6970.0,6540.0,400.0,2731000.0,0.0,0.0,400.0,2731000.0,0.0,0.0,0.0,0.0,-29000.0,29000.0,0.0,0.0
18/08/2026,6970.0,6970.0,0.0,0.0,6970.0,6970.0,6970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,6970.0,6970.0,0.0,0.0,6970.0,6970.0,6970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,6970.0,6970.0,0.0,0.0,6970.0,6970.0,6970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/08/2026,6970.0,6970.0,0.0,0.0,6970.0,6970.0,6970.0,500.0,3485000.0,0.0,0.0,500.0,3485000.0,100.0,-100.0,0.0,0.0,697000.0,-697000.0,0.0,0.0
12/08/2026,6970.0,6980.0,-10.0,-0.00143266,6980.0,6980.0,6890.0,2300.0,15947000.0,0.0,0.0,2300.0,15947000.0,-1400.0,1400.0,0.0,0.0,-9674000.0,9674000.0,0.0,0.0
11/08/2026,6980.0,6890.0,90.0,0.01306241,6980.0,6980.0,6980.0,100.0,698000.0,0.0,0.0,100.0,698000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/08/2026,6890.0,6890.0,0.0,0.0,6890.0,6890.0,6890.0,200.0,1378000.0,0.0,0.0,200.0,1378000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
