NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
11/09/2026,8640.289,8990.0,0.0,0.0,8640.289,8640.289,8640.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/09/2026,8640.289,8990.0,0.0,0.0,8640.289,8640.289,8640.289,18.0,158040.0,0.0,0.0,18.0,158040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/09/2026,8640.289,8500.0,490.0,0.05764706,8621.067,8640.289,8621.067,410.0,3680240.0,0.0,0.0,410.0,3680240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/09/2026,8169.35,8560.0,-60.0,-0.00700935,8640.289,8640.289,8169.35,277.0,2408820.0,0.0,0.0,277.0,2408820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/09/2026,8227.016,8560.0,0.0,0.0,8227.016,8227.016,8227.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/09/2026,8227.016,8560.0,0.0,0.0,8227.016,8227.016,8227.016,91.0,755170.0,0.0,0.0,91.0,755170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,8227.016,8560.0,0.0,0.0,8227.016,8227.016,8227.016,4.0,34240.0,0.0,0.0,4.0,34240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,8227.016,8560.0,0.0,0.0,8227.016,8227.016,8227.016,200.0,1712000.0,0.0,0.0,200.0,1712000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,8227.016,8000.0,560.0,0.07,7265.916,8227.016,7265.916,306.0,2458860.0,0.0,0.0,306.0,2458860.0,-6.0,6.0,0.0,0.0,-46860.0,46860.0,0.0,0.0
26/08/2026,7688.8,7690.0,310.0,0.04031209,7016.03,7688.8,7016.03,300.0,2330000.0,0.0,0.0,300.0,2330000.0,300.0,-300.0,0.0,0.0,2330000.0,-2330000.0,0.0,0.0
