NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,32350.0,32950.0,-600.0,-0.01820941,33250.0,33250.0,32350.0,2212758.0,72452993600.0,0.0,0.0,2212758.0,72452993600.0,-1430.0,27430.0,-26500.0,-26000.0,-71205150.0,930175150.0,-858450000.0,-858970000.0
27/08/2026,32950.0,33400.0,-450.0,-0.01347305,33450.0,33550.0,32850.0,2058979.0,68042500850.0,0.0,0.0,2058979.0,68042500850.0,-122260.0,304069.0,107900.0,-181809.0,-4028530550.0,10057112550.0,3568280000.0,-6028582000.0
26/08/2026,33400.0,32500.0,900.0,0.02769231,32500.0,34250.0,32500.0,4790030.0,160565814200.0,0.0,0.0,4790030.0,160565814200.0,1611.0,61989.0,71900.0,-63600.0,94658099.0,2033006900.0,2406010000.0,-2127665000.0
25/08/2026,32500.0,32200.0,300.0,0.00931677,32200.0,32500.0,31750.0,2612696.0,83924457100.0,0.0,0.0,2612696.0,83924457100.0,-199071.0,11971.0,-33900.0,187100.0,-6363152950.0,384362949.0,-1078690000.0,5978790000.0
24/08/2026,32200.0,32100.0,100.0,0.00311526,32300.0,33300.0,32100.0,3398166.0,111063705050.0,0.0,0.0,3398166.0,111063705050.0,331600.0,31500.0,15500.0,-363100.0,10878498849.0,1062476150.0,494695000.0,-11940975000.0
21/08/2026,32100.0,31450.0,650.0,0.02066773,31250.0,32250.0,31200.0,2202440.0,70269552900.0,0.0,0.0,2202440.0,70269552900.0,271263.0,-19063.0,26900.0,-252200.0,8603270300.0,-604935300.0,872310000.0,-7998335000.0
20/08/2026,31450.0,31700.0,-250.0,-0.00788644,31950.0,31950.0,31200.0,1407628.0,44280957650.0,0.0,0.0,1407628.0,44280957650.0,299411.0,-65611.0,81500.0,-233800.0,9423372649.0,-2053277650.0,2573915000.0,-7370095000.0
19/08/2026,31700.0,32000.0,-300.0,-0.009375,32300.0,32300.0,31450.0,1514860.0,48122994100.0,0.0,0.0,1514860.0,48122994100.0,-274505.0,390305.0,33700.0,-115800.0,-8727440450.0,12416280450.0,1068945000.0,-3688840000.0
18/08/2026,32000.0,31350.0,650.0,0.02073365,31600.0,32900.0,31350.0,3424915.0,110093382950.0,0.0,0.0,3424915.0,110093382950.0,-165599.0,399299.0,-42000.0,-233700.0,-5300522500.0,12840292500.0,-1346695000.0,-7539770000.0
17/08/2026,31350.0,31200.0,150.0,0.00480769,31200.0,32100.0,30900.0,1802975.0,56584442650.0,0.0,0.0,1802975.0,56584442650.0,195459.0,-240659.0,48900.0,45200.0,6141160000.0,-7507395000.0,1539765000.0,1366235000.0
14/08/2026,31200.0,32650.0,-1450.0,-0.04441041,32250.0,32600.0,31200.0,3667135.0,116354588100.0,0.0,0.0,3667135.0,116354588100.0,185995.0,-428495.0,-190000.0,242500.0,5898417250.0,-13488492250.0,-5995300000.0,7590075000.0
13/08/2026,32650.0,32250.0,400.0,0.0124031,32000.0,32900.0,31850.0,4980720.0,161779708700.0,0.0,0.0,4980720.0,161779708700.0,-66849.0,414749.0,-19400.0,-347900.0,-2198845700.0,13478140700.0,-629185000.0,-11279295000.0
12/08/2026,32250.0,31400.0,850.0,0.02707006,31400.0,32650.0,31300.0,3734965.0,119367100300.0,0.0,0.0,3734965.0,119367100300.0,152376.0,131424.0,73100.0,-283800.0,4936894550.0,4164650450.0,2311320000.0,-9101545000.0
11/08/2026,31400.0,31800.0,-400.0,-0.01257862,31800.0,32200.0,31250.0,2519084.0,79506778950.0,0.0,0.0,2519084.0,79506778950.0,-614470.0,322970.0,10800.0,291500.0,-19394245600.0,10216755600.0,341210000.0,9177490000.0
10/08/2026,31800.0,29750.0,2050.0,0.06890756,31800.0,31800.0,31100.0,6126238.0,193648279950.0,0.0,0.0,6126238.0,193648279950.0,-242098.0,-50102.0,-101500.0,292200.0,-7571520200.0,-1638039800.0,-3232845000.0,9209560000.0
07/08/2026,29750.0,27850.0,1900.0,0.06822262,28250.0,29750.0,28200.0,2132442.0,62874746100.0,0.0,0.0,2132442.0,62874746100.0,-4962.0,-221438.0,-2200.0,226400.0,1413900.0,-6578093900.0,-65450000.0,6576680000.0
