NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,14200.0,14200.0,0.0,0.0,14200.0,14200.0,14000.0,2689949.0,37979634850.0,0.0,0.0,2689949.0,37979634850.0,1141189.0,210256.0,0.0,-1351445.0,16131074400.0,2942206850.0,0.0,-19073281250.0
27/08/2026,14200.0,14250.0,-50.0,-0.00350877,14250.0,14250.0,14050.0,1598505.0,22632726650.0,0.0,0.0,1598505.0,22632726650.0,585805.0,-81605.0,0.0,-504200.0,8306250601.0,-1154760600.0,0.0,-7151490000.0
26/08/2026,14250.0,14300.0,-50.0,-0.0034965,14350.0,14400.0,14150.0,1358301.0,19362026000.0,112000.0,1601600000.0,1470301.0,20963626000.0,314993.0,31107.0,0.0,-346100.0,4500331800.0,448798200.0,0.0,-4949130000.0
25/08/2026,14300.0,14250.0,50.0,0.00350877,14300.0,14600.0,14150.0,2726253.0,39246376200.0,975000.0,13893750000.0,3701253.0,53140126200.0,-286416.0,54016.0,0.0,232400.0,-4085881350.0,778621350.0,0.0,3307260000.0
24/08/2026,14250.0,14150.0,100.0,0.00706714,14200.0,14300.0,14100.0,1272988.0,18085559650.0,0.0,0.0,1272988.0,18085559650.0,-112725.0,-227475.0,700.0,340200.0,-1603075950.0,-3230189050.0,9975000.0,4833265000.0
21/08/2026,14150.0,14050.0,100.0,0.00711744,14050.0,14200.0,14000.0,1724458.0,24323223150.0,0.0,0.0,1724458.0,24323223150.0,-602209.0,195809.0,0.0,406400.0,-8482581599.0,2755841600.0,0.0,5726740000.0
20/08/2026,14050.0,14000.0,50.0,0.00357143,14100.0,14100.0,13950.0,956143.0,13397198300.0,0.0,0.0,956143.0,13397198300.0,-2675.0,-63025.0,0.0,65700.0,-40463100.0,-878706900.0,0.0,919170000.0
19/08/2026,14000.0,14150.0,-150.0,-0.01060071,14100.0,14150.0,14000.0,915430.0,12834291400.0,0.0,0.0,915430.0,12834291400.0,232772.0,-214372.0,0.0,-18400.0,3258990900.0,-3000615900.0,0.0,-258375000.0
18/08/2026,14150.0,14100.0,50.0,0.0035461,14100.0,14150.0,14000.0,1431994.0,20188319350.0,0.0,0.0,1431994.0,20188319350.0,200593.0,-210091.0,0.0,9498.0,2825619750.0,-2958870000.0,0.0,133250250.0
17/08/2026,14100.0,14050.0,50.0,0.00355872,14000.0,14100.0,13900.0,1510187.0,21173540100.0,0.0,0.0,1510187.0,21173540100.0,85345.0,-58845.0,700.0,-26500.0,1232460600.0,-858740600.0,9800000.0,-373720000.0
