NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,48000.0,48100.0,-100.0,-0.002079,48100.0,48200.0,47800.0,309740.0,14853857200.0,0.0,0.0,309740.0,14853857200.0,88296.0,21804.0,45700.0,-110100.0,4235610250.0,1045944750.0,2193215000.0,-5281555000.0
27/08/2026,48100.0,47800.0,300.0,0.00627615,48300.0,48450.0,47850.0,555141.0,26743309700.0,177000.0,8460600000.0,732141.0,35203909700.0,171329.0,-36219.0,0.0,-135110.0,8258141599.0,-1749896600.0,0.0,-6508245000.0
26/08/2026,47800.0,47600.0,200.0,0.00420168,47600.0,48400.0,47150.0,545957.0,26091479900.0,0.0,0.0,545957.0,26091479900.0,43536.0,100964.0,-34200.0,-144500.0,2056277651.0,4850422350.0,-1629920000.0,-6906700000.0
25/08/2026,47600.0,48350.0,-750.0,-0.01551189,48350.0,48350.0,47600.0,968799.0,46543562700.0,0.0,0.0,968799.0,46543562700.0,448656.0,-58387.0,0.0,-390269.0,21566246950.0,-2814590450.0,0.0,-18751656500.0
24/08/2026,48350.0,48400.0,-50.0,-0.00103306,48500.0,48800.0,48100.0,664792.0,32102098700.0,0.0,0.0,664792.0,32102098700.0,200460.0,-37660.0,34200.0,-162800.0,9675749749.0,-1814539750.0,1657880000.0,-7861210000.0
21/08/2026,48400.0,47500.0,900.0,0.01894737,47500.0,48650.0,47300.0,1167996.0,56276630800.0,300000.0,14010000000.0,1467996.0,70286630800.0,149012.0,-36012.0,0.0,-113000.0,7154098951.0,-1724113950.0,0.0,-5429985000.0
20/08/2026,47500.0,47600.0,-100.0,-0.00210084,47750.0,48050.0,47000.0,1021687.0,48669797250.0,0.0,0.0,1021687.0,48669797250.0,402624.0,-159624.0,0.0,-243000.0,19183091100.0,-7610576100.0,0.0,-11572515000.0
19/08/2026,47600.0,46700.0,900.0,0.01927195,46700.0,48300.0,46700.0,1403900.0,67091520750.0,340000.0,15878000000.0,1743900.0,82969520750.0,629981.0,-252951.0,0.0,-377030.0,30101649200.0,-12105640200.0,0.0,-17996009000.0
18/08/2026,46700.0,45800.0,900.0,0.01965066,45800.0,47700.0,45800.0,1388463.0,65176647850.0,0.0,0.0,1388463.0,65176647850.0,120313.0,-87543.0,0.0,-32770.0,5638636700.0,-4118173700.0,0.0,-1520463000.0
17/08/2026,45800.0,45900.0,-100.0,-0.00217865,45900.0,46200.0,45600.0,378078.0,17306153750.0,395000.0,18170000000.0,773078.0,35476153750.0,214562.0,-9022.0,0.0,-205540.0,9812348450.0,-408229500.0,0.0,-9404118950.0
14/08/2026,45900.0,45800.0,100.0,0.00218341,45950.0,47000.0,45600.0,1168330.0,53972814100.0,1796700.0,76898760000.0,2965030.0,130871574100.0,364246.0,-30446.0,0.0,-333800.0,16780623800.0,-1406453800.0,0.0,-15374170000.0
13/08/2026,45800.0,46350.0,-550.0,-0.01186624,46500.0,46550.0,45800.0,637102.0,29376051200.0,489000.0,22400000000.0,1126102.0,51776051200.0,311008.0,-112178.0,0.0,-198830.0,14325425750.0,-5165005250.0,0.0,-9160420500.0
12/08/2026,46350.0,46100.0,250.0,0.00542299,46050.0,46800.0,46050.0,582844.0,27070476300.0,297600.0,13719360000.0,880444.0,40789836300.0,150855.0,6745.0,0.0,-157600.0,7014758750.0,309486250.0,0.0,-7324245000.0
11/08/2026,46100.0,46400.0,-300.0,-0.00646552,46650.0,46650.0,46100.0,548413.0,25394094950.0,2180700.0,100234600000.0,2729113.0,125628694950.0,103292.0,82558.0,0.0,-185850.0,4791548000.0,3814454900.0,0.0,-8606002900.0
10/08/2026,46400.0,46200.0,200.0,0.004329,46200.0,47400.0,46000.0,761004.0,35457794250.0,0.0,0.0,761004.0,35457794250.0,87224.0,63263.0,0.0,-150487.0,4084386700.0,2941430000.0,0.0,-7025816700.0
07/08/2026,46200.0,46500.0,-300.0,-0.00645161,46500.0,46850.0,46100.0,473524.0,21954058600.0,2045700.0,94102200000.0,2519224.0,116056258600.0,100707.0,80083.0,0.0,-180790.0,4668816750.0,3710107750.0,0.0,-8378924500.0
06/08/2026,46500.0,45200.0,1300.0,0.02876106,45250.0,47400.0,45050.0,763572.0,35402188900.0,69000.0,3118800000.0,832572.0,38520988900.0,143497.0,56548.0,0.0,-200045.0,6727370101.0,2614805400.0,0.0,-9342175500.0
05/08/2026,45200.0,46050.0,-850.0,-0.0184582,46500.0,46500.0,45200.0,633777.0,29027879050.0,0.0,0.0,633777.0,29027879050.0,140480.0,25859.0,0.0,-166339.0,6425938250.0,1176774650.0,0.0,-7602712900.0
04/08/2026,46050.0,46050.0,0.0,0.0,46300.0,46300.0,45750.0,361021.0,16594612500.0,543600.0,25032780000.0,904621.0,41627392500.0,99669.0,-63469.0,0.0,-36200.0,4580492451.0,-2917537450.0,0.0,-1662955000.0
03/08/2026,46050.0,45250.0,800.0,0.01767956,45300.0,46500.0,45300.0,448142.0,20630430600.0,0.0,0.0,448142.0,20630430600.0,698.0,22702.0,0.0,-23400.0,48923200.0,1034551800.0,0.0,-1083475000.0
31/07/2026,45250.0,45200.0,50.0,0.00110619,45600.0,45600.0,44750.0,364813.0,16467973000.0,0.0,0.0,364813.0,16467973000.0,70171.0,2129.0,0.0,-72300.0,3164581700.0,98838300.0,0.0,-3263420000.0
