NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,7320.0,7390.0,-70.0,-0.00947226,7390.0,7390.0,7150.0,36686.0,270358280.0,0.0,0.0,36686.0,270358280.0,3200.0,0.0,0.0,-3200.0,23648000.0,0.0,0.0,-23648000.0
03/09/2026,7390.0,7470.0,-80.0,-0.0107095,7210.0,7390.0,7170.0,3000.0,21686000.0,0.0,0.0,3000.0,21686000.0,-1300.0,0.0,0.0,1300.0,-9373000.0,0.0,0.0,9373000.0
28/08/2026,7470.0,7440.0,30.0,0.00403226,7300.0,7470.0,7300.0,10700.0,78144000.0,0.0,0.0,10700.0,78144000.0,-500.0,500.0,0.0,0.0,-3650000.0,3650000.0,0.0,0.0
27/08/2026,7440.0,7470.0,-30.0,-0.00401606,7350.0,7440.0,7220.0,4735.0,34661570.0,0.0,0.0,4735.0,34661570.0,-297.0,-403.0,0.0,700.0,-1997470.0,-3056530.0,0.0,5054000.0
26/08/2026,7470.0,7490.0,-20.0,-0.00267023,7470.0,7470.0,7470.0,300.0,2241000.0,0.0,0.0,300.0,2241000.0,-300.0,300.0,0.0,0.0,-2241000.0,2241000.0,0.0,0.0
25/08/2026,7490.0,7500.0,-10.0,-0.00133333,7270.0,7490.0,7270.0,1710.0,12605500.0,0.0,0.0,1710.0,12605500.0,-290.0,-10.0,0.0,300.0,-2000500.0,-189500.0,0.0,2190000.0
24/08/2026,7500.0,7370.0,130.0,0.01763908,7370.0,7500.0,7110.0,125699.0,938876190.0,0.0,0.0,125699.0,938876190.0,42949.0,-44949.0,0.0,2000.0,321547190.0,-336226190.0,0.0,14679000.0
21/08/2026,7370.0,7320.0,50.0,0.0068306,7200.0,7400.0,7200.0,50048.0,363737350.0,0.0,0.0,50048.0,363737350.0,4800.0,-4800.0,0.0,0.0,35203020.0,-35203020.0,0.0,0.0
20/08/2026,7320.0,7290.0,30.0,0.00411523,7110.0,7320.0,7110.0,105994.0,773808880.0,0.0,0.0,105994.0,773808880.0,45691.0,-45691.0,0.0,0.0,333584390.0,-333584390.0,0.0,0.0
19/08/2026,7290.0,7210.0,80.0,0.0110957,7040.0,7300.0,7040.0,127137.0,913545290.0,0.0,0.0,127137.0,913545290.0,56800.0,-57000.0,0.0,200.0,410130000.0,-411550000.0,0.0,1420000.0
18/08/2026,7210.0,7260.0,-50.0,-0.00688705,7200.0,7210.0,7020.0,77810.0,554725000.0,0.0,0.0,77810.0,554725000.0,47201.0,-1201.0,0.0,-46000.0,339736000.0,-8536000.0,0.0,-331200000.0
17/08/2026,7260.0,7230.0,30.0,0.00414938,7030.0,7260.0,7030.0,48301.0,339705780.0,0.0,0.0,48301.0,339705780.0,0.0,0.0,0.0,0.0,132000.0,-132000.0,0.0,0.0
14/08/2026,7230.0,7240.0,-10.0,-0.00138122,7200.0,7300.0,7030.0,57605.0,410525100.0,0.0,0.0,57605.0,410525100.0,300.0,-300.0,0.0,0.0,2112000.0,-2112000.0,0.0,0.0
13/08/2026,7240.0,7290.0,-50.0,-0.00685871,7020.0,7240.0,7000.0,51497.0,360962700.0,0.0,0.0,51497.0,360962700.0,-1100.0,1200.0,0.0,-100.0,-7687000.0,8411000.0,0.0,-724000.0
12/08/2026,7290.0,7300.0,-10.0,-0.00136986,7010.0,7610.0,7010.0,42604.0,302672480.0,0.0,0.0,42604.0,302672480.0,-599.0,399.0,0.0,200.0,-4210700.0,2796700.0,0.0,1414000.0
11/08/2026,7300.0,7140.0,160.0,0.02240896,6880.0,7300.0,6880.0,94410.0,669053260.0,0.0,0.0,94410.0,669053260.0,6975.0,-7075.0,0.0,100.0,50072160.0,-50762160.0,0.0,690000.0
10/08/2026,7140.0,7150.0,-10.0,-0.0013986,7150.0,7150.0,7000.0,46439.0,328622240.0,0.0,0.0,46439.0,328622240.0,13300.0,-13300.0,0.0,0.0,93395000.0,-93395000.0,0.0,0.0
07/08/2026,7150.0,7080.0,70.0,0.00988701,7000.0,7150.0,6910.0,43706.0,306568110.0,0.0,0.0,43706.0,306568110.0,2301.0,-2301.0,0.0,0.0,16330060.0,-16330060.0,0.0,0.0
06/08/2026,7080.0,7050.0,30.0,0.00425532,7190.0,7190.0,6950.0,25217.0,175291510.0,0.0,0.0,25217.0,175291510.0,-90.0,90.0,0.0,0.0,-652800.0,652800.0,0.0,0.0
05/08/2026,7050.0,7000.0,50.0,0.00714286,7000.0,7150.0,6900.0,30574.0,211544790.0,0.0,0.0,30574.0,211544790.0,5334.0,-5334.0,0.0,0.0,37342990.0,-37342990.0,0.0,0.0
04/08/2026,7000.0,7180.0,-180.0,-0.02506964,7150.0,7150.0,7000.0,68636.0,482019340.0,0.0,0.0,68636.0,482019340.0,37808.0,-38199.0,0.0,391.0,264670200.0,-267428090.0,0.0,2757890.0
03/08/2026,7180.0,7180.0,0.0,0.0,7180.0,7180.0,7180.0,79742.0,572540190.0,0.0,0.0,79742.0,572540190.0,15419.0,-15419.0,0.0,0.0,110704990.0,-110704990.0,0.0,0.0
31/07/2026,7180.0,7180.0,0.0,0.0,6850.0,7180.0,6820.0,4084.0,28495520.0,0.0,0.0,4084.0,28495520.0,2918.0,-2918.0,0.0,0.0,20510080.0,-20510080.0,0.0,0.0
30/07/2026,7180.0,7180.0,0.0,0.0,7180.0,7230.0,6910.0,13602.0,95328080.0,0.0,0.0,13602.0,95328080.0,-1300.0,400.0,0.0,900.0,-9070000.0,2851000.0,0.0,6219000.0
29/07/2026,7180.0,7070.0,110.0,0.0155587,7090.0,7180.0,7050.0,18235.0,129921640.0,0.0,0.0,18235.0,129921640.0,-4710.0,4710.0,0.0,0.0,-33581000.0,33581000.0,0.0,0.0
28/07/2026,7070.0,7110.0,-40.0,-0.00562588,7030.0,7150.0,7030.0,29317.0,208087850.0,0.0,0.0,29317.0,208087850.0,2500.0,-2500.0,0.0,0.0,17615000.0,-17615000.0,0.0,0.0
27/07/2026,7110.0,7100.0,10.0,0.00140845,7020.0,7150.0,6910.0,19306.0,137119400.0,0.0,0.0,19306.0,137119400.0,-9694.0,9694.0,0.0,0.0,-68925601.0,68925600.0,0.0,0.0
24/07/2026,7100.0,7100.0,0.0,0.0,7000.0,7200.0,7000.0,69000.0,491838000.0,0.0,0.0,69000.0,491838000.0,33700.0,-25000.0,0.0,-8700.0,239889000.0,-178439000.0,0.0,-61450000.0
23/07/2026,7100.0,7140.0,-40.0,-0.00560224,7100.0,7100.0,7100.0,30000.0,213000000.0,0.0,0.0,30000.0,213000000.0,12700.0,-2700.0,0.0,-10000.0,90170000.0,-19170000.0,0.0,-71000000.0
22/07/2026,7140.0,7020.0,120.0,0.01709402,7000.0,7170.0,7000.0,23414.0,165165040.0,0.0,0.0,23414.0,165165040.0,11306.0,-1300.0,0.0,-10006.0,79207280.0,-9167000.0,0.0,-70040280.0
21/07/2026,7020.0,7210.0,-190.0,-0.02635229,7200.0,7210.0,7000.0,99000.0,707579000.0,0.0,0.0,99000.0,707579000.0,23600.0,-13600.0,0.0,-10000.0,170135000.0,-98135000.0,0.0,-72000000.0
20/07/2026,7210.0,7210.0,0.0,0.0,7210.0,7210.0,6750.0,224519.0,1572369550.0,0.0,0.0,224519.0,1572369550.0,5405.0,-5405.0,0.0,0.0,37103750.0,-37103750.0,0.0,0.0
17/07/2026,7210.0,7230.0,-20.0,-0.00276625,6900.0,7230.0,6900.0,92031.0,656625550.0,0.0,0.0,92031.0,656625550.0,19200.0,-9200.0,0.0,-10000.0,137728000.0,-65428000.0,0.0,-72300000.0
16/07/2026,7230.0,7290.0,-60.0,-0.00823045,7230.0,7230.0,7000.0,58734.0,413724580.0,0.0,0.0,58734.0,413724580.0,9327.0,-9327.0,0.0,0.0,65355300.0,-65355300.0,0.0,0.0
