NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,10350.0,10350.0,0.0,0.0,10350.0,10800.0,10000.0,14606.0,155825640.0,0.0,0.0,14606.0,155825640.0,-13600.0,0.0,0.0,13600.0,-145450000.0,0.0,0.0,145450000.0
03/09/2026,10350.0,10650.0,-300.0,-0.02816901,10350.0,10350.0,10350.0,102.0,1054900.0,0.0,0.0,102.0,1054900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,10650.0,10300.0,350.0,0.03398058,10300.0,10800.0,10300.0,400.0,4255000.0,0.0,0.0,400.0,4255000.0,-300.0,300.0,0.0,0.0,-3175000.0,3175000.0,0.0,0.0
27/08/2026,10300.0,9850.0,450.0,0.04568528,10450.0,10450.0,9180.0,5310.0,49096700.0,0.0,0.0,5310.0,49096700.0,4700.0,300.0,0.0,-5000.0,42795001.0,3105000.0,0.0,-45900000.0
26/08/2026,9850.0,9210.0,640.0,0.06948969,9850.0,9850.0,8590.0,9682.0,83798940.0,0.0,0.0,9682.0,83798940.0,8859.0,241.0,0.0,-9100.0,75721600.0,2449400.0,0.0,-78171000.0
25/08/2026,9210.0,9900.0,-690.0,-0.06969697,10400.0,10500.0,9210.0,11568.0,119760860.0,0.0,0.0,11568.0,119760860.0,-10901.0,701.0,0.0,10200.0,-113503790.0,7304790.0,0.0,106199000.0
24/08/2026,9900.0,9900.0,0.0,0.0,9900.0,9900.0,9900.0,2.0,18710.0,0.0,0.0,2.0,18710.0,-1.0,1.0,0.0,0.0,-9210.0,9210.0,0.0,0.0
21/08/2026,9900.0,9440.0,460.0,0.04872881,9900.0,9900.0,9900.0,100.0,990000.0,0.0,0.0,100.0,990000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,9440.0,8830.0,610.0,0.06908267,8220.0,9440.0,8220.0,13488.0,114192000.0,0.0,0.0,13488.0,114192000.0,7700.0,2900.0,0.0,-10600.0,60898000.0,26806000.0,0.0,-87704000.0
19/08/2026,8830.0,9490.0,-660.0,-0.06954689,9400.0,9980.0,8830.0,10500.0,103122000.0,0.0,0.0,10500.0,103122000.0,-9700.0,500.0,0.0,9200.0,-96058000.0,4415000.0,0.0,91643000.0
18/08/2026,9490.0,8880.0,610.0,0.06869369,9490.0,9490.0,9490.0,3027.0,28709760.0,0.0,0.0,3027.0,28709760.0,-3027.0,27.0,0.0,3000.0,-28709760.0,239760.0,0.0,28470000.0
17/08/2026,8880.0,8340.0,540.0,0.0647482,8880.0,8880.0,8880.0,120.0,1065590.0,0.0,0.0,120.0,1065590.0,-19.0,19.0,0.0,0.0,-168721.0,168720.0,0.0,0.0
14/08/2026,8340.0,7810.0,530.0,0.06786172,7710.0,8340.0,7710.0,9200.0,70995000.0,0.0,0.0,9200.0,70995000.0,9100.0,0.0,0.0,-9100.0,70224000.0,0.0,0.0,-70224000.0
13/08/2026,7810.0,7970.0,-160.0,-0.02007528,7810.0,7810.0,7810.0,2900.0,22649000.0,0.0,0.0,2900.0,22649000.0,2900.0,0.0,0.0,-2900.0,22649000.0,0.0,0.0,-22649000.0
12/08/2026,7970.0,8550.0,-580.0,-0.06783626,8000.0,8000.0,7970.0,403.0,3217910.0,0.0,0.0,403.0,3217910.0,399.0,1.0,0.0,-400.0,3186031.0,7970.0,0.0,-3194000.0
11/08/2026,8550.0,9190.0,-640.0,-0.06964091,9440.0,9440.0,8550.0,13517.0,126250350.0,0.0,0.0,13517.0,126250350.0,-10700.0,-1400.0,0.0,12100.0,-102165000.0,-11970000.0,0.0,114135000.0
10/08/2026,9190.0,9000.0,190.0,0.02111111,9190.0,9190.0,9190.0,2540.0,23330500.0,0.0,0.0,2540.0,23330500.0,-2496.0,-4.0,0.0,2500.0,-22939130.0,-35870.0,0.0,22975000.0
07/08/2026,9000.0,9000.0,0.0,0.0,9000.0,9000.0,9000.0,1.0,8990.0,0.0,0.0,1.0,8990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/08/2026,9000.0,8560.0,440.0,0.05140187,9000.0,9000.0,9000.0,106.0,947820.0,0.0,0.0,106.0,947820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/08/2026,8560.0,8010.0,550.0,0.06866417,7800.0,8560.0,7610.0,12620.0,96245190.0,0.0,0.0,12620.0,96245190.0,12501.0,-101.0,0.0,-12400.0,95237000.0,-778000.0,0.0,-94459000.0
04/08/2026,8010.0,8530.0,-520.0,-0.06096131,8010.0,8010.0,8010.0,2504.0,20057040.0,0.0,0.0,2504.0,20057040.0,2499.0,1.0,0.0,-2500.0,20016990.0,8010.0,0.0,-20025000.0
