NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,8990.0,9190.0,-200.0,-0.02176279,9110.0,9180.0,8990.0,125240.0,1131963950.0,0.0,0.0,125240.0,1131963950.0,11600.0,0.0,0.0,-11600.0,104997000.0,0.0,0.0,-104997000.0
28/08/2026,9190.0,9110.0,80.0,0.00878156,9110.0,9200.0,9080.0,53505.0,488263450.0,0.0,0.0,53505.0,488263450.0,2318.0,-14318.0,0.0,12000.0,20463300.0,-130544300.0,0.0,110081000.0
27/08/2026,9110.0,9230.0,-120.0,-0.01300108,9230.0,9240.0,9100.0,49900.0,455766290.0,0.0,0.0,49900.0,455766290.0,-3494.0,94.0,0.0,3400.0,-31758589.0,892590.0,0.0,30866000.0
26/08/2026,9230.0,9230.0,0.0,0.0,9200.0,9250.0,9140.0,106939.0,985821570.0,0.0,0.0,106939.0,985821570.0,-77991.0,76591.0,0.0,1400.0,-719073661.0,706138660.0,0.0,12935000.0
25/08/2026,9230.0,9240.0,-10.0,-0.00108225,9240.0,9240.0,8600.0,89663.0,807294680.0,0.0,0.0,89663.0,807294680.0,-31098.0,28498.0,0.0,2600.0,-285452910.0,261658910.0,0.0,23794000.0
24/08/2026,9240.0,9230.0,10.0,0.00108342,9240.0,9240.0,9140.0,74353.0,683898370.0,0.0,0.0,74353.0,683898370.0,-20551.0,26251.0,0.0,-5700.0,-188912360.0,241470360.0,0.0,-52558000.0
21/08/2026,9230.0,9000.0,230.0,0.02555556,8930.0,9250.0,8930.0,146502.0,1331697000.0,0.0,0.0,146502.0,1331697000.0,-57108.0,5508.0,0.0,51600.0,-522301000.0,48742000.0,0.0,473559000.0
20/08/2026,9000.0,8920.0,80.0,0.00896861,8860.0,9000.0,8860.0,69426.0,619445840.0,0.0,0.0,69426.0,619445840.0,-27710.0,31510.0,0.0,-3800.0,-246680000.0,280911000.0,0.0,-34231000.0
19/08/2026,8920.0,8990.0,-70.0,-0.00778643,8980.0,8980.0,8850.0,37821.0,337147600.0,0.0,0.0,37821.0,337147600.0,9394.0,-7894.0,0.0,-1500.0,83671121.0,-70301120.0,0.0,-13370000.0
18/08/2026,8990.0,9000.0,-10.0,-0.00111111,9000.0,9000.0,8930.0,89493.0,802644560.0,0.0,0.0,89493.0,802644560.0,-45211.0,44911.0,0.0,300.0,-406224000.0,403578000.0,0.0,2646000.0
17/08/2026,9000.0,9000.0,0.0,0.0,9000.0,9010.0,8870.0,103188.0,926994750.0,0.0,0.0,103188.0,926994750.0,-60383.0,64283.0,0.0,-3900.0,-544475050.0,579249050.0,0.0,-34774000.0
14/08/2026,9000.0,9110.0,-110.0,-0.01207464,9050.0,9080.0,8900.0,47514.0,428539650.0,0.0,0.0,47514.0,428539650.0,12113.0,-6613.0,0.0,-5500.0,108977940.0,-59320940.0,0.0,-49657000.0
13/08/2026,9110.0,9110.0,0.0,0.0,9110.0,9140.0,9050.0,112400.0,1022354000.0,0.0,0.0,112400.0,1022354000.0,-27100.0,35800.0,0.0,-8700.0,-246733000.0,325903000.0,0.0,-79170000.0
12/08/2026,9110.0,9130.0,-20.0,-0.00219058,9110.0,9170.0,9010.0,115772.0,1054594970.0,0.0,0.0,115772.0,1054594970.0,-19037.0,19637.0,0.0,-600.0,-175847669.0,181444670.0,0.0,-5597000.0
11/08/2026,9130.0,9150.0,-20.0,-0.00218579,9270.0,9270.0,9130.0,97634.0,894853880.0,0.0,0.0,97634.0,894853880.0,-2735.0,3853.0,0.0,-1118.0,-25324210.0,35455810.0,0.0,-10131600.0
