NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,26050.0,26050.0,0.0,0.0,26050.0,26500.0,25850.0,3251895.0,85002160100.0,200000.0,4850000000.0,3451895.0,89852160100.0,-3907.0,0.0,-23300.0,27207.0,-93297100.0,0.0,-613975000.0,707272100.0
28/08/2026,26050.0,26500.0,-450.0,-0.01698113,26300.0,26700.0,26050.0,4654819.0,122881501600.0,0.0,0.0,4654819.0,122881501600.0,-13745.0,3914.0,-115100.0,9831.0,-317343500.0,34123400.0,-3012105000.0,283220100.0
27/08/2026,26500.0,26500.0,0.0,0.0,26600.0,26900.0,26150.0,2639711.0,69782284200.0,3200000.0,85930000000.0,5839711.0,155712284200.0,-195824.0,34524.0,-20400.0,161300.0,-5136812650.0,895712650.0,-544940000.0,4241100000.0
26/08/2026,26500.0,26250.0,250.0,0.00952381,26250.0,26500.0,26000.0,3564999.0,93828478600.0,100000.0,2625000000.0,3664999.0,96453478600.0,-945238.0,234079.0,91100.0,711159.0,-24846627450.0,6159499850.0,2406125000.0,18687127600.0
25/08/2026,26250.0,26250.0,0.0,0.0,26100.0,26600.0,26100.0,5095816.0,134584840500.0,1000000.0,26368000000.0,6095816.0,160952840500.0,-1881523.0,-547537.0,-23000.0,2429060.0,-49691746050.0,-14469865450.0,-610210000.0,64161611500.0
24/08/2026,26250.0,26300.0,-50.0,-0.00190114,26500.0,27000.0,26200.0,6300079.0,167667864350.0,0.0,0.0,6300079.0,167667864350.0,-1256163.0,-557737.0,-153000.0,1813900.0,-33486660000.0,-14815690000.0,-4070120000.0,48302350000.0
21/08/2026,26300.0,25100.0,1200.0,0.04780876,25250.0,26600.0,25150.0,6442377.0,168078217600.0,1100000.0,29010000000.0,7542377.0,197088217600.0,225031.0,-347531.0,-63600.0,122500.0,5829003549.0,-9008763550.0,-1635680000.0,3179760000.0
20/08/2026,25100.0,24850.0,250.0,0.01006036,25100.0,25200.0,24900.0,1600409.0,40031584650.0,10937900.0,287269115200.0,12538309.0,327300699850.0,333880.0,-83514.0,-20000.0,-250366.0,8352331401.0,-2091644450.0,-499000000.0,-6260686950.0
19/08/2026,24850.0,25100.0,-250.0,-0.00996016,25000.0,25200.0,24750.0,2384360.0,59340171200.0,14707650.0,380475943500.0,17092010.0,439816114700.0,23757.0,-38454.0,-14500.0,14697.0,615763350.0,-958652600.0,-361015000.0,342889250.0
18/08/2026,25100.0,25300.0,-200.0,-0.00790514,25300.0,25650.0,24850.0,3919939.0,98815448800.0,12593900.0,332429614000.0,16513839.0,431245062800.0,405394.0,-69594.0,4200.0,-335800.0,10210577750.0,-1743192750.0,105630000.0,-8467385000.0
17/08/2026,25300.0,25200.0,100.0,0.00396825,25200.0,25400.0,25050.0,2044521.0,51648871000.0,15003300.0,389845800000.0,17047821.0,441494671000.0,330196.0,-123296.0,5800.0,-206900.0,8343620550.0,-3116965550.0,147930000.0,-5226655000.0
14/08/2026,25200.0,25700.0,-500.0,-0.01945525,25700.0,25800.0,25200.0,5078140.0,129191693000.0,12593900.0,333738350000.0,17672040.0,462930043000.0,96825.0,303225.0,-10200.0,-400050.0,2539662600.0,7686157400.0,-255675000.0,-10225820000.0
13/08/2026,25700.0,26150.0,-450.0,-0.01720841,26100.0,26500.0,25700.0,6154996.0,160249245750.0,1946600.0,52159059000.0,8101596.0,212408304750.0,384084.0,314916.0,0.0,-699000.0,10031333000.0,8207307000.0,0.0,-18238640000.0
12/08/2026,26150.0,26500.0,-350.0,-0.01320755,26650.0,26650.0,26150.0,3317809.0,87478999800.0,0.0,0.0,3317809.0,87478999800.0,-34965.0,36415.0,18200.0,-1450.0,-915058000.0,952938000.0,482665000.0,-37880000.0
11/08/2026,26500.0,25950.0,550.0,0.02119461,26150.0,27350.0,26100.0,9921610.0,265880230200.0,4896600.0,129752800000.0,14818210.0,395633030200.0,1537936.0,-1598779.0,-82200.0,60843.0,41394300401.0,-42943168650.0,-2206835000.0,1548868250.0
10/08/2026,25950.0,25350.0,600.0,0.02366864,25400.0,26000.0,25250.0,5493015.0,141348556850.0,2395000.0,61958650000.0,7888015.0,203307206850.0,458095.0,-285195.0,84500.0,-172900.0,11686814649.0,-7334599650.0,2190615000.0,-4352215000.0
07/08/2026,25350.0,25450.0,-100.0,-0.00392927,25300.0,25800.0,25300.0,2903472.0,73993212600.0,4270000.0,111524500000.0,7173472.0,185517712600.0,183417.0,-202517.0,52300.0,19100.0,4695886600.0,-5184441600.0,1327115000.0,488555000.0
06/08/2026,25450.0,25550.0,-100.0,-0.00391389,25550.0,26000.0,25350.0,2803924.0,71951641000.0,2495000.0,64825000000.0,5298924.0,136776641000.0,83102.0,-151072.0,-76800.0,67970.0,2150436200.0,-3883349750.0,-1981625000.0,1732913550.0
