NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,16700.0,16650.0,50.0,0.003003,16600.0,17000.0,16500.0,1276636.0,21403404450.0,0.0,0.0,1276636.0,21403404450.0,0.0,0.0,0.0,-22051.0,0.0,0.0,0.0,-360176450.0
28/08/2026,16650.0,16500.0,150.0,0.00909091,16550.0,16950.0,16500.0,1885085.0,31574761150.0,30000.0,525000000.0,1915085.0,32099761150.0,579508.0,-4891.0,-150000.0,-574617.0,9694825350.0,-94752200.0,-2513500000.0,-9600073150.0
27/08/2026,16500.0,16550.0,-50.0,-0.00302115,16700.0,16700.0,16500.0,944232.0,15658422900.0,0.0,0.0,944232.0,15658422900.0,203863.0,-37263.0,-35800.0,-166600.0,3377506550.0,-617546550.0,-594280000.0,-2759960000.0
26/08/2026,16550.0,16600.0,-50.0,-0.00301205,16550.0,16700.0,16450.0,1102544.0,18259014200.0,30000.0,465000000.0,1132544.0,18724014200.0,121340.0,109960.0,0.0,-231300.0,2004546651.0,1826218350.0,0.0,-3830765000.0
25/08/2026,16600.0,16750.0,-150.0,-0.00895522,16750.0,16750.0,16600.0,678807.0,11301800750.0,0.0,0.0,678807.0,11301800750.0,156018.0,-130118.0,0.0,-25900.0,2595427100.0,-2163907100.0,0.0,-431520000.0
24/08/2026,16750.0,16350.0,400.0,0.02446483,16500.0,16800.0,16350.0,1289085.0,21434362800.0,0.0,0.0,1289085.0,21434362800.0,51400.0,-183300.0,-130000.0,131900.0,839308600.0,-3035298600.0,-2160025000.0,2195990000.0
21/08/2026,16350.0,15750.0,600.0,0.03809524,15700.0,16450.0,15700.0,868456.0,14067728300.0,0.0,0.0,868456.0,14067728300.0,-137007.0,-5893.0,0.0,142900.0,-2223347300.0,-84462700.0,0.0,2307810000.0
20/08/2026,15750.0,15800.0,-50.0,-0.00316456,15750.0,15950.0,15750.0,453458.0,7173760100.0,25000.0,422500000.0,478458.0,7596260100.0,-95149.0,115849.0,0.0,-20700.0,-1504305051.0,1832930050.0,0.0,-328625000.0
19/08/2026,15800.0,16050.0,-250.0,-0.01557632,16150.0,16150.0,15600.0,1567870.0,24825922300.0,0.0,0.0,1567870.0,24825922300.0,96598.0,71102.0,19900.0,-167700.0,1491686150.0,1169248850.0,313760000.0,-2660935000.0
18/08/2026,16050.0,16250.0,-200.0,-0.01230769,16150.0,16350.0,16000.0,642241.0,10382425700.0,25000.0,380000000.0,667241.0,10762425700.0,42919.0,67981.0,0.0,-110900.0,692673750.0,1100376250.0,0.0,-1793050000.0
17/08/2026,16250.0,16200.0,50.0,0.00308642,16150.0,16350.0,16100.0,302130.0,4903855500.0,0.0,0.0,302130.0,4903855500.0,-8827.0,48827.0,0.0,-40000.0,-142144650.0,791829650.0,0.0,-649685000.0
14/08/2026,16200.0,16300.0,-100.0,-0.00613497,16300.0,16600.0,16200.0,1251112.0,20413073750.0,0.0,0.0,1251112.0,20413073750.0,315404.0,-305304.0,0.0,-10100.0,5158895850.0,-4996845850.0,0.0,-162050000.0
13/08/2026,16300.0,16550.0,-250.0,-0.01510574,16750.0,16800.0,16300.0,1064715.0,17600726550.0,0.0,0.0,1064715.0,17600726550.0,72772.0,81338.0,-20000.0,-154110.0,1208751450.0,1343770050.0,-331000000.0,-2552521500.0
12/08/2026,16550.0,16800.0,-250.0,-0.01488095,16750.0,17000.0,16400.0,1566710.0,26041164600.0,0.0,0.0,1566710.0,26041164600.0,790738.0,-571758.0,-3600.0,-218980.0,13153713900.0,-9509661900.0,-61225000.0,-3644052000.0
11/08/2026,16800.0,17050.0,-250.0,-0.01466276,17050.0,17100.0,16800.0,1000172.0,16915151250.0,0.0,0.0,1000172.0,16915151250.0,366913.0,-269413.0,-90000.0,-97500.0,6196705200.0,-4542565200.0,-1516500000.0,-1654140000.0
10/08/2026,17050.0,16550.0,500.0,0.03021148,16600.0,17200.0,16600.0,1465027.0,24723412400.0,0.0,0.0,1465027.0,24723412400.0,-203843.0,-79357.0,0.0,283200.0,-3438502200.0,-1343142800.0,0.0,4781645000.0
07/08/2026,16550.0,16550.0,0.0,0.0,16500.0,16800.0,16450.0,652895.0,10869631550.0,0.0,0.0,652895.0,10869631550.0,-130786.0,87536.0,0.0,43250.0,-2177735550.0,1458175550.0,0.0,719560000.0
06/08/2026,16550.0,16800.0,-250.0,-0.01488095,16750.0,17000.0,16550.0,889508.0,14842323500.0,0.0,0.0,889508.0,14842323500.0,2390.0,151593.0,-18400.0,-153983.0,44699950.0,2526104000.0,-306630000.0,-2570803950.0
05/08/2026,16800.0,16650.0,150.0,0.00900901,16850.0,16850.0,16650.0,1354058.0,22661809350.0,0.0,0.0,1354058.0,22661809350.0,-82260.0,290760.0,0.0,-208500.0,-1367202550.0,4857897550.0,0.0,-3490695000.0
04/08/2026,16650.0,16400.0,250.0,0.0152439,16450.0,16900.0,16450.0,943559.0,15733869250.0,0.0,0.0,943559.0,15733869250.0,307012.0,-58812.0,0.0,-248200.0,5118263900.0,-974753899.0,0.0,-4143510000.0
03/08/2026,16400.0,16150.0,250.0,0.01547988,16350.0,16700.0,16150.0,1646320.0,27077731900.0,0.0,0.0,1646320.0,27077731900.0,133631.0,-51631.0,-100000.0,-82000.0,2231436501.0,-863281500.0,-1640000000.0,-1368155000.0
31/07/2026,16150.0,16500.0,-350.0,-0.02121212,16650.0,16650.0,16100.0,1335762.0,21615904000.0,0.0,0.0,1335762.0,21615904000.0,372024.0,-254812.0,0.0,-117212.0,6001967101.0,-4093567700.0,0.0,-1908399400.0
30/07/2026,16500.0,16000.0,500.0,0.03125,16000.0,16700.0,16000.0,1199388.0,19704917250.0,0.0,0.0,1199388.0,19704917250.0,-287150.0,227991.0,-77500.0,59159.0,-4733566250.0,3800863800.0,-1275330000.0,932702450.0
29/07/2026,16000.0,16100.0,-100.0,-0.00621118,16150.0,16250.0,15800.0,2766928.0,44168277650.0,0.0,0.0,2766928.0,44168277650.0,273480.0,482630.0,261900.0,-756110.0,4379715649.0,7622603350.0,4154480000.0,-12002319000.0
28/07/2026,16100.0,15500.0,600.0,0.03870968,15200.0,16200.0,15200.0,1318136.0,20849485300.0,0.0,0.0,1318136.0,20849485300.0,-295901.0,-198097.0,0.0,493998.0,-4631492550.0,-3157945450.0,0.0,7789438000.0
