NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,16250.0,16200.0,50.0,0.00308642,16150.0,16300.0,16000.0,594347.0,9595880050.0,0.0,0.0,594347.0,9595880050.0,16500.0,0.0,0.0,-16500.0,269985000.0,0.0,0.0,-269985000.0
28/08/2026,16200.0,15950.0,250.0,0.01567398,15950.0,16200.0,15750.0,887002.0,14152902350.0,0.0,0.0,887002.0,14152902350.0,36800.0,-14200.0,0.0,-22600.0,586875000.0,-227160000.0,0.0,-359715000.0
27/08/2026,15950.0,16100.0,-150.0,-0.00931677,16100.0,16300.0,15800.0,966264.0,15476657850.0,0.0,0.0,966264.0,15476657850.0,70620.0,8780.0,0.0,-79400.0,1197195750.0,70979250.0,0.0,-1268175000.0
26/08/2026,16100.0,15900.0,200.0,0.01257862,15950.0,16200.0,15700.0,1404836.0,22390123850.0,0.0,0.0,1404836.0,22390123850.0,78598.0,-123298.0,-110500.0,44700.0,1235100150.0,-1947150150.0,-1757475000.0,712050000.0
25/08/2026,15900.0,15500.0,400.0,0.02580645,15500.0,15900.0,15350.0,2121728.0,33295672300.0,0.0,0.0,2121728.0,33295672300.0,-22590.0,-93910.0,0.0,116500.0,-371499500.0,-1463010500.0,0.0,1834510000.0
24/08/2026,15500.0,15100.0,400.0,0.02649007,15150.0,15600.0,14950.0,747636.0,11358413950.0,0.0,0.0,747636.0,11358413950.0,-121112.0,106012.0,110500.0,15100.0,-1848443251.0,1619713250.0,1689610000.0,228730000.0
21/08/2026,15100.0,15000.0,100.0,0.00666667,15000.0,15100.0,14900.0,1231236.0,18412959550.0,0.0,0.0,1231236.0,18412959550.0,14562.0,-2165.0,0.0,-12397.0,220802700.0,-32791500.0,0.0,-188011200.0
20/08/2026,15000.0,15000.0,0.0,0.0,15000.0,15100.0,14750.0,1122527.0,16823350500.0,0.0,0.0,1122527.0,16823350500.0,62776.0,-1876.0,0.0,-60900.0,941341800.0,-28576800.0,0.0,-912765000.0
19/08/2026,15000.0,15000.0,0.0,0.0,15000.0,15150.0,14800.0,813834.0,12164992250.0,1000000.0,13950000000.0,1813834.0,26114992250.0,77015.0,-27315.0,0.0,-49700.0,1166282950.0,-412952950.0,0.0,-753330000.0
18/08/2026,15000.0,14250.0,728.0,0.05100897,14250.0,15200.0,14100.0,1812586.0,26565626550.0,0.0,0.0,1812586.0,26565626550.0,312070.0,-88770.0,0.0,-223300.0,4538807550.0,-1270457550.0,0.0,-3268350000.0
17/08/2026,14272.8,15350.0,-150.0,-0.00977199,14272.8,14413.65,13850.25,1348497.0,20388225550.0,0.0,0.0,1348497.0,20388225550.0,95972.0,-331772.0,0.0,235800.0,1463928200.0,-5023513200.0,0.0,3559585000.0
14/08/2026,14413.65,14950.0,400.0,0.02675585,13756.35,14413.65,13568.55,1496921.0,22079195100.0,0.0,0.0,1496921.0,22079195100.0,16363.0,-59863.0,0.0,43500.0,303043050.0,-895938050.0,0.0,592895000.0
