NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,9980.0,10000.0,-20.0,-0.002,10050.0,10050.0,9960.0,2518003.0,25137177300.0,0.0,0.0,2518003.0,25137177300.0,66850.0,0.0,0.0,-66850.0,667301500.0,0.0,0.0,-667301500.0
03/09/2026,10000.0,10050.0,-50.0,-0.00497512,10050.0,10150.0,9990.0,2726809.0,27343919100.0,0.0,0.0,2726809.0,27343919100.0,3555.0,0.0,0.0,-3555.0,35940000.0,0.0,0.0,-35940000.0
28/08/2026,10050.0,10150.0,-100.0,-0.00985222,10150.0,10150.0,10000.0,2519940.0,25404248450.0,0.0,0.0,2519940.0,25404248450.0,-79693.0,207693.0,0.0,-128000.0,-778045400.0,2079070400.0,0.0,-1301025000.0
27/08/2026,10150.0,10250.0,-100.0,-0.0097561,10300.0,10300.0,10100.0,2112200.0,21460443450.0,0.0,0.0,2112200.0,21460443450.0,3853.0,156452.0,-50000.0,-160305.0,42693699.0,1591047300.0,-515000000.0,-1633741000.0
26/08/2026,10250.0,10200.0,50.0,0.00490196,10200.0,10300.0,10100.0,3354433.0,34253949550.0,0.0,0.0,3354433.0,34253949550.0,-693335.0,874135.0,-50000.0,-180800.0,-7086414149.0,8936424150.0,-512500000.0,-1850010000.0
25/08/2026,10200.0,10150.0,50.0,0.00492611,10150.0,10450.0,10150.0,5624421.0,57941763350.0,0.0,0.0,5624421.0,57941763350.0,-309469.0,142464.0,-363400.0,167005.0,-3196246900.0,1485405900.0,-3764360000.0,1710841000.0
24/08/2026,10150.0,10150.0,0.0,0.0,10200.0,10250.0,10100.0,3725925.0,37819118850.0,0.0,0.0,3725925.0,37819118850.0,-71060.0,-111675.0,-50000.0,182735.0,-719617750.0,-1134297500.0,-510000000.0,1853915250.0
21/08/2026,10150.0,9930.0,220.0,0.02215509,9940.0,10150.0,9940.0,3118189.0,31385641800.0,0.0,0.0,3118189.0,31385641800.0,84941.0,-237551.0,0.0,152610.0,866807630.0,-2396520930.0,0.0,1529713300.0
20/08/2026,9930.0,9900.0,30.0,0.0030303,9960.0,9990.0,9910.0,1233377.0,12271570860.0,170154.0,1567118340.0,1403531.0,13838689200.0,88314.0,-53414.0,0.0,-34900.0,880067549.0,-532891550.0,0.0,-347176000.0
19/08/2026,9900.0,10000.0,-100.0,-0.01,10000.0,10100.0,9880.0,2641583.0,26286434210.0,0.0,0.0,2641583.0,26286434210.0,517935.0,-504035.0,-1.0,-13900.0,5140478180.0,-5001812180.0,-10000.0,-138666000.0
