NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,3350.0,3370.0,-20.0,-0.00593472,3370.0,3400.0,3320.0,164878.0,553207270.0,0.0,0.0,164878.0,553207270.0,12300.0,0.0,0.0,-12300.0,41240000.0,0.0,0.0,-41240000.0
03/09/2026,3370.0,3390.0,-20.0,-0.00589971,3390.0,3420.0,3320.0,87237.0,292688210.0,0.0,0.0,87237.0,292688210.0,100.0,0.0,0.0,-100.0,338000.0,0.0,0.0,-338000.0
28/08/2026,3390.0,3380.0,10.0,0.00295858,3410.0,3420.0,3310.0,113039.0,380064840.0,0.0,0.0,113039.0,380064840.0,20710.0,-15610.0,0.0,-5100.0,69342700.0,-52089700.0,0.0,-17253000.0
27/08/2026,3380.0,3400.0,-20.0,-0.00588235,3430.0,3440.0,3350.0,138885.0,467997100.0,0.0,0.0,138885.0,467997100.0,35300.0,-27300.0,0.0,-8000.0,118733001.0,-91806000.0,0.0,-26927000.0
26/08/2026,3400.0,3350.0,50.0,0.01492537,3400.0,3440.0,3350.0,107610.0,364349020.0,0.0,0.0,107610.0,364349020.0,700.0,4700.0,0.0,-5400.0,2680000.0,15629000.0,0.0,-18309000.0
25/08/2026,3350.0,3410.0,-60.0,-0.01759531,3410.0,3410.0,3340.0,207154.0,698467440.0,0.0,0.0,207154.0,698467440.0,64930.0,-65130.0,0.0,200.0,217614301.0,-218290300.0,0.0,676000.0
24/08/2026,3410.0,3400.0,10.0,0.00294118,3440.0,3470.0,3380.0,107355.0,365006270.0,0.0,0.0,107355.0,365006270.0,-9170.0,8870.0,0.0,300.0,-31550900.0,30528900.0,0.0,1022000.0
21/08/2026,3400.0,3440.0,-40.0,-0.01162791,3480.0,3490.0,3380.0,268924.0,914827120.0,0.0,0.0,268924.0,914827120.0,-44312.0,42212.0,0.0,2100.0,-150240960.0,143175960.0,0.0,7065000.0
20/08/2026,3440.0,3420.0,20.0,0.00584795,3490.0,3500.0,3380.0,160779.0,548325990.0,0.0,0.0,160779.0,548325990.0,18247.0,-18341.0,0.0,94.0,62525430.0,-62845490.0,0.0,320060.0
19/08/2026,3420.0,3400.0,20.0,0.00588235,3440.0,3440.0,3350.0,169611.0,577006140.0,0.0,0.0,169611.0,577006140.0,78351.0,-78351.0,0.0,0.0,266262610.0,-266262610.0,0.0,0.0
