NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,8800.0,8600.0,200.0,0.02325581,8600.0,8900.0,8360.0,515929.0,4499872670.0,0.0,0.0,515929.0,4499872670.0,93313.0,-93113.0,0.0,-200.0,828309269.0,-826535270.0,0.0,-1774000.0
27/08/2026,8600.0,8910.0,-310.0,-0.03479237,8910.0,9030.0,8290.0,934536.0,8098396560.0,0.0,0.0,934536.0,8098396560.0,177363.0,-159863.0,0.0,-17500.0,1546548329.0,-1391770330.0,0.0,-154778000.0
26/08/2026,8910.0,9210.0,-300.0,-0.03257329,9290.0,9290.0,8910.0,568266.0,5141653410.0,0.0,0.0,568266.0,5141653410.0,190110.0,-173410.0,0.0,-16700.0,1724505400.0,-1571636400.0,0.0,-152869000.0
25/08/2026,9210.0,9220.0,-10.0,-0.0010846,9290.0,9500.0,9140.0,493155.0,4582014210.0,0.0,0.0,493155.0,4582014210.0,-124295.0,129795.0,0.0,-5500.0,-1148064670.0,1199684670.0,0.0,-51620000.0
24/08/2026,9220.0,8840.0,380.0,0.04298643,8870.0,9280.0,8800.0,699996.0,6404159810.0,0.0,0.0,699996.0,6404159810.0,51429.0,-71829.0,0.0,20400.0,465533060.0,-646192060.0,0.0,180659000.0
21/08/2026,8840.0,8850.0,-10.0,-0.00112994,8880.0,8880.0,8750.0,428660.0,3774298230.0,0.0,0.0,428660.0,3774298230.0,44910.0,-61610.0,0.0,16700.0,396512600.0,-543517600.0,0.0,147005000.0
20/08/2026,8850.0,8800.0,50.0,0.00568182,8890.0,8890.0,8730.0,305626.0,2691929140.0,0.0,0.0,305626.0,2691929140.0,-44490.0,53090.0,0.0,-8600.0,-392012180.0,467993180.0,0.0,-75981000.0
19/08/2026,8800.0,8600.0,200.0,0.02325581,8690.0,8970.0,8580.0,485224.0,4256582370.0,0.0,0.0,485224.0,4256582370.0,25802.0,-7602.0,0.0,-18200.0,227192140.0,-68504140.0,0.0,-158688000.0
18/08/2026,8600.0,8550.0,50.0,0.00584795,8550.0,8700.0,8540.0,304979.0,2630848690.0,0.0,0.0,304979.0,2630848690.0,-97492.0,101892.0,0.0,-4400.0,-840240620.0,878236620.0,0.0,-37996000.0
17/08/2026,8550.0,8600.0,-50.0,-0.00581395,8640.0,8700.0,8510.0,425241.0,3649881980.0,0.0,0.0,425241.0,3649881980.0,-75089.0,89969.0,0.0,-14880.0,-643586900.0,770946900.0,0.0,-127360000.0
