NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,10750.0,10800.0,-50.0,-0.00462963,10650.0,10750.0,10650.0,3199.0,34369350.0,0.0,0.0,3199.0,34369350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,10800.0,10600.0,200.0,0.01886792,10600.0,10800.0,10600.0,3900.0,41590000.0,0.0,0.0,3900.0,41590000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,10600.0,10550.0,50.0,0.00473934,10700.0,10700.0,10600.0,901.0,9620600.0,0.0,0.0,901.0,9620600.0,-900.0,900.0,0.0,0.0,-9610000.0,9610000.0,0.0,0.0
25/08/2026,10550.0,10750.0,-200.0,-0.01860465,10500.0,10550.0,10500.0,2200.0,23150000.0,0.0,0.0,2200.0,23150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,10750.0,10800.0,-50.0,-0.00462963,10600.0,10750.0,10500.0,7300.0,76935000.0,0.0,0.0,7300.0,76935000.0,-100.0,300.0,0.0,-200.0,-1035000.0,3165000.0,0.0,-2130000.0
21/08/2026,10800.0,10800.0,0.0,0.0,10800.0,10800.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,10800.0,10600.0,200.0,0.01886792,10600.0,10800.0,10550.0,5600.0,59545000.0,0.0,0.0,5600.0,59545000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,10600.0,10600.0,0.0,0.0,10700.0,10850.0,10600.0,6500.0,69810000.0,0.0,0.0,6500.0,69810000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,10600.0,10750.0,-150.0,-0.01395349,10600.0,10600.0,10600.0,200.0,2120000.0,0.0,0.0,200.0,2120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,10750.0,10750.0,0.0,0.0,10750.0,10750.0,10750.0,10.0,107500.0,0.0,0.0,10.0,107500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,10750.0,10700.0,50.0,0.0046729,10700.0,10800.0,10600.0,10500.0,111765000.0,0.0,0.0,10500.0,111765000.0,200.0,-200.0,0.0,0.0,2140000.0,-2140000.0,0.0,0.0
13/08/2026,10700.0,10550.0,150.0,0.01421801,10700.0,10700.0,10700.0,200.0,2140000.0,0.0,0.0,200.0,2140000.0,-200.0,200.0,0.0,0.0,-2140000.0,2140000.0,0.0,0.0
