NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,22300.0,22300.0,0.0,0.0,22300.0,22300.0,22300.0,20.0,440000.0,0.0,0.0,20.0,440000.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
27/08/2026,22300.0,22300.0,0.0,0.0,22300.0,22300.0,22300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
26/08/2026,22300.0,22300.0,0.0,0.0,21200.0,22300.0,21200.0,1400.0,29790000.0,0.0,0.0,1400.0,29790000.0,-600.0,600.0,0,0.0,-12720000.0,12720000.0,0,0.0
25/08/2026,22300.0,21300.0,1000.0,0.04694836,22300.0,22300.0,22300.0,100.0,2230000.0,0.0,0.0,100.0,2230000.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
24/08/2026,21300.0,21300.0,0.0,0.0,21400.0,22000.0,21300.0,2325.0,50310300.0,0.0,0.0,2325.0,50310300.0,2276.0,-2276.0,0,0.0,49232000.0,-49232000.0,0,0.0
21/08/2026,21300.0,21150.0,150.0,0.0070922,21050.0,21500.0,21000.0,4122.0,87387950.0,0.0,0.0,4122.0,87387950.0,3670.0,-3670.0,0,0.0,77887001.0,-77887000.0,0,0.0
20/08/2026,21150.0,21100.0,50.0,0.00236967,21150.0,21150.0,21150.0,100.0,2115000.0,0.0,0.0,100.0,2115000.0,100.0,-100.0,0,0.0,2115000.0,-2115000.0,0,0.0
19/08/2026,21100.0,21100.0,0.0,0.0,21100.0,21100.0,21100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
18/08/2026,21100.0,21100.0,0.0,0.0,21100.0,21150.0,21100.0,1300.0,27435000.0,0.0,0.0,1300.0,27435000.0,1000.0,-1000.0,0,0.0,21095000.0,-21095000.0,0,0.0
17/08/2026,21100.0,21000.0,100.0,0.0047619,21100.0,21100.0,21100.0,120.0,2531000.0,0.0,0.0,120.0,2531000.0,100.0,-100.0,0,0.0,2110000.0,-2110000.0,0,0.0
14/08/2026,21000.0,21600.0,-600.0,-0.02777778,21500.0,21500.0,21000.0,500.0,10550000.0,0.0,0.0,500.0,10550000.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
13/08/2026,21600.0,22750.0,-1150.0,-0.05054945,21450.0,22750.0,21400.0,3318.0,73709100.0,0.0,0.0,3318.0,73709100.0,-2700.0,2700.0,0,0.0,-60450000.0,60450000.0,0,0.0
12/08/2026,22750.0,21900.0,850.0,0.03881279,22750.0,22750.0,22750.0,100.0,2275000.0,0.0,0.0,100.0,2275000.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
11/08/2026,21900.0,21650.0,250.0,0.01154734,21300.0,22700.0,21300.0,2484.0,54200800.0,0.0,0.0,2484.0,54200800.0,-800.0,800.0,0,0.0,-17520000.0,17520000.0,0,0.0
10/08/2026,21650.0,22800.0,-1150.0,-0.0504386,21300.0,22750.0,21300.0,909.0,19751700.0,0.0,0.0,909.0,19751700.0,600.0,-600.0,0,0.0,12955000.0,-12955000.0,0,0.0
07/08/2026,22800.0,21800.0,1000.0,0.04587156,22800.0,22800.0,22800.0,169.0,3739200.0,0.0,0.0,169.0,3739200.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
06/08/2026,21800.0,23400.0,-1600.0,-0.06837607,23000.0,23000.0,21800.0,2111.0,46262000.0,0.0,0.0,2111.0,46262000.0,1400.0,-1400.0,0,0.0,30280000.0,-30280000.0,0,0.0
05/08/2026,23400.0,22000.0,1400.0,0.06363636,21000.0,23400.0,21000.0,609.0,13050600.0,0.0,0.0,609.0,13050600.0,-300.0,300.0,0,0.0,-6300000.0,6300000.0,0,0.0
04/08/2026,22000.0,21700.0,300.0,0.01382488,21000.0,22500.0,20850.0,3436.0,72660150.0,0.0,0.0,3436.0,72660150.0,-1600.0,1600.0,0,0.0,-34000001.0,34000000.0,0,0.0
03/08/2026,21700.0,21700.0,0.0,0.0,21700.0,21700.0,21700.0,1.0,21750.0,0.0,0.0,1.0,21750.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
31/07/2026,21700.0,20900.0,800.0,0.03827751,20750.0,21900.0,20750.0,1300.0,27740000.0,0.0,0.0,1300.0,27740000.0,500.0,-500.0,0,0.0,10375000.0,-10375000.0,0,0.0
30/07/2026,20900.0,20750.0,150.0,0.00722892,21000.0,21000.0,20900.0,1500.0,31400000.0,0.0,0.0,1500.0,31400000.0,-200.0,200.0,0,0.0,-4180000.0,4180000.0,0,0.0
29/07/2026,20750.0,20750.0,0.0,0.0,20750.0,20750.0,20750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
28/07/2026,20750.0,20700.0,50.0,0.00241546,20750.0,20750.0,20750.0,500.0,10375000.0,0.0,0.0,500.0,10375000.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
27/07/2026,20700.0,21000.0,-300.0,-0.01428571,20800.0,21000.0,20600.0,970.0,20066000.0,0.0,0.0,970.0,20066000.0,-300.0,300.0,0,0.0,-6280000.0,6280000.0,0,0.0
24/07/2026,21000.0,20850.0,150.0,0.00719424,20850.0,21000.0,20850.0,1110.0,23055000.0,0.0,0.0,1110.0,23055000.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
23/07/2026,20850.0,21100.0,-250.0,-0.01184834,20850.0,20850.0,20850.0,810.0,16894000.0,0.0,0.0,810.0,16894000.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
22/07/2026,21100.0,21050.0,50.0,0.0023753,21200.0,21200.0,21100.0,1800.0,38110000.0,0.0,0.0,1800.0,38110000.0,900.0,-900.0,0,0.0,19030000.0,-19030000.0,0,0.0
21/07/2026,21050.0,21050.0,0.0,0.0,21050.0,21050.0,21050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
