NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,27800.0,28100.0,-300.0,-0.01067616,27600.0,28100.0,27600.0,53569.0,1491097000.0,0.0,0.0,53569.0,1491097000.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,111390000.0
28/08/2026,28100.0,28000.0,100.0,0.00357143,28100.0,28500.0,28000.0,69431.0,1951337200.0,0.0,0.0,69431.0,1951337200.0,10305.0,-6705.0,-24100.0,-3600.0,290972900.0,-188712900.0,-675830000.0,-102260000.0
27/08/2026,28000.0,28600.0,-600.0,-0.02097902,28600.0,28600.0,27900.0,105819.0,2975251350.0,0.0,0.0,105819.0,2975251350.0,-961.0,1961.0,0.0,-1000.0,-27424800.0,56414800.0,0.0,-28990000.0
26/08/2026,28600.0,28600.0,0.0,0.0,28600.0,28700.0,28200.0,97340.0,2763307500.0,0.0,0.0,97340.0,2763307500.0,-9778.0,4048.0,0.0,5730.0,-276643700.0,114783700.0,0.0,161860000.0
25/08/2026,28600.0,28900.0,-300.0,-0.01038062,29000.0,29200.0,28400.0,210422.0,6072197500.0,0.0,0.0,210422.0,6072197500.0,3686.0,-11086.0,-33000.0,7400.0,116446800.0,-329606800.0,-958400000.0,213160000.0
24/08/2026,28900.0,28450.0,450.0,0.01581722,28500.0,29000.0,28500.0,121916.0,3507937300.0,0.0,0.0,121916.0,3507937300.0,-7740.0,6340.0,-13900.0,1400.0,-223261551.0,182756550.0,-399180000.0,40505000.0
21/08/2026,28450.0,27700.0,750.0,0.02707581,27700.0,28500.0,27700.0,320917.0,9025152950.0,0.0,0.0,320917.0,9025152950.0,111264.0,-89264.0,-85000.0,-22000.0,3126178150.0,-2505633150.0,-2381625000.0,-620545000.0
20/08/2026,27700.0,27700.0,0.0,0.0,27500.0,28000.0,27500.0,122213.0,3392906000.0,0.0,0.0,122213.0,3392906000.0,35785.0,-13985.0,-5000.0,-21800.0,992725000.0,-389235000.0,-140000000.0,-603490000.0
19/08/2026,27700.0,28200.0,-500.0,-0.0177305,27550.0,28150.0,27050.0,302450.0,8314146100.0,0.0,0.0,302450.0,8314146100.0,106388.0,-106588.0,-75900.0,200.0,2926787399.0,-2932277400.0,-2090705000.0,5490000.0
18/08/2026,28200.0,29150.0,-950.0,-0.03259005,29100.0,29150.0,28100.0,156019.0,4444764250.0,0.0,0.0,156019.0,4444764250.0,17135.0,21265.0,-4300.0,-38400.0,499492700.0,599442300.0,-126230000.0,-1098935000.0
17/08/2026,29150.0,28950.0,200.0,0.00690846,29000.0,29450.0,29000.0,47994.0,1401244600.0,0.0,0.0,47994.0,1401244600.0,8181.0,719.0,0.0,-8900.0,238889500.0,20895500.0,0.0,-259785000.0
14/08/2026,28950.0,29600.0,-650.0,-0.02195946,30000.0,30000.0,28550.0,167066.0,4904695750.0,0.0,0.0,167066.0,4904695750.0,-17897.0,33597.0,15900.0,-15700.0,-547487750.0,1008067750.0,481930000.0,-460580000.0
13/08/2026,29600.0,30000.0,-400.0,-0.01333333,30000.0,30450.0,29600.0,127350.0,3809335500.0,0.0,0.0,127350.0,3809335500.0,9376.0,40124.0,38000.0,-49500.0,285201100.0,1196863900.0,1135650000.0,-1482065000.0
12/08/2026,30000.0,30500.0,-500.0,-0.01639344,30950.0,30950.0,29800.0,161429.0,4853589750.0,0.0,0.0,161429.0,4853589750.0,-50341.0,70441.0,20300.0,-20100.0,-1511167500.0,2114532500.0,608020000.0,-603365000.0
11/08/2026,30500.0,30900.0,-400.0,-0.01294498,30900.0,31950.0,30200.0,151193.0,4615861700.0,0.0,0.0,151193.0,4615861700.0,-56921.0,87021.0,0.0,-30100.0,-1724830700.0,2652770700.0,0.0,-927940000.0
