NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,4150.0,4150.0,0.0,0.0,4140.0,4170.0,4110.0,1081907.0,4493350050.0,0.0,0.0,1081907.0,4493350050.0,64394.0,-46794.0,0.0,-17600.0,267351101.0,-194184100.0,0.0,-73167000.0
27/08/2026,4150.0,4180.0,-30.0,-0.00717703,4160.0,4200.0,4150.0,411400.0,1717848000.0,0.0,0.0,411400.0,1717848000.0,63400.0,-21900.0,0.0,-41500.0,264167000.0,-90983000.0,0.0,-173184000.0
26/08/2026,4180.0,4190.0,-10.0,-0.00238663,4190.0,4200.0,4160.0,759918.0,3169560540.0,0.0,0.0,759918.0,3169560540.0,9594.0,-994.0,0.0,-8600.0,39821920.0,-3955920.0,0.0,-35866000.0
25/08/2026,4190.0,4220.0,-30.0,-0.007109,4220.0,4220.0,4170.0,943900.0,3958258710.0,0.0,0.0,943900.0,3958258710.0,10099.0,1801.0,0.0,-11900.0,42745820.0,7353180.0,0.0,-50099000.0
24/08/2026,4220.0,4200.0,20.0,0.0047619,4220.0,4240.0,4180.0,1971200.0,8300796000.0,0.0,0.0,1971200.0,8300796000.0,-125300.0,98400.0,0.0,26900.0,-527592000.0,414373000.0,0.0,113219000.0
21/08/2026,4200.0,4150.0,50.0,0.01204819,4120.0,4200.0,4100.0,922815.0,3831476650.0,0.0,0.0,922815.0,3831476650.0,-149800.0,119300.0,0.0,30500.0,-624856000.0,497968000.0,0.0,126888000.0
20/08/2026,4150.0,4210.0,-60.0,-0.01425178,4200.0,4220.0,4150.0,656701.0,2753885200.0,0.0,0.0,656701.0,2753885200.0,-8799.0,33699.0,0.0,-24900.0,-36360800.0,140834800.0,0.0,-104474000.0
19/08/2026,4210.0,4240.0,-30.0,-0.00707547,4210.0,4220.0,4130.0,520334.0,2176614480.0,0.0,0.0,520334.0,2176614480.0,179100.0,-155700.0,0.0,-23400.0,746397000.0,-648379000.0,0.0,-98018000.0
18/08/2026,4240.0,4240.0,0.0,0.0,4210.0,4260.0,4190.0,588359.0,2484137790.0,0.0,0.0,588359.0,2484137790.0,-22100.0,33000.0,0.0,-10900.0,-91559000.0,137682000.0,0.0,-46123000.0
17/08/2026,4240.0,4240.0,0.0,0.0,4300.0,4350.0,4210.0,554097.0,2349351010.0,0.0,0.0,554097.0,2349351010.0,11261.0,-4861.0,0.0,-6400.0,48079130.0,-20919130.0,0.0,-27160000.0
14/08/2026,4240.0,4310.0,-70.0,-0.0162413,4300.0,4320.0,4240.0,595167.0,2547100640.0,0.0,0.0,595167.0,2547100640.0,94034.0,-67034.0,0.0,-27000.0,402298540.0,-286466540.0,0.0,-115832000.0
13/08/2026,4310.0,4310.0,0.0,0.0,4300.0,4380.0,4290.0,638110.0,2760527700.0,0.0,0.0,638110.0,2760527700.0,150600.0,-137600.0,0.0,-13000.0,648814000.0,-592471000.0,0.0,-56343000.0
12/08/2026,4310.0,4370.0,-60.0,-0.01372998,4370.0,4400.0,4300.0,689221.0,2999796950.0,0.0,0.0,689221.0,2999796950.0,116500.0,-117400.0,0.0,900.0,504566000.0,-508186000.0,0.0,3620000.0
11/08/2026,4370.0,4360.0,10.0,0.00229358,4360.0,4460.0,4350.0,1006977.0,4411569940.0,0.0,0.0,1006977.0,4411569940.0,-189029.0,156929.0,0.0,32100.0,-828864700.0,688008700.0,0.0,140856000.0
10/08/2026,4360.0,4290.0,70.0,0.01631702,4380.0,4380.0,4310.0,524062.0,2268264050.0,0.0,0.0,524062.0,2268264050.0,-164960.0,155960.0,0.0,9000.0,-714616400.0,675792400.0,0.0,38824000.0
07/08/2026,4290.0,4260.0,30.0,0.00704225,4300.0,4310.0,4210.0,415713.0,1780148600.0,0.0,0.0,415713.0,1780148600.0,-4700.0,2900.0,0.0,1800.0,-20342000.0,12701000.0,0.0,7641000.0
06/08/2026,4260.0,4380.0,-120.0,-0.02739726,4400.0,4400.0,4260.0,1490165.0,6477751510.0,0.0,0.0,1490165.0,6477751510.0,58800.0,-49800.0,0.0,-9000.0,254547000.0,-215186000.0,0.0,-39361000.0
05/08/2026,4380.0,4400.0,-20.0,-0.00454545,4450.0,4460.0,4350.0,1577399.0,6956309410.0,0.0,0.0,1577399.0,6956309410.0,72149.0,-77149.0,0.0,5000.0,313543110.0,-335388110.0,0.0,21845000.0
04/08/2026,4400.0,4360.0,40.0,0.00917431,4370.0,4470.0,4330.0,1963659.0,8621625520.0,0.0,0.0,1963659.0,8621625520.0,-76370.0,49570.0,0.0,26800.0,-340036000.0,222499000.0,0.0,117537000.0
03/08/2026,4360.0,4170.0,190.0,0.04556355,4200.0,4410.0,4190.0,2067046.0,8911332650.0,0.0,0.0,2067046.0,8911332650.0,-104927.0,58727.0,0.0,46200.0,-452905290.0,256194290.0,0.0,196711000.0
31/07/2026,4170.0,4180.0,-10.0,-0.00239234,4250.0,4250.0,4100.0,316450.0,1311100720.0,0.0,0.0,316450.0,1311100720.0,53400.0,-56700.0,0.0,3300.0,220981000.0,-234565000.0,0.0,13584000.0
30/07/2026,4180.0,4040.0,140.0,0.03465347,4040.0,4200.0,4000.0,633760.0,2591919400.0,0.0,0.0,633760.0,2591919400.0,4300.0,-7000.0,0.0,2700.0,21119000.0,-32112000.0,0.0,10993000.0
29/07/2026,4040.0,4000.0,40.0,0.01,4000.0,4070.0,3970.0,387023.0,1555570990.0,0.0,0.0,387023.0,1555570990.0,91899.0,-98799.0,0.0,6900.0,368185250.0,-395756250.0,0.0,27571000.0
28/07/2026,4000.0,4040.0,-40.0,-0.00990099,4000.0,4070.0,3940.0,684000.0,2731419000.0,0.0,0.0,684000.0,2731419000.0,72900.0,-53100.0,0.0,-19800.0,294695000.0,-215511000.0,0.0,-79184000.0
27/07/2026,4040.0,4100.0,-60.0,-0.01463415,4100.0,4130.0,3950.0,423900.0,1711617000.0,0.0,0.0,423900.0,1711617000.0,78300.0,-63700.0,0.0,-14600.0,312154000.0,-252856000.0,0.0,-59298000.0
