NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,2160.0,2150.0,10.0,0.00465116,2160.0,2170.0,2150.0,1781397.0,3845643680.0,0.0,0.0,1781397.0,3845643680.0,-290000.0,0.0,0.0,290000.0,-626567000.0,0.0,0.0,626567000.0
03/09/2026,2150.0,2170.0,-20.0,-0.00921659,2130.0,2170.0,2130.0,959157.0,2062333070.0,0.0,0.0,959157.0,2062333070.0,65000.0,0.0,0.0,-65000.0,139996000.0,0.0,0.0,-139996000.0
28/08/2026,2170.0,2170.0,0.0,0.0,2160.0,2180.0,2160.0,967139.0,2095037220.0,0.0,0.0,967139.0,2095037220.0,255813.0,-163513.0,0.0,-92300.0,554038030.0,-354027030.0,0.0,-200011000.0
27/08/2026,2170.0,2180.0,-10.0,-0.00458716,2180.0,2190.0,2150.0,1908884.0,4138840160.0,0.0,0.0,1908884.0,4138840160.0,128670.0,19630.0,0.0,-148300.0,283980120.0,39038880.0,0.0,-323019000.0
26/08/2026,2180.0,2190.0,-10.0,-0.00456621,2190.0,2200.0,2180.0,1326749.0,2901395650.0,0.0,0.0,1326749.0,2901395650.0,55252.0,53448.0,0.0,-108700.0,120285510.0,117787490.0,0.0,-238073000.0
25/08/2026,2190.0,2220.0,-30.0,-0.01351351,2220.0,2230.0,2180.0,1550725.0,3410188340.0,0.0,0.0,1550725.0,3410188340.0,-35553.0,28153.0,0.0,7400.0,-74360600.0,58156600.0,0.0,16204000.0
24/08/2026,2220.0,2190.0,30.0,0.01369863,2200.0,2230.0,2180.0,2694371.0,5937250500.0,0.0,0.0,2694371.0,5937250500.0,654.0,-74954.0,0.0,74300.0,458850.0,-164487850.0,0.0,164029000.0
21/08/2026,2190.0,2160.0,30.0,0.01388889,2160.0,2210.0,2150.0,2697221.0,5868676410.0,0.0,0.0,2697221.0,5868676410.0,288519.0,-643419.0,0.0,354900.0,627827999.0,-1399029000.0,0.0,771201000.0
20/08/2026,2160.0,2160.0,0.0,0.0,2160.0,2180.0,2130.0,1224263.0,2632218170.0,0.0,0.0,1224263.0,2632218170.0,144275.0,-144275.0,0.0,0.0,314398421.0,-314398420.0,0.0,0.0
19/08/2026,2160.0,2180.0,-20.0,-0.00917431,2180.0,2190.0,2130.0,2052934.0,4412311600.0,0.0,0.0,2052934.0,4412311600.0,203526.0,-118926.0,0.0,-84600.0,439254361.0,-255718361.0,0.0,-183536000.0
18/08/2026,2180.0,2200.0,-20.0,-0.00909091,2210.0,2220.0,2170.0,1236854.0,2716793900.0,0.0,0.0,1236854.0,2716793900.0,103998.0,-42500.0,0.0,-61498.0,228873450.0,-92920870.0,0.0,-135952580.0
17/08/2026,2200.0,2200.0,0.0,0.0,2200.0,2230.0,2190.0,1402866.0,3089938310.0,0.0,0.0,1402866.0,3089938310.0,485701.0,-485701.0,0.0,0.0,1067046760.0,-1067046760.0,0.0,0.0
14/08/2026,2200.0,2200.0,0.0,0.0,2250.0,2250.0,2190.0,3590851.0,7925359320.0,0.0,0.0,3590851.0,7925359320.0,292856.0,-260256.0,0.0,-32600.0,650834480.0,-577635480.0,0.0,-73199000.0
13/08/2026,2200.0,2300.0,-100.0,-0.04347826,2300.0,2310.0,2190.0,5533773.0,12330206080.0,0.0,0.0,5533773.0,12330206080.0,1590985.0,-1505291.0,0.0,-85694.0,3523662360.0,-3326867100.0,0.0,-196795260.0
12/08/2026,2300.0,2330.0,-30.0,-0.01287554,2350.0,2360.0,2300.0,2644209.0,6154413200.0,0.0,0.0,2644209.0,6154413200.0,-682860.0,756360.0,0.0,-73500.0,-1589968250.0,1761835250.0,0.0,-171867000.0
11/08/2026,2330.0,2180.0,150.0,0.06880734,2180.0,2330.0,2180.0,9153251.0,20976710550.0,0.0,0.0,9153251.0,20976710550.0,-3174907.0,3152307.0,0.0,22600.0,-7196418860.0,7146360860.0,0.0,50058000.0
10/08/2026,2180.0,2170.0,10.0,0.00460829,2170.0,2190.0,2170.0,1454299.0,3164891710.0,0.0,0.0,1454299.0,3164891710.0,115845.0,-239445.0,0.0,123600.0,252029231.0,-521477230.0,0.0,269448000.0
07/08/2026,2170.0,2170.0,0.0,0.0,2170.0,2190.0,2160.0,2292073.0,4964295650.0,0.0,0.0,2292073.0,4964295650.0,-347506.0,281706.0,0.0,65800.0,-754008230.0,611867230.0,0.0,142141000.0
06/08/2026,2170.0,2190.0,-20.0,-0.00913242,2190.0,2220.0,2160.0,1357792.0,2977616990.0,0.0,0.0,1357792.0,2977616990.0,241509.0,-177909.0,0.0,-63600.0,528256380.0,-388972380.0,0.0,-139284000.0
05/08/2026,2190.0,2170.0,20.0,0.00921659,2180.0,2240.0,2170.0,2318326.0,5104215940.0,0.0,0.0,2318326.0,5104215940.0,-515221.0,527121.0,0.0,-11900.0,-1139198640.0,1167213640.0,0.0,-28015000.0
04/08/2026,2170.0,2180.0,-10.0,-0.00458716,2190.0,2210.0,2170.0,1333375.0,2911457980.0,0.0,0.0,1333375.0,2911457980.0,18957.0,65843.0,0.0,-84800.0,43700700.0,142142300.0,0.0,-185843000.0
03/08/2026,2180.0,2130.0,50.0,0.02347418,2140.0,2200.0,2140.0,1685513.0,3658053470.0,0.0,0.0,1685513.0,3658053470.0,-451636.0,388036.0,0.0,63600.0,-983461470.0,845568470.0,0.0,137893000.0
31/07/2026,2130.0,2150.0,-20.0,-0.00930233,2190.0,2200.0,2130.0,2425833.0,5233582520.0,0.0,0.0,2425833.0,5233582520.0,715821.0,-651821.0,0.0,-64000.0,1551429360.0,-1412394360.0,0.0,-139035000.0
30/07/2026,2150.0,2110.0,40.0,0.01895735,2110.0,2180.0,2100.0,2757077.0,5922720830.0,0.0,0.0,2757077.0,5922720830.0,373246.0,-502446.0,0.0,129200.0,801076319.0,-1078346320.0,0.0,277270000.0
29/07/2026,2110.0,2130.0,-20.0,-0.00938967,2130.0,2140.0,2090.0,982353.0,2075591180.0,0.0,0.0,982353.0,2075591180.0,29282.0,-29482.0,0.0,200.0,60557300.0,-60979300.0,0.0,422000.0
28/07/2026,2130.0,2090.0,40.0,0.01913876,2070.0,2150.0,2040.0,2587884.0,5439293890.0,0.0,0.0,2587884.0,5439293890.0,397199.0,-193499.0,0.0,-203700.0,819541689.0,-398683690.0,0.0,-420858000.0
27/07/2026,2090.0,2150.0,-60.0,-0.02790698,2160.0,2220.0,2090.0,2088815.0,4462856930.0,0.0,0.0,2088815.0,4462856930.0,197299.0,-202301.0,0.0,5002.0,424654341.0,-435758640.0,0.0,11104300.0
24/07/2026,2150.0,2200.0,-50.0,-0.02272727,2200.0,2200.0,2150.0,1055226.0,2293230710.0,0.0,0.0,1055226.0,2293230710.0,92953.0,20447.0,0.0,-113400.0,200216120.0,46883880.0,0.0,-247100000.0
23/07/2026,2200.0,2200.0,0.0,0.0,2210.0,2230.0,2060.0,2407065.0,5247489170.0,0.0,0.0,2407065.0,5247489170.0,-170477.0,-77923.0,0.0,248400.0,-370591090.0,-167506910.0,0.0,538098000.0
22/07/2026,2200.0,2240.0,-40.0,-0.01785714,2250.0,2260.0,2180.0,1869152.0,4135955990.0,0.0,0.0,1869152.0,4135955990.0,-214176.0,270576.0,0.0,-56400.0,-469041250.0,595207250.0,0.0,-126166000.0
21/07/2026,2240.0,2260.0,-20.0,-0.00884956,2250.0,2290.0,2200.0,2621988.0,5897391460.0,0.0,0.0,2621988.0,5897391460.0,702060.0,-722062.0,0.0,20002.0,1576756000.0,-1619823520.0,0.0,43067520.0
20/07/2026,2260.0,2360.0,-100.0,-0.04237288,2350.0,2380.0,2240.0,4315202.0,9896506690.0,0.0,0.0,4315202.0,9896506690.0,-357222.0,357220.0,0.0,2.0,-825315690.0,825310930.0,0.0,4760.0
17/07/2026,2360.0,2400.0,-40.0,-0.01666667,2400.0,2410.0,2360.0,1168877.0,2787254430.0,0.0,0.0,1168877.0,2787254430.0,165230.0,-165230.0,0.0,0.0,400121910.0,-400121910.0,0.0,0.0
