NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,32550.0,34500.0,-1950.0,-0.05652174,32550.0,32600.0,32550.0,1420.0,46245100.0,0.0,0.0,1420.0,46245100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,34500.0,34900.0,-400.0,-0.01146132,34500.0,34500.0,34500.0,158.0,5357000.0,0.0,0.0,158.0,5357000.0,150.0,-150.0,0.0,0.0,5085000.0,-5085000.0,0.0,0.0
27/08/2026,34900.0,34100.0,800.0,0.02346041,34100.0,34950.0,32250.0,1600.0,53365000.0,0.0,0.0,1600.0,53365000.0,-100.0,100.0,0.0,0.0,-3225000.0,3225000.0,0.0,0.0
26/08/2026,34100.0,34000.0,100.0,0.00294118,35500.0,35500.0,34050.0,1936.0,66580600.0,0.0,0.0,1936.0,66580600.0,-60.0,60.0,0.0,0.0,-2050200.0,2050200.0,0.0,0.0
25/08/2026,34000.0,34000.0,0.0,0.0,34000.0,34000.0,34000.0,42.0,1331450.0,0.0,0.0,42.0,1331450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,34000.0,33950.0,50.0,0.00147275,31900.0,34950.0,31900.0,1075.0,36016500.0,0.0,0.0,1075.0,36016500.0,210.0,-210.0,0.0,0.0,6914000.0,-6914000.0,0.0,0.0
21/08/2026,33950.0,33000.0,950.0,0.02878788,31100.0,33950.0,31100.0,1907.0,63330300.0,0.0,0.0,1907.0,63330300.0,700.0,-700.0,0.0,0.0,23160000.0,-23160000.0,0.0,0.0
20/08/2026,33000.0,32900.0,100.0,0.00303951,34500.0,34500.0,31450.0,1269.0,42158500.0,0.0,0.0,1269.0,42158500.0,-210.0,210.0,0.0,0.0,-6828000.0,6828000.0,0.0,0.0
19/08/2026,32900.0,32900.0,0.0,0.0,32900.0,32900.0,32900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,32900.0,32000.0,900.0,0.028125,32000.0,33750.0,31950.0,5836.0,187598450.0,0.0,0.0,5836.0,187598450.0,-80.0,80.0,0.0,0.0,-2449050.0,2449050.0,0.0,0.0
17/08/2026,32000.0,32000.0,0.0,0.0,32000.0,32050.0,32000.0,500.0,16005000.0,0.0,0.0,500.0,16005000.0,200.0,-200.0,0.0,0.0,6400000.0,-6400000.0,0.0,0.0
14/08/2026,32000.0,33000.0,-1000.0,-0.03030303,34650.0,34700.0,30700.0,4396.0,144568050.0,0.0,0.0,4396.0,144568050.0,-1771.0,1771.0,0.0,0.0,-57854750.0,57854750.0,0.0,0.0
13/08/2026,33000.0,32800.0,200.0,0.00609756,33200.0,33250.0,33000.0,4010.0,132934500.0,0.0,0.0,4010.0,132934500.0,-910.0,910.0,0.0,0.0,-30224500.0,30224500.0,0.0,0.0
12/08/2026,32800.0,33600.0,-800.0,-0.02380952,33600.0,33600.0,32800.0,569.0,18848300.0,0.0,0.0,569.0,18848300.0,44.0,-44.0,0.0,0.0,1427200.0,-1427200.0,0.0,0.0
11/08/2026,33600.0,33350.0,250.0,0.00749625,34000.0,34000.0,33600.0,821.0,27706400.0,0.0,0.0,821.0,27706400.0,-516.0,516.0,0.0,0.0,-17429650.0,17429650.0,0.0,0.0
10/08/2026,33350.0,35000.0,-1650.0,-0.04714286,35000.0,35000.0,33200.0,4356.0,146607350.0,0.0,0.0,4356.0,146607350.0,-8.0,8.0,0.0,0.0,-775950.0,775950.0,0.0,0.0
07/08/2026,35000.0,34450.0,550.0,0.01596517,34450.0,35400.0,34450.0,3150.0,110395700.0,0.0,0.0,3150.0,110395700.0,-836.0,836.0,0.0,0.0,-29437000.0,29437000.0,0.0,0.0
06/08/2026,34450.0,34450.0,0.0,0.0,33000.0,34450.0,33000.0,1310.0,44347000.0,0.0,0.0,1310.0,44347000.0,300.0,-300.0,0.0,0.0,9940000.0,-9940000.0,0.0,0.0
05/08/2026,34450.0,34450.0,0.0,0.0,34550.0,34550.0,34450.0,1302.0,44964500.0,0.0,0.0,1302.0,44964500.0,0.0,0.0,0.0,0.0,5000.0,-5000.0,0.0,0.0
04/08/2026,34450.0,35400.0,-950.0,-0.02683616,34100.0,34450.0,34100.0,624.0,21460400.0,0.0,0.0,624.0,21460400.0,0.0,0.0,0.0,0.0,-16000.0,16000.0,0.0,0.0
03/08/2026,35400.0,34200.0,1200.0,0.03508772,34200.0,35450.0,34200.0,901.0,31419200.0,0.0,0.0,901.0,31419200.0,199.0,-199.0,0.0,0.0,7050800.0,-7050800.0,0.0,0.0
31/07/2026,34200.0,35900.0,-1700.0,-0.04735376,34100.0,34200.0,34100.0,1544.0,52757300.0,0.0,0.0,1544.0,52757300.0,-184.0,184.0,0.0,0.0,-6289400.0,6289400.0,0.0,0.0
30/07/2026,35900.0,35000.0,900.0,0.02571429,34000.0,35900.0,34000.0,1487.0,51503500.0,0.0,0.0,1487.0,51503500.0,59.0,-59.0,0.0,0.0,1584400.0,-1584400.0,0.0,0.0
29/07/2026,35000.0,35850.0,-850.0,-0.0237099,34000.0,35000.0,33500.0,3064.0,103287000.0,0.0,0.0,3064.0,103287000.0,-104.0,104.0,0.0,0.0,-3307950.0,3307950.0,0.0,0.0
28/07/2026,35850.0,36600.0,-750.0,-0.0204918,36000.0,36000.0,34250.0,952.0,33140550.0,0.0,0.0,952.0,33140550.0,290.0,-290.0,0.0,0.0,9835500.0,-9835500.0,0.0,0.0
27/07/2026,36600.0,34950.0,1650.0,0.0472103,35000.0,36800.0,35000.0,1750.0,63752700.0,0.0,0.0,1750.0,63752700.0,104.0,-104.0,0.0,0.0,3800000.0,-3800000.0,0.0,0.0
24/07/2026,34950.0,34950.0,0.0,0.0,34950.0,34950.0,34950.0,501.0,17509950.0,0.0,0.0,501.0,17509950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23/07/2026,34950.0,33500.0,1450.0,0.04328358,33500.0,34950.0,33500.0,573.0,19341500.0,0.0,0.0,573.0,19341500.0,270.0,-270.0,0.0,0.0,9046000.0,-9046000.0,0.0,0.0
