NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,10900.0,10950.0,-50.0,-0.00456621,10950.0,11000.0,10900.0,2208613.0,24156227500.0,10.0,102000.0,2208623.0,24156329500.0,988902.0,-1066793.0,0.0,77891.0,10818914900.0,-11672085900.0,0.0,853171000.0
27/08/2026,10950.0,10900.0,50.0,0.00458716,10950.0,11150.0,10900.0,3471312.0,38201628650.0,5.0,50750.0,3471317.0,38201679400.0,337756.0,-383056.0,-30000.0,45300.0,3708900151.0,-4201455150.0,-331000000.0,492555000.0
26/08/2026,10900.0,10850.0,50.0,0.00460829,10850.0,10950.0,10850.0,1955315.0,21288351500.0,15.0,151500.0,1955330.0,21288503000.0,164499.0,-81199.0,0.0,-83300.0,1797769700.0,-892824700.0,0.0,-904945000.0
25/08/2026,10850.0,11050.0,-200.0,-0.01809955,11100.0,11100.0,10850.0,2299501.0,25143734850.0,20023.0,206236900.0,2319524.0,25349971750.0,542550.0,-284280.0,-48400.0,-258270.0,5951743650.0,-3117037150.0,-532400000.0,-2834706500.0
24/08/2026,11050.0,10850.0,200.0,0.01843318,10950.0,11100.0,10850.0,5064762.0,55598234250.0,4.0,40400.0,5064766.0,55598274650.0,422289.0,-655589.0,600.0,233300.0,4603426050.0,-7178201050.0,6600000.0,2574775000.0
21/08/2026,10850.0,10500.0,350.0,0.03333333,10500.0,10850.0,10500.0,1876055.0,20016814800.0,6.0,58620.0,1876061.0,20016873420.0,57317.0,-188917.0,0.0,131600.0,607775300.0,-2012565300.0,0.0,1404790000.0
20/08/2026,10500.0,10550.0,-50.0,-0.00473934,10550.0,10650.0,10500.0,1073998.0,11331168300.0,11.0,108020.0,1074009.0,11331276320.0,155711.0,-111309.0,-80000.0,-44402.0,1642700000.0,-1174558900.0,-841500000.0,-468141100.0
19/08/2026,10550.0,10600.0,-50.0,-0.00471698,10600.0,10650.0,10450.0,1371663.0,14435207350.0,14.0,138040.0,1371677.0,14435345390.0,282753.0,-242753.0,0.0,-40000.0,2976926201.0,-2555106200.0,0.0,-421820000.0
18/08/2026,10600.0,10650.0,-50.0,-0.00469484,10600.0,10750.0,10600.0,1032184.0,10982163050.0,15.0,148650.0,1032199.0,10982311700.0,170134.0,-141024.0,0.0,-29110.0,1807925200.0,-1498183200.0,0.0,-309742000.0
17/08/2026,10650.0,10550.0,100.0,0.00947867,10650.0,10700.0,10550.0,1014151.0,10754500800.0,15.0,147300.0,1014166.0,10754648100.0,258261.0,-284461.0,600.0,26200.0,2736218350.0,-3012133350.0,6360000.0,275915000.0
14/08/2026,10550.0,10700.0,-150.0,-0.01401869,10700.0,10750.0,10550.0,1923647.0,20463067950.0,7.0,69720.0,1923654.0,20463137670.0,-251605.0,99005.0,0.0,152600.0,-2674296201.0,1049226200.0,0.0,1625070000.0
13/08/2026,10700.0,10900.0,-200.0,-0.01834862,10900.0,11000.0,10700.0,2192430.0,23729386200.0,7.0,71050.0,2192437.0,23729457250.0,-208282.0,429882.0,0.0,-221600.0,-2258308400.0,4658983400.0,0.0,-2400675000.0
12/08/2026,10900.0,10900.0,0.0,0.0,10850.0,11050.0,10850.0,1900208.0,20836829550.0,10.0,101500.0,1900218.0,20836931050.0,-236228.0,173828.0,1100.0,62400.0,-2599330950.0,1913280950.0,12100000.0,686050000.0
11/08/2026,10900.0,10900.0,0.0,0.0,10900.0,11100.0,10900.0,1434130.0,15715770050.0,10.0,101500.0,1434140.0,15715871550.0,33639.0,-38371.0,0.0,4732.0,360882400.0,-412384400.0,0.0,51502000.0
10/08/2026,10900.0,10750.0,150.0,0.01395349,10850.0,11000.0,10800.0,1908708.0,20778519450.0,12.0,120000.0,1908720.0,20778639450.0,-267323.0,-9271.0,0.0,276594.0,-2910359649.0,-103869950.0,0.0,3014229600.0
07/08/2026,10750.0,10800.0,-50.0,-0.00462963,10750.0,11000.0,10750.0,1556197.0,16831671650.0,10.0,100500.0,1556207.0,16831772150.0,139333.0,40835.0,1200.0,-180168.0,1510703600.0,437248800.0,13020000.0,-1947952400.0
06/08/2026,10800.0,10800.0,0.0,0.0,10800.0,10950.0,10750.0,1401821.0,15209928400.0,8.0,80400.0,1401829.0,15210008800.0,55277.0,-221335.0,0.0,166058.0,599286800.0,-2408176100.0,0.0,1808889300.0
05/08/2026,10800.0,10850.0,-50.0,-0.00460829,10900.0,11000.0,10750.0,2193167.0,23797682300.0,12.0,121200.0,2193179.0,23797803500.0,190843.0,-3943.0,0.0,-186900.0,2071692700.0,-46922700.0,0.0,-2024770000.0
04/08/2026,10850.0,10950.0,-100.0,-0.00913242,10950.0,11000.0,10750.0,1285497.0,13966502750.0,90015.0,1053153000.0,1375512.0,15019655750.0,-226959.0,184221.0,0.0,42738.0,-2460463400.0,1999968050.0,0.0,460495350.0
03/08/2026,10950.0,10700.0,250.0,0.02336449,10600.0,11000.0,10600.0,1762932.0,19237830550.0,10.0,99600.0,1762942.0,19237930150.0,32244.0,-108444.0,0.0,76200.0,351472550.0,-1184362550.0,0.0,832890000.0
31/07/2026,10700.0,10900.0,-200.0,-0.01834862,11000.0,11000.0,10650.0,1722289.0,18552033650.0,110000.0,1281500000.0,1832289.0,19833533650.0,-18558.0,137258.0,-120000.0,-118700.0,-168045199.0,1456095200.0,-1307500000.0,-1288050000.0
30/07/2026,10900.0,10650.0,250.0,0.02347418,10700.0,10950.0,10650.0,2434532.0,26399956650.0,0.0,0.0,2434532.0,26399956650.0,-39383.0,-146457.0,-29000.0,185840.0,-413049351.0,-1593598651.0,-317550000.0,2006648000.0
29/07/2026,10650.0,10450.0,200.0,0.01913876,10450.0,10850.0,10450.0,2394495.0,25465305700.0,0.0,0.0,2394495.0,25465305700.0,-13594.0,-214206.0,-50000.0,227800.0,-142621550.0,-2284983450.0,-533500000.0,2427605000.0
28/07/2026,10450.0,10050.0,400.0,0.039801,9700.0,10550.0,9700.0,3306021.0,33637586420.0,0.0,0.0,3306021.0,33637586420.0,285041.0,-350821.0,-80000.0,65780.0,3014131720.0,-3606181870.0,-836000000.0,592050150.0
27/07/2026,10050.0,10450.0,-400.0,-0.03827751,10450.0,10550.0,10050.0,1773475.0,18169115950.0,0.0,0.0,1773475.0,18169115950.0,67265.0,233736.0,0.0,-301001.0,721819901.0,2398985600.0,0.0,-3120805500.0
24/07/2026,10450.0,10500.0,-50.0,-0.0047619,10400.0,10550.0,10350.0,1393982.0,14555310000.0,0.0,0.0,1393982.0,14555310000.0,37318.0,-2518.0,0.0,-34800.0,394607750.0,-28877750.0,0.0,-365730000.0
23/07/2026,10500.0,10450.0,50.0,0.00478469,10350.0,10700.0,10150.0,2933790.0,30543176600.0,0.0,0.0,2933790.0,30543176600.0,-549472.0,279292.0,0.0,270180.0,-5677045300.0,2869315300.0,0.0,2807730000.0
22/07/2026,10450.0,10550.0,-100.0,-0.00947867,10500.0,10650.0,10150.0,3620221.0,37703336850.0,0.0,0.0,3620221.0,37703336850.0,575944.0,-601311.0,132700.0,25367.0,5958237000.0,-6149603850.0,1406620000.0,191366850.0
21/07/2026,10550.0,10650.0,-100.0,-0.00938967,10400.0,10850.0,10400.0,2159602.0,23007418950.0,0.0,0.0,2159602.0,23007418950.0,382932.0,-30632.0,0.0,-352300.0,4077282299.0,-311462300.0,0.0,-3765820000.0
20/07/2026,10650.0,11300.0,-650.0,-0.05752212,11150.0,11250.0,10650.0,4617989.0,50339765150.0,0.0,0.0,4617989.0,50339765150.0,7180.0,303320.0,1200.0,-310500.0,41719399.0,3376075600.0,13290000.0,-3417795000.0
17/07/2026,11300.0,11600.0,-300.0,-0.02586207,11550.0,11550.0,11300.0,1874478.0,21283721700.0,0.0,0.0,1874478.0,21283721700.0,-108264.0,344664.0,600.0,-236400.0,-1216649849.0,3914624850.0,6870000.0,-2697975000.0
16/07/2026,11600.0,11650.0,-50.0,-0.00429185,11550.0,11600.0,11250.0,4084952.0,46478705200.0,0.0,0.0,4084952.0,46478705200.0,214546.0,165124.0,-49400.0,-379670.0,2471555600.0,1858577400.0,-573190000.0,-4330133000.0
15/07/2026,11650.0,11550.0,100.0,0.00865801,11550.0,11750.0,11500.0,6871741.0,80051828950.0,0.0,0.0,6871741.0,80051828950.0,53340.0,-676840.0,-110000.0,623500.0,618811700.0,-7889181700.0,-1277000000.0,7270370000.0
14/07/2026,11550.0,11250.0,300.0,0.02666667,11250.0,11600.0,11250.0,2246413.0,25750376700.0,0.0,0.0,2246413.0,25750376700.0,-484956.0,402346.0,-1200.0,82610.0,-5563889600.0,4620256600.0,-13680000.0,943633000.0
13/07/2026,11250.0,11350.0,-100.0,-0.00881057,11400.0,11450.0,11200.0,3547760.0,40215993350.0,0.0,0.0,3547760.0,40215993350.0,-654300.0,352202.0,20000.0,302098.0,-7444430300.0,4000583100.0,226000000.0,3443847200.0
10/07/2026,11350.0,11500.0,-150.0,-0.01304348,11450.0,11550.0,11350.0,1768809.0,20198762350.0,0.0,0.0,1768809.0,20198762350.0,-219272.0,426002.0,0.0,-206730.0,-2519112900.0,4880297900.0,0.0,-2361185000.0
09/07/2026,11500.0,11700.0,-200.0,-0.01709402,11600.0,11600.0,11450.0,3153426.0,36384595800.0,0.0,0.0,3153426.0,36384595800.0,106566.0,-115366.0,0.0,8800.0,1232227500.0,-1336907500.0,0.0,104680000.0
08/07/2026,11700.0,11500.0,200.0,0.0173913,11450.0,11700.0,11350.0,3711824.0,42626404900.0,0.0,0.0,3711824.0,42626404900.0,36823.0,-19223.0,100000.0,-17600.0,373408200.0,-175993200.0,1145000000.0,-197415000.0
07/07/2026,11500.0,11450.0,50.0,0.00436681,11450.0,11500.0,11300.0,4002716.0,45505298000.0,0.0,0.0,4002716.0,45505298000.0,-226299.0,94901.0,-600.0,131398.0,-2592726900.0,1100759600.0,-6840000.0,1491967300.0
06/07/2026,11450.0,11550.0,-100.0,-0.00865801,11550.0,11750.0,11250.0,3450442.0,39715426200.0,0.0,0.0,3450442.0,39715426200.0,-110632.0,153695.0,-600.0,-43063.0,-1225623450.0,1731801550.0,-6810000.0,-506178100.0
03/07/2026,11550.0,11600.0,-50.0,-0.00431034,11600.0,11650.0,11500.0,2697084.0,31157194150.0,0.0,0.0,2697084.0,31157194150.0,167590.0,153620.0,0.0,-321210.0,1931672950.0,1775183550.0,0.0,-3706856500.0
02/07/2026,11600.0,11750.0,-150.0,-0.01276596,11750.0,11800.0,11600.0,2324504.0,27156164150.0,0.0,0.0,2324504.0,27156164150.0,146240.0,-18171.0,0.0,-128069.0,1741488950.0,-239666650.0,0.0,-1501822300.0
01/07/2026,11750.0,11700.0,50.0,0.0042735,11700.0,11750.0,11650.0,2382255.0,27861595450.0,0.0,0.0,2382255.0,27861595450.0,387568.0,-299063.0,0.0,-88505.0,4535460350.0,-3502246850.0,0.0,-1033213500.0
30/06/2026,11700.0,11750.0,-50.0,-0.00425532,11800.0,11800.0,11650.0,1665629.0,19497546250.0,30000.0,376500000.0,1695629.0,19874046250.0,160228.0,52203.0,0.0,-212431.0,1873657600.0,612400100.0,0.0,-2486057700.0
29/06/2026,11750.0,11600.0,150.0,0.01293103,11600.0,11750.0,11600.0,2236570.0,26130090600.0,0.0,0.0,2236570.0,26130090600.0,293980.0,-173477.0,-900.0,-120503.0,3431512500.0,-2025232050.0,-10530000.0,-1406280450.0
