NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,10150.0,10400.0,-250.0,-0.02403846,10400.0,10750.0,9700.0,536127.0,5523694840.0,0.0,0.0,536127.0,5523694840.0,-700.0,0.0,0.0,700.0,-6760000.0,0.0,0.0,6760000.0
03/09/2026,10400.0,10450.0,-50.0,-0.00478469,10950.0,10950.0,10400.0,687280.0,7383084000.0,0.0,0.0,687280.0,7383084000.0,-300.0,0.0,0.0,300.0,-450000.0,0.0,0.0,450000.0
28/08/2026,10450.0,9950.0,500.0,0.05025126,9960.0,10500.0,9960.0,801239.0,8210085350.0,0.0,0.0,801239.0,8210085350.0,-222015.0,223015.0,0.0,-1000.0,-2251794251.0,2262122250.0,0.0,-10328000.0
27/08/2026,9950.0,10050.0,-100.0,-0.00995025,10150.0,10200.0,9940.0,365458.0,3651063850.0,0.0,0.0,365458.0,3651063850.0,118308.0,-117008.0,0.0,-1300.0,1182167400.0,-1168893400.0,0.0,-13274000.0
26/08/2026,10050.0,10100.0,-50.0,-0.0049505,10300.0,10300.0,9960.0,582343.0,5878122720.0,0.0,0.0,582343.0,5878122720.0,-98274.0,89874.0,0.0,8400.0,-1006206180.0,921581180.0,0.0,84625000.0
25/08/2026,10100.0,10000.0,100.0,0.01,10200.0,10450.0,9960.0,1036344.0,10390439950.0,0.0,0.0,1036344.0,10390439950.0,263420.0,-214820.0,0.0,-48600.0,2634610350.0,-2147157350.0,0.0,-487453000.0
24/08/2026,10000.0,9400.0,600.0,0.06382979,9400.0,10000.0,9260.0,1249142.0,12258879040.0,0.0,0.0,1249142.0,12258879040.0,-234369.0,245669.0,0.0,-11300.0,-2331499090.0,2441106090.0,0.0,-109607000.0
21/08/2026,9400.0,8800.0,600.0,0.06818182,8920.0,9400.0,8900.0,317702.0,2870648800.0,0.0,0.0,317702.0,2870648800.0,-61400.0,52700.0,0.0,8700.0,-561581001.0,483234000.0,0.0,78347000.0
20/08/2026,8800.0,8950.0,-150.0,-0.01675978,8950.0,8960.0,8770.0,173690.0,1534474550.0,0.0,0.0,173690.0,1534474550.0,-97192.0,98392.0,0.0,-1200.0,-858950730.0,869990730.0,0.0,-11040000.0
19/08/2026,8950.0,8950.0,0.0,0.0,8960.0,9100.0,8730.0,120786.0,1071528380.0,584000.0,5226800000.0,704786.0,6298328380.0,-37456.0,37456.0,0.0,0.0,-331402380.0,331567380.0,0.0,-165000.0
18/08/2026,8950.0,8600.0,350.0,0.04069767,8600.0,9200.0,8590.0,592630.0,5334260220.0,0.0,0.0,592630.0,5334260220.0,-71535.0,32235.0,0.0,39300.0,-633128031.0,283710030.0,0.0,349418000.0
17/08/2026,8600.0,8590.0,10.0,0.00116414,8690.0,8700.0,8410.0,98340.0,843826080.0,584000.0,5016560000.0,682340.0,5860386080.0,2500.0,-14100.0,0.0,11600.0,21957000.0,-121843000.0,0.0,99886000.0
14/08/2026,8590.0,8570.0,20.0,0.00233372,8500.0,8600.0,8300.0,132326.0,1113401490.0,0.0,0.0,132326.0,1113401490.0,-33050.0,38850.0,0.0,-5800.0,-276103500.0,324805500.0,0.0,-48702000.0
13/08/2026,8570.0,8560.0,10.0,0.00116822,8720.0,8720.0,8460.0,127013.0,1083675100.0,0.0,0.0,127013.0,1083675100.0,20500.0,-9100.0,0.0,-11400.0,173754000.0,-75809000.0,0.0,-97945000.0
12/08/2026,8560.0,8550.0,10.0,0.00116959,8600.0,8600.0,8400.0,68695.0,585663830.0,0.0,0.0,68695.0,585663830.0,1218.0,5582.0,0.0,-6800.0,10897799.0,47412200.0,0.0,-58310000.0
11/08/2026,8550.0,8710.0,-160.0,-0.01836969,8710.0,8740.0,8550.0,112803.0,970657500.0,0.0,0.0,112803.0,970657500.0,13302.0,698.0,0.0,-14000.0,114200270.0,6131730.0,0.0,-120332000.0
10/08/2026,8710.0,8640.0,70.0,0.00810185,8950.0,8950.0,8550.0,184582.0,1596748520.0,0.0,0.0,184582.0,1596748520.0,-59540.0,69640.0,0.0,-10100.0,-516174400.0,603913400.0,0.0,-87739000.0
07/08/2026,8640.0,8800.0,-160.0,-0.01818182,8710.0,9100.0,8640.0,193201.0,1706397250.0,0.0,0.0,193201.0,1706397250.0,-33462.0,49462.0,0.0,-16000.0,-293944870.0,438615870.0,0.0,-144671000.0
06/08/2026,8800.0,8710.0,90.0,0.01033295,9140.0,9140.0,8580.0,332833.0,2919755630.0,0.0,0.0,332833.0,2919755630.0,-145156.0,145356.0,0.0,-200.0,-1274180960.0,1274764960.0,0.0,-584000.0
05/08/2026,8710.0,8800.0,-90.0,-0.01022727,9380.0,9380.0,8700.0,171966.0,1531322520.0,0.0,0.0,171966.0,1531322520.0,-37001.0,58201.0,0.0,-21200.0,-321673450.0,513101450.0,0.0,-191428000.0
04/08/2026,8800.0,8400.0,400.0,0.04761905,8200.0,8820.0,8200.0,556575.0,4820547300.0,600000.0,4800000000.0,1156575.0,9620547300.0,182059.0,-218359.0,0.0,36300.0,1571311250.0,-1884839250.0,0.0,313528000.0
03/08/2026,8400.0,8290.0,110.0,0.013269,8290.0,8490.0,8150.0,172424.0,1439038580.0,1150000.0,9200000000.0,1322424.0,10639038580.0,-12784.0,6184.0,0.0,6600.0,-109136110.0,54042110.0,0.0,55094000.0
31/07/2026,8290.0,8100.0,190.0,0.02345679,8100.0,8460.0,8070.0,708702.0,5875613720.0,0.0,0.0,708702.0,5875613720.0,479682.0,-454582.0,0.0,-25100.0,4001252850.0,-3792358850.0,0.0,-208894000.0
30/07/2026,8100.0,8400.0,-300.0,-0.03571429,8200.0,8500.0,8100.0,334598.0,2793427460.0,0.0,0.0,334598.0,2793427460.0,-20773.0,21973.0,0.0,-1200.0,-170748650.0,181269650.0,0.0,-10521000.0
29/07/2026,8400.0,8150.0,250.0,0.03067485,8550.0,8550.0,7850.0,305484.0,2475797320.0,0.0,0.0,305484.0,2475797320.0,14998.0,-1398.0,0.0,-13600.0,124617929.0,-14148930.0,0.0,-110469000.0
28/07/2026,8150.0,7910.0,240.0,0.03034134,7800.0,8200.0,7400.0,278314.0,2142944630.0,0.0,0.0,278314.0,2142944630.0,-143111.0,107711.0,0.0,35400.0,-1100386200.0,842067200.0,0.0,258319000.0
27/07/2026,7910.0,8290.0,-380.0,-0.04583836,8050.0,8270.0,7860.0,293291.0,2351601300.0,0.0,0.0,293291.0,2351601300.0,-60685.0,129885.0,0.0,-69200.0,-482259730.0,1039137730.0,0.0,-556878000.0
24/07/2026,8290.0,8580.0,-290.0,-0.03379953,8270.0,8970.0,8020.0,157502.0,1310645270.0,0.0,0.0,157502.0,1310645270.0,57888.0,512.0,0.0,-58400.0,492237180.0,3582820.0,0.0,-495820000.0
23/07/2026,8580.0,8040.0,540.0,0.06716418,8100.0,8600.0,8100.0,495132.0,4226406370.0,0.0,0.0,495132.0,4226406370.0,149211.0,-138611.0,0.0,-10600.0,1286853260.0,-1190491260.0,0.0,-96362000.0
22/07/2026,8040.0,7520.0,520.0,0.06914894,7250.0,8040.0,7250.0,421213.0,3312924690.0,0.0,0.0,421213.0,3312924690.0,128802.0,-169402.0,0.0,40600.0,1053014580.0,-1355836580.0,0.0,302822000.0
21/07/2026,7520.0,8080.0,-560.0,-0.06930693,8080.0,8080.0,7520.0,488538.0,3714196930.0,0.0,0.0,488538.0,3714196930.0,-188833.0,85533.0,0.0,103300.0,-1436341330.0,651959330.0,0.0,784382000.0
20/07/2026,8080.0,8680.0,-600.0,-0.06912442,8700.0,8720.0,8080.0,492019.0,4015349770.0,34000.0,275400000.0,526019.0,4290749770.0,-94094.0,91694.0,0.0,2400.0,-754383260.0,735206260.0,0.0,19177000.0
17/07/2026,8680.0,8500.0,180.0,0.02117647,8500.0,8780.0,8500.0,150561.0,1299955440.0,0.0,0.0,150561.0,1299955440.0,-14906.0,4306.0,0.0,10600.0,-128292219.0,37937220.0,0.0,90355000.0
16/07/2026,8500.0,8830.0,-330.0,-0.03737259,8240.0,9100.0,8240.0,743008.0,6392996420.0,0.0,0.0,743008.0,6392996420.0,-175331.0,170631.0,0.0,4700.0,-1514008050.0,1480736050.0,0.0,33272000.0
15/07/2026,8830.0,9490.0,-660.0,-0.06954689,8920.0,9480.0,8830.0,498965.0,4431195570.0,0.0,0.0,498965.0,4431195570.0,43090.0,-37390.0,0.0,-5700.0,386083690.0,-335051690.0,0.0,-51032000.0
14/07/2026,9490.0,10200.0,-710.0,-0.06960784,10200.0,10200.0,9490.0,1114749.0,10640687870.0,0.0,0.0,1114749.0,10640687870.0,392959.0,-389059.0,0.0,-3900.0,3731184890.0,-3692962890.0,0.0,-38222000.0
