NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,12600.0,12750.0,-150.0,-0.01176471,12800.0,12800.0,12600.0,117228.0,1485175900.0,0.0,0.0,117228.0,1485175900.0,31903.0,-25303.0,0.0,-6600.0,404938001.0,-321048000.0,0.0,-83890000.0
27/08/2026,12750.0,12800.0,-50.0,-0.00390625,12800.0,12850.0,12650.0,109886.0,1395205300.0,0.0,0.0,109886.0,1395205300.0,24764.0,-19464.0,-30000.0,-5300.0,313686800.0,-246376800.0,-379640000.0,-67310000.0
26/08/2026,12800.0,12850.0,-50.0,-0.00389105,12850.0,12850.0,12650.0,113609.0,1444408300.0,0.0,0.0,113609.0,1444408300.0,13882.0,-13882.0,0.0,0.0,175966050.0,-175826050.0,0.0,-140000.0
25/08/2026,12850.0,12900.0,-50.0,-0.00387597,12950.0,12950.0,12700.0,167811.0,2148982100.0,0.0,0.0,167811.0,2148982100.0,18415.0,-21115.0,-70000.0,2700.0,232277250.0,-266757250.0,-891800000.0,34480000.0
24/08/2026,12900.0,12900.0,0.0,0.0,13050.0,13050.0,12800.0,205940.0,2649661650.0,0.0,0.0,205940.0,2649661650.0,226.0,-9126.0,-70000.0,8900.0,1031750.0,-115441750.0,-899155000.0,114410000.0
21/08/2026,12900.0,12800.0,100.0,0.0078125,12800.0,12950.0,12600.0,371278.0,4750661650.0,0.0,0.0,371278.0,4750661650.0,121306.0,-128706.0,-190000.0,7400.0,1557555650.0,-1652900650.0,-2435505000.0,95345000.0
20/08/2026,12800.0,12850.0,-50.0,-0.00389105,13000.0,13000.0,12700.0,76005.0,969233950.0,0.0,0.0,76005.0,969233950.0,32324.0,-32424.0,-38900.0,100.0,411993450.0,-413278450.0,-495565000.0,1285000.0
19/08/2026,12850.0,12800.0,50.0,0.00390625,12800.0,13000.0,12800.0,253081.0,3254476650.0,0.0,0.0,253081.0,3254476650.0,-80610.0,-106990.0,-88000.0,187600.0,-1041826251.0,-1372198750.0,-1127900000.0,2414025000.0
18/08/2026,12800.0,12800.0,0.0,0.0,12900.0,13100.0,12700.0,188270.0,2411543750.0,0.0,0.0,188270.0,2411543750.0,-33693.0,25893.0,-60000.0,7800.0,-437009450.0,336939450.0,-763535000.0,100070000.0
17/08/2026,12800.0,13000.0,-200.0,-0.01538462,13000.0,13100.0,12750.0,121811.0,1565672450.0,0.0,0.0,121811.0,1565672450.0,42654.0,-42854.0,-65000.0,200.0,543961951.0,-546211950.0,-832745000.0,2250000.0
14/08/2026,13000.0,13250.0,-250.0,-0.01886792,13300.0,13300.0,12800.0,222191.0,2877882450.0,0.0,0.0,222191.0,2877882450.0,1799.0,-12499.0,0.0,10700.0,21531750.0,-160506750.0,0.0,138975000.0
13/08/2026,13250.0,13300.0,-50.0,-0.0037594,13350.0,13350.0,13000.0,260532.0,3412138600.0,0.0,0.0,260532.0,3412138600.0,16255.0,-10455.0,0.0,-5800.0,214170050.0,-137065050.0,0.0,-77105000.0
12/08/2026,13300.0,13250.0,50.0,0.00377358,13250.0,13650.0,13250.0,313187.0,4205808150.0,0.0,0.0,313187.0,4205808150.0,-19118.0,26718.0,0.0,-7600.0,-255546700.0,356686700.0,0.0,-101140000.0
11/08/2026,13250.0,13300.0,-50.0,-0.0037594,13350.0,13350.0,13200.0,101586.0,1344413950.0,0.0,0.0,101586.0,1344413950.0,26209.0,10991.0,0.0,-37200.0,347283600.0,144936400.0,0.0,-492220000.0
10/08/2026,13300.0,12950.0,350.0,0.02702703,13200.0,13300.0,13050.0,214492.0,2825522950.0,0.0,0.0,214492.0,2825522950.0,49993.0,3842.0,0.0,-53835.0,657960300.0,50559950.0,0.0,-708520250.0
07/08/2026,12950.0,13050.0,-100.0,-0.00766284,12800.0,13150.0,12800.0,446519.0,5814165250.0,2940000.0,40196000000.0,3386519.0,46010165250.0,72845.0,-13240.0,0.0,-59605.0,948537250.0,-172667000.0,0.0,-775870250.0
06/08/2026,13050.0,13200.0,-150.0,-0.01136364,13250.0,13250.0,12750.0,144301.0,1858895150.0,0.0,0.0,144301.0,1858895150.0,41085.0,-4285.0,0.0,-36800.0,529982851.0,-55482850.0,0.0,-474500000.0
05/08/2026,13200.0,13200.0,0.0,0.0,13400.0,14000.0,13050.0,251358.0,3376831100.0,2940000.0,40278000000.0,3191358.0,43654831100.0,-61034.0,-7566.0,0.0,68600.0,-842569650.0,-113610350.0,0.0,956180000.0
04/08/2026,13200.0,12450.0,750.0,0.06024096,12450.0,13300.0,12450.0,431025.0,5655130600.0,0.0,0.0,431025.0,5655130600.0,-62137.0,-24163.0,0.0,86300.0,-801297051.0,-317247950.0,0.0,1118545000.0
03/08/2026,12450.0,12200.0,250.0,0.0204918,12200.0,12500.0,12200.0,204606.0,2527776450.0,0.0,0.0,204606.0,2527776450.0,-27061.0,14861.0,0.0,12200.0,-335986900.0,185246900.0,0.0,150740000.0
31/07/2026,12200.0,12300.0,-100.0,-0.00813008,12300.0,12350.0,12150.0,85511.0,1044149800.0,0.0,0.0,85511.0,1044149800.0,9999.0,-10999.0,0.0,1000.0,122687700.0,-134722700.0,0.0,12035000.0
30/07/2026,12300.0,11950.0,350.0,0.0292887,11750.0,12350.0,11750.0,216387.0,2632516700.0,0.0,0.0,216387.0,2632516700.0,30410.0,-49910.0,0.0,19500.0,368232500.0,-604127500.0,0.0,235895000.0
29/07/2026,11950.0,11900.0,50.0,0.00420168,12000.0,12100.0,11850.0,41830.0,498912750.0,0.0,0.0,41830.0,498912750.0,5170.0,-7470.0,0.0,2300.0,61687000.0,-89087000.0,0.0,27400000.0
28/07/2026,11900.0,11650.0,250.0,0.02145923,11450.0,12000.0,11450.0,181642.0,2135598800.0,3270000.0,39323500000.0,3451642.0,41459098800.0,-4440.0,-9660.0,0.0,14100.0,-53850000.0,-112860000.0,0.0,166710000.0
27/07/2026,11650.0,12200.0,-550.0,-0.04508197,12300.0,12300.0,11650.0,94944.0,1132876450.0,0.0,0.0,94944.0,1132876450.0,18400.0,3200.0,0.0,-21600.0,225493400.0,33606600.0,0.0,-259100000.0
24/07/2026,12200.0,12300.0,-100.0,-0.00813008,12300.0,12300.0,12100.0,49540.0,603465700.0,3270000.0,39403500000.0,3319540.0,40006965700.0,1984.0,-1784.0,0.0,-200.0,24157449.0,-21712450.0,0.0,-2445000.0
23/07/2026,12300.0,12200.0,100.0,0.00819672,12000.0,12300.0,11850.0,164987.0,1999502350.0,0.0,0.0,164987.0,1999502350.0,35980.0,-31080.0,-25000.0,-4900.0,436255000.0,-377425000.0,-301595000.0,-58830000.0
22/07/2026,12200.0,12200.0,0.0,0.0,12050.0,12250.0,12000.0,102958.0,1247447450.0,0.0,0.0,102958.0,1247447450.0,25130.0,-16330.0,-17100.0,-8800.0,306315000.0,-200205000.0,-208620000.0,-106110000.0
21/07/2026,12200.0,12050.0,150.0,0.01244813,12000.0,12350.0,12000.0,159448.0,1932360100.0,0.0,0.0,159448.0,1932360100.0,-15493.0,-2707.0,0.0,18200.0,-187805650.0,-33289350.0,0.0,221095000.0
20/07/2026,12050.0,12500.0,-450.0,-0.036,12500.0,12550.0,12000.0,250235.0,3031012400.0,938700.0,11733750000.0,1188935.0,14764762400.0,-286.0,-70214.0,0.0,70500.0,3212649.0,-853992650.0,0.0,850780000.0
17/07/2026,12500.0,12750.0,-250.0,-0.01960784,12750.0,12750.0,12500.0,106269.0,1336805350.0,0.0,0.0,106269.0,1336805350.0,16900.0,-16400.0,0.0,-500.0,213085000.0,-206575000.0,0.0,-6510000.0
16/07/2026,12750.0,12700.0,50.0,0.00393701,12700.0,12800.0,12450.0,149453.0,1889038950.0,0.0,0.0,149453.0,1889038950.0,3981.0,-3781.0,0.0,-200.0,52293400.0,-49303400.0,0.0,-2990000.0
15/07/2026,12700.0,12700.0,0.0,0.0,12700.0,12850.0,12650.0,148616.0,1893509750.0,0.0,0.0,148616.0,1893509750.0,50685.0,-50585.0,-25000.0,-100.0,645353000.0,-644073000.0,-317900000.0,-1280000.0
14/07/2026,12700.0,12650.0,50.0,0.00395257,12600.0,12800.0,12500.0,206360.0,2601982400.0,0.0,0.0,206360.0,2601982400.0,9578.0,-58778.0,-110000.0,49200.0,116168899.0,-737763900.0,-1382245000.0,621595000.0
13/07/2026,12650.0,13100.0,-450.0,-0.03435115,13250.0,13250.0,12500.0,480307.0,6116538100.0,0.0,0.0,480307.0,6116538100.0,46292.0,-53292.0,-100000.0,7000.0,597629199.0,-678239200.0,-1267220000.0,80610000.0
10/07/2026,13100.0,13300.0,-200.0,-0.01503759,13300.0,13350.0,13100.0,59795.0,788161150.0,0.0,0.0,59795.0,788161150.0,19510.0,-21410.0,0.0,1900.0,256301950.0,-281381950.0,0.0,25080000.0
09/07/2026,13300.0,13000.0,300.0,0.02307692,13000.0,13300.0,13000.0,219809.0,2903398400.0,0.0,0.0,219809.0,2903398400.0,-9432.0,9032.0,-20000.0,400.0,-126050700.0,120750700.0,-265500000.0,5300000.0
08/07/2026,13000.0,13250.0,-250.0,-0.01886792,13250.0,13300.0,13000.0,160199.0,2101640650.0,0.0,0.0,160199.0,2101640650.0,42583.0,-54583.0,-300.0,12000.0,553526650.0,-711386650.0,-3960000.0,157860000.0
07/07/2026,13250.0,13200.0,50.0,0.00378788,13050.0,13300.0,12950.0,198715.0,2604582850.0,0.0,0.0,198715.0,2604582850.0,-1968.0,-5032.0,-49600.0,7000.0,-22629500.0,-68370500.0,-651660000.0,91000000.0
06/07/2026,13200.0,13350.0,-150.0,-0.01123596,13350.0,13500.0,13050.0,244612.0,3231818100.0,0.0,0.0,244612.0,3231818100.0,-25077.0,28277.0,0.0,-3200.0,-331685700.0,374365700.0,0.0,-42680000.0
03/07/2026,13350.0,13450.0,-100.0,-0.00743494,13500.0,13500.0,13350.0,86687.0,1163305000.0,0.0,0.0,86687.0,1163305000.0,13591.0,-14991.0,0.0,1400.0,181981950.0,-200756950.0,0.0,18775000.0
02/07/2026,13450.0,13600.0,-150.0,-0.01102941,13600.0,13650.0,13450.0,100477.0,1357788650.0,0.0,0.0,100477.0,1357788650.0,26281.0,-30181.0,0.0,3900.0,352069050.0,-404929050.0,0.0,52860000.0
01/07/2026,13600.0,13350.0,250.0,0.01872659,13500.0,13600.0,13500.0,82716.0,1120561400.0,0.0,0.0,82716.0,1120561400.0,-28229.0,26129.0,0.0,2100.0,-381897150.0,353537150.0,0.0,28360000.0
30/06/2026,13350.0,13550.0,-200.0,-0.01476015,13650.0,13650.0,13350.0,324388.0,4361499450.0,0.0,0.0,324388.0,4361499450.0,-126500.0,26900.0,0.0,99600.0,-1699260000.0,361335000.0,0.0,1337925000.0
29/06/2026,13550.0,13650.0,-100.0,-0.00732601,13400.0,13650.0,13400.0,118153.0,1594774650.0,0.0,0.0,118153.0,1594774650.0,25455.0,4545.0,0.0,-30000.0,340236200.0,61913800.0,0.0,-402150000.0
26/06/2026,13650.0,13750.0,-100.0,-0.00727273,13600.0,13750.0,13550.0,251771.0,3424004250.0,0.0,0.0,251771.0,3424004250.0,53371.0,-53371.0,-171.0,0.0,725509250.0,-725509250.0,-2319000.0,0.0
25/06/2026,13750.0,13700.0,50.0,0.00364964,13700.0,13750.0,13600.0,150767.0,2066752250.0,0.0,0.0,150767.0,2066752250.0,66165.0,-66465.0,0.0,300.0,906727250.0,-910837250.0,0.0,4110000.0
24/06/2026,13700.0,13700.0,0.0,0.0,13700.0,13800.0,13550.0,111914.0,1525790800.0,0.0,0.0,111914.0,1525790800.0,5209.0,-5209.0,0.0,0.0,70664900.0,-70664900.0,0.0,0.0
23/06/2026,13700.0,13750.0,-50.0,-0.00363636,13750.0,13800.0,13650.0,218600.0,2998792550.0,0.0,0.0,218600.0,2998792550.0,-87293.0,-2787.0,0.0,90080.0,-1196034951.0,-38066050.0,0.0,1234101000.0
22/06/2026,13750.0,13850.0,-100.0,-0.00722022,13900.0,13900.0,13750.0,81797.0,1127672800.0,0.0,0.0,81797.0,1127672800.0,22398.0,-17598.0,0.0,-4800.0,307606900.0,-241346900.0,0.0,-66260000.0
19/06/2026,13850.0,13650.0,200.0,0.01465201,14000.0,14000.0,13650.0,221858.0,3079622000.0,0.0,0.0,221858.0,3079622000.0,42221.0,-21321.0,0.0,-20900.0,587614850.0,-298264850.0,0.0,-289350000.0
18/06/2026,13650.0,13850.0,-200.0,-0.01444043,13900.0,13950.0,13650.0,147933.0,2030148850.0,0.0,0.0,147933.0,2030148850.0,-26021.0,26121.0,0.0,-100.0,-359092450.0,360587450.0,0.0,-1495000.0
17/06/2026,13850.0,13800.0,50.0,0.00362319,13800.0,13900.0,13750.0,64369.0,890988600.0,0.0,0.0,64369.0,890988600.0,-19918.0,19518.0,0.0,400.0,-275800300.0,270265300.0,0.0,5535000.0
16/06/2026,13800.0,13650.0,150.0,0.01098901,13650.0,13850.0,13650.0,88297.0,1213924550.0,0.0,0.0,88297.0,1213924550.0,-14153.0,-47.0,0.0,14200.0,-193911900.0,-718100.0,0.0,194630000.0
15/06/2026,13650.0,13600.0,50.0,0.00367647,13550.0,13750.0,13550.0,147333.0,2009157850.0,0.0,0.0,147333.0,2009157850.0,-27800.0,21800.0,0.0,6000.0,-379105600.0,297190600.0,0.0,81915000.0
12/06/2026,13600.0,13750.0,-150.0,-0.01090909,13750.0,13800.0,13300.0,156856.0,2123668150.0,0.0,0.0,156856.0,2123668150.0,-15272.0,11172.0,0.0,4100.0,-208144000.0,153349000.0,0.0,54795000.0
11/06/2026,13750.0,13950.0,-200.0,-0.01433692,13950.0,13950.0,13750.0,39077.0,540096100.0,0.0,0.0,39077.0,540096100.0,1529.0,-1529.0,0.0,0.0,21062800.0,-21062800.0,0.0,0.0
10/06/2026,13950.0,13800.0,150.0,0.01086957,13550.0,13950.0,13550.0,137031.0,1899955400.0,0.0,0.0,137031.0,1899955400.0,-550.0,1450.0,0.0,-900.0,-6934449.0,19489450.0,0.0,-12555000.0
09/06/2026,13800.0,13550.0,250.0,0.01845018,13600.0,13800.0,13350.0,86457.0,1173482800.0,0.0,0.0,86457.0,1173482800.0,17745.0,-15845.0,0.0,-1900.0,243664250.0,-216994250.0,0.0,-26670000.0
08/06/2026,13550.0,13700.0,-150.0,-0.01094891,13650.0,13650.0,13400.0,205584.0,2771877200.0,0.0,0.0,205584.0,2771877200.0,36004.0,-36404.0,0.0,400.0,484692600.0,-490092600.0,0.0,5400000.0
05/06/2026,13700.0,13500.0,200.0,0.01481481,13650.0,13800.0,13550.0,95354.0,1301240650.0,0.0,0.0,95354.0,1301240650.0,2865.0,1035.0,0.0,-3900.0,38391450.0,14673550.0,0.0,-53065000.0
04/06/2026,13500.0,13700.0,-200.0,-0.01459854,13700.0,13850.0,13500.0,398786.0,5426659300.0,0.0,0.0,398786.0,5426659300.0,273952.0,-255652.0,0.0,-18300.0,3722760100.0,-3471170100.0,0.0,-251590000.0
03/06/2026,13700.0,13750.0,-50.0,-0.00363636,13750.0,13800.0,13650.0,69058.0,948114700.0,0.0,0.0,69058.0,948114700.0,20154.0,-2154.0,0.0,-18000.0,277030401.0,-29315400.0,0.0,-247715000.0
02/06/2026,13750.0,13800.0,-50.0,-0.00362319,14250.0,14250.0,13750.0,193528.0,2716209300.0,0.0,0.0,193528.0,2716209300.0,35229.0,-20829.0,0.0,-14400.0,512468599.0,-307333600.0,0.0,-205135000.0
01/06/2026,13800.0,13600.0,200.0,0.01470588,13600.0,13800.0,13550.0,87616.0,1199667550.0,0.0,0.0,87616.0,1199667550.0,-22557.0,23057.0,0.0,-500.0,-309433900.0,316283900.0,0.0,-6850000.0
29/05/2026,13600.0,13800.0,-200.0,-0.01449275,13600.0,13700.0,13600.0,121111.0,1655457050.0,0.0,0.0,121111.0,1655457050.0,52005.0,-1605.0,0.0,-50400.0,711074000.0,-20594000.0,0.0,-690480000.0
28/05/2026,13800.0,13900.0,-100.0,-0.00719424,13950.0,13950.0,13750.0,96935.0,1337495000.0,0.0,0.0,96935.0,1337495000.0,1679.0,9921.0,0.0,-11600.0,22413700.0,137966300.0,0.0,-160380000.0
27/05/2026,13900.0,13950.0,-50.0,-0.00358423,13950.0,14000.0,13800.0,138812.0,1928793550.0,0.0,0.0,138812.0,1928793550.0,-35561.0,52461.0,0.0,-16900.0,-495107100.0,729712100.0,0.0,-234605000.0
26/05/2026,13950.0,13950.0,0.0,0.0,14000.0,14000.0,13800.0,113968.0,1581508050.0,0.0,0.0,113968.0,1581508050.0,-23628.0,24728.0,0.0,-1100.0,-326984600.0,342329600.0,0.0,-15345000.0
25/05/2026,13950.0,13800.0,150.0,0.01086957,13800.0,13950.0,13800.0,131847.0,1833757500.0,0.0,0.0,131847.0,1833757500.0,11770.0,11830.0,0.0,-23600.0,164827000.0,163438000.0,0.0,-328265000.0
22/05/2026,13800.0,13850.0,-50.0,-0.00361011,14000.0,14000.0,13700.0,176055.0,2426017200.0,0.0,0.0,176055.0,2426017200.0,11032.0,31368.0,0.0,-42400.0,151878850.0,433736150.0,0.0,-585615000.0
