NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,18700.0,18700.0,0.0,0.0,18700.0,18950.0,18650.0,18021.0,337804800.0,0.0,0.0,18021.0,337804800.0,0.0,0.0,0.0,-3100.0,0.0,0.0,0.0,-57915000.0
28/08/2026,18700.0,18650.0,50.0,0.00268097,18600.0,18900.0,18600.0,5800.0,108585000.0,0.0,0.0,5800.0,108585000.0,4700.0,-3000.0,0.0,-1700.0,88040000.0,-56235000.0,0.0,-31805000.0
27/08/2026,18650.0,18700.0,-50.0,-0.0026738,18600.0,18700.0,18600.0,5080.0,94512650.0,0.0,0.0,5080.0,94512650.0,-66.0,66.0,0.0,0.0,-1236851.0,1236850.0,0.0,0.0
26/08/2026,18700.0,18700.0,0.0,0.0,18700.0,18700.0,18650.0,2300.0,42970000.0,0.0,0.0,2300.0,42970000.0,-200.0,200.0,0.0,0.0,-3755000.0,3755000.0,0.0,0.0
25/08/2026,18700.0,18700.0,0.0,0.0,18600.0,18700.0,18600.0,9700.0,180780000.0,0.0,0.0,9700.0,180780000.0,-100.0,100.0,0.0,0.0,-1855000.0,1855000.0,0.0,0.0
24/08/2026,18700.0,18650.0,50.0,0.00268097,18750.0,18800.0,18650.0,15843.0,296063100.0,0.0,0.0,15843.0,296063100.0,13079.0,-13679.0,0.0,600.0,244232300.0,-255482300.0,0.0,11250000.0
21/08/2026,18650.0,18600.0,50.0,0.00268817,18450.0,18650.0,18400.0,4470.0,83072000.0,0.0,0.0,4470.0,83072000.0,-180.0,180.0,0.0,0.0,-3348000.0,3348000.0,0.0,0.0
20/08/2026,18600.0,18650.0,-50.0,-0.00268097,18700.0,18700.0,18550.0,5631.0,105128150.0,0.0,0.0,5631.0,105128150.0,831.0,-731.0,0.0,-100.0,15508150.0,-13643150.0,0.0,-1865000.0
19/08/2026,18650.0,18500.0,150.0,0.00810811,18400.0,18650.0,18400.0,2968.0,54616600.0,0.0,0.0,2968.0,54616600.0,-100.0,100.0,0.0,0.0,-1840000.0,1840000.0,0.0,0.0
18/08/2026,18500.0,18500.0,0.0,0.0,18500.0,18500.0,18400.0,5910.0,109063400.0,0.0,0.0,5910.0,109063400.0,-1798.0,1798.0,0.0,0.0,-33138001.0,33138000.0,0.0,0.0
17/08/2026,18500.0,18550.0,-50.0,-0.00269542,18550.0,18600.0,18400.0,6007.0,111025900.0,0.0,0.0,6007.0,111025900.0,100.0,0.0,0.0,-100.0,1715000.0,140000.0,0.0,-1855000.0
14/08/2026,18550.0,18600.0,-50.0,-0.00268817,18400.0,18650.0,18400.0,6530.0,120942050.0,0.0,0.0,6530.0,120942050.0,-1820.0,2120.0,0.0,-300.0,-33598000.0,39193000.0,0.0,-5595000.0
13/08/2026,18600.0,18600.0,0.0,0.0,18600.0,18600.0,18450.0,22699.0,420102700.0,0.0,0.0,22699.0,420102700.0,-230.0,230.0,0.0,0.0,-4270000.0,4270000.0,0.0,0.0
12/08/2026,18600.0,18700.0,-100.0,-0.00534759,18700.0,18700.0,18500.0,11761.0,218555700.0,0.0,0.0,11761.0,218555700.0,-300.0,500.0,0.0,-200.0,-5350000.0,9035000.0,0.0,-3685000.0
11/08/2026,18700.0,18750.0,-50.0,-0.00266667,18800.0,18800.0,18700.0,5370.0,100467550.0,0.0,0.0,5370.0,100467550.0,2047.0,-2047.0,0.0,0.0,38286200.0,-38286200.0,0.0,0.0
10/08/2026,18750.0,18700.0,50.0,0.0026738,18900.0,19050.0,18700.0,16084.0,303128400.0,0.0,0.0,16084.0,303128400.0,2569.0,-669.0,0.0,-1900.0,49200500.0,-13450500.0,0.0,-35750000.0
07/08/2026,18700.0,18650.0,50.0,0.00268097,18650.0,18750.0,18650.0,8651.0,161631700.0,0.0,0.0,8651.0,161631700.0,-5673.0,673.0,0.0,5000.0,-106050800.0,12550800.0,0.0,93500000.0
06/08/2026,18650.0,18950.0,-300.0,-0.01583113,18850.0,18850.0,18600.0,14687.0,274403050.0,0.0,0.0,14687.0,274403050.0,3575.0,-7375.0,0.0,3800.0,66408500.0,-137458500.0,0.0,71050000.0
05/08/2026,18950.0,18850.0,100.0,0.00530504,18900.0,19000.0,18800.0,16160.0,305983600.0,0.0,0.0,16160.0,305983600.0,-2400.0,2400.0,0.0,0.0,-45200000.0,45200000.0,0.0,0.0
04/08/2026,18850.0,18650.0,200.0,0.01072386,18600.0,18900.0,18400.0,20029.0,373816550.0,0.0,0.0,20029.0,373816550.0,-115.0,-4685.0,0.0,4800.0,-4154149.0,-85365850.0,0.0,89520000.0
03/08/2026,18650.0,18200.0,450.0,0.02472527,18250.0,18650.0,18250.0,24749.0,455523400.0,0.0,0.0,24749.0,455523400.0,-14399.0,12299.0,0.0,2100.0,-264491700.0,225856700.0,0.0,38635000.0
31/07/2026,18200.0,18400.0,-200.0,-0.01086957,18750.0,18750.0,18000.0,35368.0,641775200.0,0.0,0.0,35368.0,641775200.0,12180.0,11820.0,0.0,-24000.0,219456000.0,214054000.0,0.0,-433510000.0
30/07/2026,18400.0,18100.0,300.0,0.01657459,18350.0,18450.0,18300.0,19460.0,357887300.0,0.0,0.0,19460.0,357887300.0,-14071.0,14471.0,0.0,-400.0,-258673850.0,266008850.0,0.0,-7335000.0
29/07/2026,18100.0,17950.0,150.0,0.00835655,18400.0,18400.0,18000.0,4501.0,82069000.0,0.0,0.0,4501.0,82069000.0,701.0,-701.0,0.0,0.0,12959000.0,-12959000.0,0.0,0.0
28/07/2026,17950.0,17900.0,50.0,0.0027933,17900.0,18000.0,17900.0,17608.0,315759800.0,0.0,0.0,17608.0,315759800.0,-4800.0,-5200.0,0.0,10000.0,-85945001.0,-93295000.0,0.0,179240000.0
27/07/2026,17900.0,18050.0,-150.0,-0.00831025,18050.0,18050.0,17800.0,36000.0,646120000.0,0.0,0.0,36000.0,646120000.0,1900.0,-22300.0,0.0,20400.0,33985000.0,-400205000.0,0.0,366220000.0
24/07/2026,18050.0,18100.0,-50.0,-0.00276243,18050.0,18100.0,18000.0,13224.0,238467100.0,0.0,0.0,13224.0,238467100.0,7202.0,-7002.0,0.0,-200.0,129806100.0,-126186100.0,0.0,-3620000.0
23/07/2026,18100.0,18050.0,50.0,0.00277008,18100.0,18250.0,17800.0,29250.0,528870000.0,0.0,0.0,29250.0,528870000.0,-17300.0,4400.0,0.0,12900.0,-313445000.0,79955000.0,0.0,233490000.0
22/07/2026,18050.0,18350.0,-300.0,-0.01634877,18400.0,18400.0,17950.0,25453.0,460857800.0,0.0,0.0,25453.0,460857800.0,1650.0,-5250.0,0.0,3600.0,28652500.0,-94922500.0,0.0,66270000.0
