NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,21200.0,21150.0,50.0,0.00236407,20250.0,21200.0,20250.0,11100.0,225420000.0,0.0,0.0,11100.0,225420000.0,9900.0,0.0,0.0,-9900.0,200475000.0,0.0,0.0,-200475000.0
28/08/2026,21150.0,21150.0,0.0,0.0,21150.0,21150.0,21150.0,36.0,765000.0,0.0,0.0,36.0,765000.0,36.0,-36.0,0.0,0.0,765000.0,-765000.0,0.0,0.0
27/08/2026,21150.0,21700.0,-550.0,-0.02534562,21150.0,21150.0,21150.0,300.0,6345000.0,0.0,0.0,300.0,6345000.0,100.0,-100.0,0.0,0.0,2115000.0,-2115000.0,0.0,0.0
26/08/2026,21700.0,21600.0,100.0,0.00462963,21800.0,21800.0,21700.0,309.0,6726200.0,0.0,0.0,309.0,6726200.0,-209.0,209.0,0.0,0.0,-4546200.0,4546200.0,0.0,0.0
25/08/2026,21600.0,21600.0,0.0,0.0,21650.0,21650.0,21050.0,2400.0,51150000.0,0.0,0.0,2400.0,51150000.0,-900.0,900.0,0.0,0.0,-18890000.0,18890000.0,0.0,0.0
24/08/2026,21600.0,21200.0,400.0,0.01886792,21400.0,21600.0,21050.0,3416.0,73384200.0,0.0,0.0,3416.0,73384200.0,-1900.0,2000.0,0.0,-100.0,-40850001.0,42955000.0,0.0,-2105000.0
21/08/2026,21200.0,21300.0,-100.0,-0.00469484,21200.0,21200.0,21200.0,200.0,4240000.0,0.0,0.0,200.0,4240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,21300.0,21500.0,-200.0,-0.00930233,21300.0,21300.0,21300.0,300.0,6390000.0,0.0,0.0,300.0,6390000.0,-300.0,300.0,0.0,0.0,-6390000.0,6390000.0,0.0,0.0
19/08/2026,21500.0,21500.0,0.0,0.0,21500.0,21500.0,21500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,21500.0,21400.0,100.0,0.0046729,21400.0,21500.0,21400.0,200.0,4290000.0,0.0,0.0,200.0,4290000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,21400.0,21400.0,0.0,0.0,21400.0,21400.0,21400.0,100.0,2140000.0,0.0,0.0,100.0,2140000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,21400.0,20950.0,450.0,0.02147971,21200.0,21400.0,21100.0,700.0,14900000.0,0.0,0.0,700.0,14900000.0,-600.0,600.0,0.0,0.0,-12790000.0,12790000.0,0.0,0.0
13/08/2026,20950.0,20950.0,0.0,0.0,20950.0,20950.0,20950.0,4.0,83800.0,0.0,0.0,4.0,83800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/08/2026,20950.0,21000.0,-50.0,-0.00238095,20950.0,20950.0,20950.0,232.0,4873900.0,0.0,0.0,232.0,4873900.0,-200.0,200.0,0.0,0.0,-4190001.0,4190000.0,0.0,0.0
11/08/2026,21000.0,21200.0,-200.0,-0.00943396,21200.0,21200.0,21000.0,1300.0,27380000.0,0.0,0.0,1300.0,27380000.0,-500.0,500.0,0.0,0.0,-10500000.0,10500000.0,0.0,0.0
10/08/2026,21200.0,20650.0,550.0,0.02663438,21150.0,21200.0,21150.0,800.0,16935000.0,0.0,0.0,800.0,16935000.0,200.0,-200.0,0.0,0.0,4230000.0,-4230000.0,0.0,0.0
07/08/2026,20650.0,21300.0,-650.0,-0.03051643,21450.0,21450.0,20050.0,2255.0,45938350.0,0.0,0.0,2255.0,45938350.0,1700.0,200.0,0.0,-1900.0,34430001.0,4130000.0,0.0,-38560000.0
06/08/2026,21300.0,21200.0,100.0,0.00471698,21600.0,21600.0,21300.0,900.0,19290000.0,0.0,0.0,900.0,19290000.0,-200.0,200.0,0.0,0.0,-4260000.0,4260000.0,0.0,0.0
05/08/2026,21200.0,21200.0,0.0,0.0,21200.0,21200.0,21200.0,1300.0,27560000.0,0.0,0.0,1300.0,27560000.0,-1000.0,1000.0,0.0,0.0,-21200000.0,21200000.0,0.0,0.0
04/08/2026,21200.0,21000.0,200.0,0.00952381,21000.0,21200.0,21000.0,1100.0,23120000.0,0.0,0.0,1100.0,23120000.0,-100.0,100.0,0.0,0.0,-2120000.0,2120000.0,0.0,0.0
03/08/2026,21000.0,20600.0,400.0,0.01941748,21000.0,21000.0,21000.0,2400.0,50400000.0,0.0,0.0,2400.0,50400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31/07/2026,20600.0,20500.0,100.0,0.00487805,21800.0,21800.0,20600.0,2250.0,48930000.0,0.0,0.0,2250.0,48930000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30/07/2026,20500.0,20300.0,200.0,0.00985222,20500.0,20500.0,20500.0,6500.0,133250000.0,0.0,0.0,6500.0,133250000.0,-6000.0,0.0,0.0,6000.0,-123000000.0,0.0,0.0,123000000.0
29/07/2026,20300.0,20300.0,0.0,0.0,20300.0,20300.0,20300.0,1.0,21700.0,0.0,0.0,1.0,21700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/07/2026,20300.0,20300.0,0.0,0.0,20050.0,20300.0,20000.0,500.0,10035000.0,0.0,0.0,500.0,10035000.0,-100.0,100.0,0.0,0.0,-2030000.0,2030000.0,0.0,0.0
27/07/2026,20300.0,20300.0,0.0,0.0,20300.0,20300.0,20300.0,1100.0,22330000.0,0.0,0.0,1100.0,22330000.0,500.0,-500.0,0.0,0.0,10150000.0,-10150000.0,0.0,0.0
24/07/2026,20300.0,20900.0,-600.0,-0.02870813,20900.0,20900.0,20000.0,600.0,12210000.0,0.0,0.0,600.0,12210000.0,600.0,-600.0,0.0,0.0,12210000.0,-12210000.0,0.0,0.0
23/07/2026,20900.0,20900.0,0.0,0.0,20900.0,20900.0,20900.0,400.0,8360000.0,0.0,0.0,400.0,8360000.0,-300.0,300.0,0.0,0.0,-6270000.0,6270000.0,0.0,0.0
22/07/2026,20900.0,20900.0,0.0,0.0,20900.0,20900.0,20900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/07/2026,20900.0,21100.0,-200.0,-0.00947867,20900.0,20900.0,20900.0,800.0,16720000.0,0.0,0.0,800.0,16720000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/07/2026,21100.0,20900.0,200.0,0.00956938,21000.0,21250.0,21000.0,2011.0,42339900.0,0.0,0.0,2011.0,42339900.0,100.0,-100.0,0.0,0.0,2105000.0,-2105000.0,0.0,0.0
17/07/2026,20900.0,21500.0,-600.0,-0.02790698,21050.0,21050.0,20900.0,1330.0,27886500.0,0.0,0.0,1330.0,27886500.0,-470.0,-30.0,0.0,500.0,-9888500.0,-601500.0,0.0,10490000.0
16/07/2026,21500.0,21500.0,0.0,0.0,21500.0,21500.0,21500.0,17.0,367200.0,0.0,0.0,17.0,367200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/07/2026,21500.0,21500.0,0.0,0.0,21500.0,21500.0,21500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/07/2026,21500.0,21500.0,0.0,0.0,21500.0,21500.0,21500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
