NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,9290.0,9300.0,-10.0,-0.00107527,9160.0,9360.0,9160.0,415268.0,3851963450.0,0.0,0.0,415268.0,3851963450.0,-8100.0,0.0,0.0,8100.0,-75037000.0,0.0,0.0,75037000.0
28/08/2026,9300.0,9300.0,0.0,0.0,9300.0,9410.0,9260.0,221553.0,2066916240.0,0.0,0.0,221553.0,2066916240.0,50395.0,-45295.0,0.0,-5100.0,469376720.0,-421866719.0,0.0,-47510000.0
27/08/2026,9300.0,8930.0,370.0,0.04143337,9060.0,9320.0,8950.0,676702.0,6236135140.0,0.0,0.0,676702.0,6236135140.0,45913.0,-47813.0,0.0,1900.0,427067719.0,-445035720.0,0.0,17968000.0
26/08/2026,8930.0,8890.0,40.0,0.00449944,9000.0,9100.0,8880.0,551902.0,4971453200.0,0.0,0.0,551902.0,4971453200.0,141410.0,-143810.0,0.0,2400.0,1273200000.0,-1294471000.0,0.0,21271000.0
25/08/2026,8890.0,8890.0,0.0,0.0,9000.0,9000.0,8450.0,679656.0,6082817790.0,0.0,0.0,679656.0,6082817790.0,250221.0,-253121.0,0.0,2900.0,2247067690.0,-2272762690.0,0.0,25695000.0
24/08/2026,8890.0,8800.0,90.0,0.01022727,8840.0,9070.0,8800.0,543279.0,4872925640.0,0.0,0.0,543279.0,4872925640.0,168989.0,-163189.0,0.0,-5800.0,1516978571.0,-1464678570.0,0.0,-52300000.0
21/08/2026,8800.0,8400.0,400.0,0.04761905,8400.0,8800.0,8400.0,657722.0,5685705250.0,0.0,0.0,657722.0,5685705250.0,191727.0,-193727.0,0.0,2000.0,1659124111.0,-1675956110.0,0.0,16832000.0
20/08/2026,8400.0,8150.0,250.0,0.03067485,8150.0,8450.0,8150.0,405034.0,3388253430.0,0.0,0.0,405034.0,3388253430.0,96599.0,-95299.0,0.0,-1300.0,810216750.0,-799344750.0,0.0,-10872000.0
19/08/2026,8150.0,8150.0,0.0,0.0,8150.0,8400.0,8150.0,386356.0,3203861970.0,0.0,0.0,386356.0,3203861970.0,-27064.0,27164.0,0.0,-100.0,-225188100.0,226018100.0,0.0,-830000.0
18/08/2026,8150.0,7990.0,160.0,0.02002503,8010.0,8210.0,8010.0,356405.0,2906224310.0,0.0,0.0,356405.0,2906224310.0,70701.0,-70501.0,0.0,-200.0,577298680.0,-575664680.0,0.0,-1634000.0
17/08/2026,7990.0,7610.0,380.0,0.0499343,7580.0,8050.0,7580.0,279950.0,2206541560.0,0.0,0.0,279950.0,2206541560.0,13763.0,-18563.0,0.0,4800.0,108485700.0,-145719700.0,0.0,37234000.0
14/08/2026,7610.0,7780.0,-170.0,-0.0218509,7520.0,7880.0,7520.0,86665.0,660402640.0,0.0,0.0,86665.0,660402640.0,12900.0,-8600.0,0.0,-4300.0,99023000.0,-65343000.0,0.0,-33680000.0
13/08/2026,7780.0,7850.0,-70.0,-0.0089172,7980.0,7980.0,7600.0,119273.0,924918130.0,0.0,0.0,119273.0,924918130.0,4065.0,-3865.0,0.0,-200.0,31540460.0,-30006460.0,0.0,-1534000.0
12/08/2026,7850.0,7440.0,410.0,0.05510753,7340.0,7850.0,7340.0,417990.0,3224582280.0,0.0,0.0,417990.0,3224582280.0,153506.0,-153306.0,0.0,-200.0,1184032601.0,-1182564600.0,0.0,-1468000.0
11/08/2026,7440.0,7460.0,-20.0,-0.00268097,7460.0,7550.0,7300.0,130555.0,971471970.0,0.0,0.0,130555.0,971471970.0,29199.0,-28999.0,0.0,-200.0,217723290.0,-216227290.0,0.0,-1496000.0
10/08/2026,7460.0,7270.0,190.0,0.0261348,7270.0,7490.0,7270.0,228742.0,1704745380.0,0.0,0.0,228742.0,1704745380.0,19907.0,-19907.0,0.0,0.0,147271130.0,-147271130.0,0.0,0.0
07/08/2026,7270.0,7150.0,120.0,0.01678322,7150.0,7310.0,7130.0,272398.0,1978813570.0,0.0,0.0,272398.0,1978813570.0,47400.0,-46100.0,0.0,-1300.0,342487000.0,-333202000.0,0.0,-9285000.0
06/08/2026,7150.0,7110.0,40.0,0.00562588,7100.0,7200.0,7010.0,227744.0,1632678660.0,0.0,0.0,227744.0,1632678660.0,83201.0,-83201.0,0.0,0.0,596423171.0,-596423170.0,0.0,0.0
05/08/2026,7110.0,7030.0,80.0,0.0113798,7080.0,7200.0,7050.0,114113.0,812188020.0,0.0,0.0,114113.0,812188020.0,30415.0,-30415.0,0.0,0.0,215996550.0,-215996550.0,0.0,0.0
04/08/2026,7030.0,6940.0,90.0,0.0129683,6930.0,7100.0,6780.0,143684.0,1002582470.0,78000.0,524160000.0,221684.0,1526742470.0,22019.0,-21399.0,0.0,-620.0,155724110.0,-151498110.0,0.0,-4226000.0
03/08/2026,6940.0,6860.0,80.0,0.01166181,6860.0,7000.0,6760.0,65589.0,455593930.0,0.0,0.0,65589.0,455593930.0,20400.0,-19900.0,0.0,-500.0,142217000.0,-138837000.0,0.0,-3380000.0
