NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,4700.0,5000.0,-300.0,-0.06,5000.0,5000.0,4700.0,1100.0,5294000.0,0.0,0.0,1100.0,5294000.0,1100.0,-1100.0,0.0,0.0,5294000.0,-5294000.0,0.0,0.0
27/08/2026,5000.0,5200.0,-200.0,-0.03846154,4860.0,5000.0,4860.0,700.0,3476000.0,0.0,0.0,700.0,3476000.0,100.0,-100.0,0.0,0.0,490000.0,-490000.0,0.0,0.0
26/08/2026,5200.0,5200.0,0.0,0.0,5200.0,5200.0,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,5200.0,5200.0,0.0,0.0,5020.0,5200.0,5020.0,200.0,1022000.0,0.0,0.0,200.0,1022000.0,100.0,-100.0,0.0,0.0,520000.0,-520000.0,0.0,0.0
24/08/2026,5200.0,5110.0,90.0,0.01761252,5110.0,5200.0,5110.0,1300.0,6751000.0,0.0,0.0,1300.0,6751000.0,200.0,-200.0,0.0,0.0,1031000.0,-1031000.0,0.0,0.0
21/08/2026,5110.0,5170.0,-60.0,-0.01160542,5530.0,5530.0,5110.0,215.0,1146950.0,0.0,0.0,215.0,1146950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,5170.0,5170.0,0.0,0.0,5170.0,5170.0,5170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,5170.0,5170.0,0.0,0.0,5170.0,5170.0,5170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,5170.0,5170.0,0.0,0.0,5170.0,5170.0,5170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,5170.0,5430.0,-260.0,-0.04788214,5810.0,5810.0,5170.0,200.0,1098000.0,0.0,0.0,200.0,1098000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,5430.0,5080.0,350.0,0.06889764,5430.0,5430.0,5430.0,302.0,1639860.0,0.0,0.0,302.0,1639860.0,102.0,-102.0,0.0,0.0,553860.0,-553860.0,0.0,0.0
13/08/2026,5080.0,5260.0,-180.0,-0.03422053,5250.0,5250.0,5080.0,401.0,2088620.0,0.0,0.0,401.0,2088620.0,1.0,-1.0,0.0,0.0,5620.0,-5620.0,0.0,0.0
12/08/2026,5260.0,5260.0,0.0,0.0,5260.0,5260.0,5260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2026,5260.0,5260.0,0.0,0.0,5260.0,5260.0,5260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/08/2026,5260.0,5610.0,-350.0,-0.06238859,5260.0,5260.0,5260.0,101.0,531610.0,0.0,0.0,101.0,531610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/08/2026,5610.0,5610.0,0.0,0.0,5610.0,5610.0,5610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
