NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,17000.0,17000.0,0.0,0.0,17000.0,17000.0,17000.0,7900.0,134300000.0,0.0,0.0,7900.0,134300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,17000.0,17000.0,0.0,0.0,17000.0,17050.0,17000.0,400.0,6805000.0,0.0,0.0,400.0,6805000.0,-100.0,100.0,0.0,0.0,-1705000.0,1705000.0,0.0,0.0
27/08/2026,17000.0,17000.0,0.0,0.0,17000.0,17000.0,17000.0,500.0,8500000.0,0.0,0.0,500.0,8500000.0,300.0,-300.0,0.0,0.0,5100000.0,-5100000.0,0.0,0.0
26/08/2026,17000.0,17000.0,0.0,0.0,17000.0,17000.0,17000.0,3102.0,52733000.0,0.0,0.0,3102.0,52733000.0,3000.0,-3000.0,0.0,0.0,51000000.0,-51000000.0,0.0,0.0
25/08/2026,17000.0,17000.0,0.0,0.0,17000.0,17000.0,17000.0,11611.0,197398500.0,0.0,0.0,11611.0,197398500.0,-1000.0,1000.0,0.0,0.0,-17000000.0,17000000.0,0.0,0.0
24/08/2026,17000.0,17000.0,0.0,0.0,17000.0,17000.0,17000.0,17264.0,293441250.0,0.0,0.0,17264.0,293441250.0,5000.0,-5000.0,0.0,0.0,85000000.0,-85000000.0,0.0,0.0
21/08/2026,17000.0,17000.0,0.0,0.0,17000.0,17000.0,17000.0,4702.0,79934000.0,0.0,0.0,4702.0,79934000.0,4202.0,-4202.0,0.0,0.0,71434000.0,-71434000.0,0.0,0.0
20/08/2026,17000.0,17050.0,-50.0,-0.00293255,17000.0,17000.0,17000.0,5120.0,87040000.0,0.0,0.0,5120.0,87040000.0,100.0,-100.0,0.0,0.0,1700000.0,-1700000.0,0.0,0.0
19/08/2026,17050.0,17000.0,50.0,0.00294118,17000.0,17050.0,17000.0,5100.0,86705000.0,0.0,0.0,5100.0,86705000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,17000.0,17000.0,0.0,0.0,17000.0,17000.0,17000.0,700.0,11900000.0,0.0,0.0,700.0,11900000.0,600.0,-600.0,0.0,0.0,10200000.0,-10200000.0,0.0,0.0
17/08/2026,17000.0,17000.0,0.0,0.0,17000.0,17100.0,16100.0,19007.0,322411900.0,0.0,0.0,19007.0,322411900.0,2107.0,-107.0,0.0,-2000.0,35111900.0,-1826900.0,0.0,-33285000.0
14/08/2026,17000.0,17100.0,-100.0,-0.00584795,17000.0,17000.0,17000.0,3311.0,56287500.0,0.0,0.0,3311.0,56287500.0,2310.0,-2310.0,0.0,0.0,39270000.0,-39270000.0,0.0,0.0
