NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,18750.0,18850.0,-100.0,-0.00530504,18600.0,18900.0,18600.0,9232.0,172311500.0,0.0,0.0,9232.0,172311500.0,-3700.0,3700.0,0.0,0.0,-69025000.0,69025000.0,0.0,0.0
27/08/2026,18850.0,19050.0,-200.0,-0.01049869,19400.0,19400.0,18750.0,11416.0,216914600.0,0.0,0.0,11416.0,216914600.0,1500.0,-800.0,0.0,-700.0,28765000.0,-15470000.0,0.0,-13295000.0
26/08/2026,19073.2,20450.0,50.0,0.00244499,19073.2,19119.72,18933.64,30401.0,622796850.0,0.0,0.0,30401.0,622796850.0,-9700.0,9700.0,0.0,0.0,-198595000.0,198595000.0,0.0,0.0
25/08/2026,19026.68,20500.0,-50.0,-0.00243902,19073.2,19212.76,18887.12,20598.0,421738100.0,0.0,0.0,20598.0,421738100.0,-5866.0,5166.0,0.0,700.0,-120055701.0,105775700.0,0.0,14280000.0
24/08/2026,19073.2,20450.0,50.0,0.00244499,19305.8,19305.8,18980.16,5728.0,117389700.0,0.0,0.0,5728.0,117389700.0,619.0,-1219.0,0.0,600.0,12714000.0,-25014000.0,0.0,12300000.0
21/08/2026,19026.68,20750.0,-300.0,-0.01445783,19305.8,19305.8,18933.64,9700.0,199080000.0,0.0,0.0,9700.0,199080000.0,-1000.0,2000.0,0.0,-1000.0,-19855000.0,40640000.0,0.0,-20785000.0
20/08/2026,19305.8,20150.0,600.0,0.02977667,18701.04,19677.96,18701.04,8496.0,173558300.0,0.0,0.0,8496.0,173558300.0,4998.0,-4398.0,0.0,-600.0,101339701.0,-88839700.0,0.0,-12500000.0
19/08/2026,18747.56,20000.0,150.0,0.0075,18701.04,18840.6,18701.04,22628.0,456689700.0,0.0,0.0,22628.0,456689700.0,-10788.0,10788.0,0.0,0.0,-217933300.0,217933300.0,0.0,0.0
18/08/2026,18608.0,20000.0,0.0,0.0,18608.0,18701.04,18514.96,15300.0,306160000.0,0.0,0.0,15300.0,306160000.0,-300.0,1100.0,0.0,-800.0,-6080000.0,22060000.0,0.0,-15980000.0
17/08/2026,18608.0,19900.0,100.0,0.00502513,18514.96,18747.56,18514.96,8400.0,168030000.0,0.0,0.0,8400.0,168030000.0,-3000.0,3000.0,0.0,0.0,-59965000.0,59965000.0,0.0,0.0
14/08/2026,18514.96,20000.0,-100.0,-0.005,18608.0,18701.04,18468.44,25850.0,514568600.0,0.0,0.0,25850.0,514568600.0,-7370.0,7370.0,0.0,0.0,-147088400.0,147088400.0,0.0,0.0
13/08/2026,18608.0,20200.0,-200.0,-0.00990099,18794.08,18794.08,18608.0,41272.0,826458700.0,0.0,0.0,41272.0,826458700.0,14282.0,-14282.0,0.0,0.0,286084000.0,-286084000.0,0.0,0.0
12/08/2026,18794.08,20100.0,100.0,0.00497512,19259.28,19259.28,18794.08,4920.0,99648000.0,0.0,0.0,4920.0,99648000.0,-800.0,800.0,0.0,0.0,-16040000.0,16040000.0,0.0,0.0
11/08/2026,18701.04,20000.0,100.0,0.005,18608.0,18794.08,18608.0,91950.0,1843757500.0,0.0,0.0,91950.0,1843757500.0,17400.0,-18900.0,0.0,1500.0,349575000.0,-379680000.0,0.0,30105000.0
10/08/2026,18608.0,19700.0,300.0,0.01522843,18561.48,18701.04,18561.48,29200.0,583995000.0,0.0,0.0,29200.0,583995000.0,9400.0,-9400.0,0.0,0.0,187995000.0,-187995000.0,0.0,0.0
07/08/2026,18328.88,19700.0,0.0,0.0,18514.96,18514.96,18328.88,23821.0,470247900.0,0.0,0.0,23821.0,470247900.0,1702.0,-1902.0,0.0,200.0,33979450.0,-37939450.0,0.0,3960000.0
06/08/2026,18328.88,19650.0,50.0,0.00254453,18375.4,18375.4,18282.36,15306.0,300862800.0,0.0,0.0,15306.0,300862800.0,199.0,-199.0,0.0,0.0,3914000.0,-3914000.0,0.0,0.0
05/08/2026,18282.36,19750.0,-100.0,-0.00506329,18375.4,18375.4,18142.8,32323.0,634341650.0,0.0,0.0,32323.0,634341650.0,-14917.0,14917.0,0.0,0.0,-291768200.0,291768200.0,0.0,0.0
04/08/2026,18375.4,19800.0,-50.0,-0.00252525,18421.92,18608.0,18235.84,34895.0,688458650.0,0.0,0.0,34895.0,688458650.0,-25986.0,25986.0,0.0,0.0,-512880300.0,512880300.0,0.0,0.0
03/08/2026,18421.92,19800.0,0.0,0.0,18514.96,18608.0,18375.4,29802.0,591695000.0,0.0,0.0,29802.0,591695000.0,-4800.0,4800.0,0.0,0.0,-95710000.0,95710000.0,0.0,0.0
31/07/2026,18421.92,19800.0,0.0,0.0,18421.92,18421.92,18375.4,14900.0,294870000.0,0.0,0.0,14900.0,294870000.0,-7500.0,7500.0,0.0,0.0,-148470000.0,148470000.0,0.0,0.0
30/07/2026,18421.92,19900.0,-100.0,-0.00502513,18514.96,18608.0,18421.92,11910.0,237280000.0,0.0,0.0,11910.0,237280000.0,-4800.0,3800.0,0.0,1000.0,-95310000.0,75510000.0,0.0,19800000.0
29/07/2026,18514.96,19900.0,0.0,0.0,18514.96,18514.96,18375.4,6001.0,118936000.0,0.0,0.0,6001.0,118936000.0,-2200.0,2200.0,0.0,0.0,-43680000.0,43680000.0,0.0,0.0
28/07/2026,18514.96,19950.0,-50.0,-0.00250627,18514.96,18608.0,18514.96,18579.0,369814200.0,0.0,0.0,18579.0,369814200.0,-12006.0,12006.0,0.0,0.0,-239018800.0,239018800.0,0.0,0.0
27/07/2026,18561.48,20050.0,-100.0,-0.00498753,18654.52,18654.52,18514.96,22914.0,458125350.0,0.0,0.0,22914.0,458125350.0,-10912.0,8912.0,0.0,2000.0,-217700251.0,177750250.0,0.0,39950000.0
24/07/2026,18654.52,20100.0,-50.0,-0.00248756,18701.04,18794.08,18608.0,12148.0,244497100.0,0.0,0.0,12148.0,244497100.0,4099.0,-4099.0,0.0,0.0,82498500.0,-82498500.0,0.0,0.0
23/07/2026,18701.04,20150.0,-50.0,-0.00248139,18840.6,18840.6,18608.0,18700.0,375910000.0,0.0,0.0,18700.0,375910000.0,-5600.0,5600.0,0.0,0.0,-112635000.0,112635000.0,0.0,0.0
22/07/2026,18747.56,20300.0,-150.0,-0.00738916,18840.6,18887.12,18701.04,6700.0,134780000.0,0.0,0.0,6700.0,134780000.0,-6000.0,6000.0,0.0,0.0,-120650000.0,120650000.0,0.0,0.0
21/07/2026,18887.12,20600.0,-300.0,-0.01456311,19166.24,19166.24,18514.96,28049.0,562186700.0,0.0,0.0,28049.0,562186700.0,4697.0,-3497.0,0.0,-1200.0,94241300.0,-70176300.0,0.0,-24065000.0
20/07/2026,19166.24,20950.0,-350.0,-0.01670644,19491.88,19491.88,19166.24,19700.0,407765000.0,0.0,0.0,19700.0,407765000.0,15000.0,-15000.0,0.0,0.0,310040000.0,-310040000.0,0.0,0.0
