NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,39400.0,39800.0,-400.0,-0.01005025,39750.0,39750.0,39250.0,2732.0,107605000.0,0.0,0.0,2732.0,107605000.0,0.0,0.0,0.0,-800.0,0.0,0.0,0.0,-31535000.0
28/08/2026,39800.0,38900.0,900.0,0.02313625,38950.0,41550.0,38950.0,22007.0,895625800.0,0.0,0.0,22007.0,895625800.0,-1208.0,1608.0,0.0,-400.0,-46073250.0,62693250.0,0.0,-16620000.0
27/08/2026,38900.0,38750.0,150.0,0.00387097,38400.0,39000.0,38400.0,4805.0,185230200.0,0.0,0.0,4805.0,185230200.0,-303.0,303.0,0.0,0.0,-11706500.0,11706500.0,0.0,0.0
26/08/2026,38750.0,38900.0,-150.0,-0.00385604,39000.0,39200.0,38300.0,10281.0,399977750.0,0.0,0.0,10281.0,399977750.0,-773.0,-327.0,0.0,1100.0,-30466000.0,-12769000.0,0.0,43235000.0
25/08/2026,38900.0,38800.0,100.0,0.00257732,39000.0,39950.0,38900.0,12372.0,482304600.0,0.0,0.0,12372.0,482304600.0,-1760.0,1760.0,0.0,0.0,-68331500.0,68501500.0,0.0,-170000.0
24/08/2026,38800.0,37650.0,1150.0,0.03054449,37750.0,39100.0,37750.0,18793.0,726132000.0,0.0,0.0,18793.0,726132000.0,3100.0,-300.0,0.0,-2800.0,122096100.0,-11621100.0,0.0,-110475000.0
21/08/2026,37650.0,37200.0,450.0,0.01209677,38150.0,39750.0,37300.0,33333.0,1293965400.0,0.0,0.0,33333.0,1293965400.0,-3210.0,-590.0,0.0,3800.0,-118994400.0,-22765600.0,0.0,141760000.0
20/08/2026,37200.0,37300.0,-100.0,-0.00268097,37300.0,37500.0,37050.0,9427.0,351306500.0,0.0,0.0,9427.0,351306500.0,-96.0,296.0,0.0,-200.0,-3644400.0,11104400.0,0.0,-7460000.0
19/08/2026,37300.0,37100.0,200.0,0.00539084,37300.0,37900.0,37200.0,11165.0,418274800.0,0.0,0.0,11165.0,418274800.0,-2390.0,1090.0,0.0,1300.0,-90070601.0,41710600.0,0.0,48360000.0
18/08/2026,37100.0,36800.0,300.0,0.00815217,37000.0,38150.0,36900.0,11946.0,449347100.0,0.0,0.0,11946.0,449347100.0,800.0,-2700.0,0.0,1900.0,30306200.0,-100416200.0,0.0,70110000.0
17/08/2026,36800.0,37100.0,-300.0,-0.00808625,36100.0,37800.0,36100.0,3337.0,123214900.0,0.0,0.0,3337.0,123214900.0,198.0,702.0,0.0,-900.0,7149701.0,25970300.0,0.0,-33120000.0
14/08/2026,37100.0,37650.0,-550.0,-0.01460823,37650.0,37650.0,35900.0,15001.0,554690350.0,0.0,0.0,15001.0,554690350.0,10247.0,-4047.0,0.0,-6200.0,377367600.0,-148332600.0,0.0,-229035000.0
13/08/2026,37650.0,37500.0,150.0,0.004,37600.0,40050.0,37600.0,43495.0,1679941750.0,0.0,0.0,43495.0,1679941750.0,16203.0,-3.0,0.0,-16200.0,613815650.0,29350.0,0.0,-613845000.0
12/08/2026,37500.0,37200.0,300.0,0.00806452,37300.0,37750.0,37300.0,7737.0,289944050.0,0.0,0.0,7737.0,289944050.0,440.0,1160.0,0.0,-1600.0,16459000.0,43531000.0,0.0,-59990000.0
11/08/2026,37200.0,36850.0,350.0,0.00949796,36850.0,37800.0,36850.0,4512.0,168164100.0,0.0,0.0,4512.0,168164100.0,590.0,-590.0,0.0,0.0,22120000.0,-22120000.0,0.0,0.0
10/08/2026,36850.0,36700.0,150.0,0.00408719,36750.0,37000.0,36100.0,23442.0,857980800.0,0.0,0.0,23442.0,857980800.0,14698.0,-6798.0,0.0,-7900.0,536601000.0,-245816000.0,0.0,-290785000.0
07/08/2026,36700.0,36700.0,0.0,0.0,37500.0,37600.0,36700.0,32972.0,1222253450.0,0.0,0.0,32972.0,1222253450.0,24291.0,-1591.0,0.0,-22700.0,899673700.0,-57693700.0,0.0,-841980000.0
