NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,10150.0,10150.0,0.0,0.0,10050.0,10150.0,10000.0,62231.0,627701550.0,0.0,0.0,62231.0,627701550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,10150.0,10250.0,-100.0,-0.0097561,10200.0,10250.0,10050.0,58244.0,589812400.0,106500.0,1084625000.0,164744.0,1674437400.0,10694.0,-10694.0,0.0,0.0,107753400.0,-107753400.0,0.0,0.0
27/08/2026,10250.0,10300.0,-50.0,-0.00485437,10300.0,10300.0,10150.0,27149.0,277134800.0,0.0,0.0,27149.0,277134800.0,9100.0,-9100.0,0.0,0.0,92880000.0,-92880000.0,0.0,0.0
26/08/2026,10300.0,10250.0,50.0,0.00487805,10200.0,10300.0,10000.0,178848.0,1815032600.0,58000.0,594500000.0,236848.0,2409532600.0,-1200.0,1200.0,0.0,0.0,-10820000.0,10820000.0,0.0,0.0
25/08/2026,10250.0,10400.0,-150.0,-0.01442308,10400.0,10400.0,10250.0,18507.0,190367330.0,0.0,0.0,18507.0,190367330.0,-900.0,900.0,0.0,0.0,-9360000.0,9360000.0,0.0,0.0
24/08/2026,10400.0,10250.0,150.0,0.01463415,10400.0,10450.0,10250.0,57460.0,594448100.0,0.0,0.0,57460.0,594448100.0,14599.0,-14599.0,0.0,0.0,150594650.0,-150594650.0,0.0,0.0
21/08/2026,10250.0,10250.0,0.0,0.0,10150.0,10550.0,10150.0,45987.0,474182250.0,0.0,0.0,45987.0,474182250.0,6839.0,-6839.0,0.0,0.0,71663750.0,-71663750.0,0.0,0.0
20/08/2026,10250.0,10150.0,100.0,0.00985222,10150.0,10250.0,10100.0,33120.0,336657000.0,0.0,0.0,33120.0,336657000.0,5598.0,-5598.0,0.0,0.0,56694800.0,-56694800.0,0.0,0.0
19/08/2026,10150.0,10250.0,-100.0,-0.0097561,10250.0,10350.0,10150.0,75301.0,768485250.0,0.0,0.0,75301.0,768485250.0,-901.0,901.0,0.0,0.0,-9040250.0,9040250.0,0.0,0.0
18/08/2026,10250.0,10150.0,100.0,0.00985222,10150.0,10350.0,10000.0,72320.0,731675870.0,138500.0,1502725000.0,210820.0,2234400870.0,-2202.0,2202.0,0.0,0.0,-22335200.0,22335200.0,0.0,0.0
17/08/2026,10150.0,10200.0,-50.0,-0.00490196,10350.0,10350.0,10150.0,16128.0,164672900.0,0.0,0.0,16128.0,164672900.0,-1301.0,1301.0,0.0,0.0,-13420301.0,13420300.0,0.0,0.0
14/08/2026,10200.0,10350.0,-150.0,-0.01449275,10200.0,10550.0,10200.0,54421.0,561265750.0,0.0,0.0,54421.0,561265750.0,-601.0,601.0,0.0,0.0,-5515550.0,5515550.0,0.0,0.0
13/08/2026,10350.0,10350.0,0.0,0.0,10200.0,10400.0,10200.0,17201.0,177800350.0,0.0,0.0,17201.0,177800350.0,1100.0,-1100.0,0.0,0.0,11310000.0,-11310000.0,0.0,0.0
12/08/2026,10350.0,10350.0,0.0,0.0,10350.0,10400.0,10250.0,13080.0,135136470.0,0.0,0.0,13080.0,135136470.0,7800.0,-7800.0,0.0,0.0,80725000.0,-80725000.0,0.0,0.0
11/08/2026,10350.0,10350.0,0.0,0.0,10350.0,10400.0,10200.0,37100.0,383090000.0,0.0,0.0,37100.0,383090000.0,3500.0,-3500.0,0.0,0.0,36475000.0,-36475000.0,0.0,0.0
10/08/2026,10350.0,10350.0,0.0,0.0,10350.0,10600.0,10350.0,50813.0,529715000.0,0.0,0.0,50813.0,529715000.0,21689.0,-21689.0,0.0,0.0,225961000.0,-225961000.0,0.0,0.0
07/08/2026,10350.0,10300.0,50.0,0.00485437,10400.0,10400.0,10000.0,142402.0,1442970600.0,0.0,0.0,142402.0,1442970600.0,-33500.0,33500.0,0.0,0.0,-336830000.0,336830000.0,0.0,0.0
06/08/2026,10300.0,10400.0,-100.0,-0.00961538,10400.0,10400.0,10250.0,6714.0,69151000.0,20000.0,193600000.0,26714.0,262751000.0,1405.0,-1405.0,0.0,0.0,14629500.0,-14629500.0,0.0,0.0
05/08/2026,10400.0,10550.0,-150.0,-0.01421801,10600.0,10650.0,10200.0,83324.0,861884200.0,0.0,0.0,83324.0,861884200.0,40000.0,-40000.0,0.0,0.0,411465000.0,-411465000.0,0.0,0.0
04/08/2026,10550.0,10600.0,-50.0,-0.00471698,10600.0,10650.0,10400.0,18200.0,191760000.0,0.0,0.0,18200.0,191760000.0,1000.0,-1000.0,0.0,0.0,10725000.0,-10725000.0,0.0,0.0
03/08/2026,10600.0,10250.0,350.0,0.03414634,10250.0,10600.0,10250.0,27573.0,289471650.0,0.0,0.0,27573.0,289471650.0,-5009.0,5009.0,0.0,0.0,-52652250.0,52652250.0,0.0,0.0
31/07/2026,10250.0,10300.0,-50.0,-0.00485437,10450.0,10500.0,10150.0,27919.0,287603900.0,0.0,0.0,27919.0,287603900.0,-3500.0,3500.0,0.0,0.0,-36065000.0,36065000.0,0.0,0.0
30/07/2026,10300.0,9970.0,330.0,0.0330993,9610.0,10300.0,9610.0,32307.0,325244850.0,0.0,0.0,32307.0,325244850.0,22293.0,-18522.0,0.0,-3771.0,225104751.0,-187507880.0,0.0,-37596870.0
29/07/2026,9970.0,9970.0,0.0,0.0,9590.0,9980.0,9590.0,8900.0,87186000.0,0.0,0.0,8900.0,87186000.0,1600.0,-1600.0,0.0,0.0,15573000.0,-15573000.0,0.0,0.0
28/07/2026,9970.0,9600.0,370.0,0.03854167,9000.0,9980.0,9000.0,647699.0,6139304970.0,0.0,0.0,647699.0,6139304970.0,17576.0,-17576.0,0.0,0.0,165213760.0,-165213760.0,0.0,0.0
27/07/2026,9600.0,10100.0,-500.0,-0.04950495,10100.0,10200.0,9410.0,100406.0,975962100.0,0.0,0.0,100406.0,975962100.0,37598.0,-37598.0,0.0,0.0,358112900.0,-358112900.0,0.0,0.0
24/07/2026,10100.0,10200.0,-100.0,-0.00980392,10300.0,10300.0,10050.0,18720.0,188779200.0,0.0,0.0,18720.0,188779200.0,-3702.0,3702.0,0.0,0.0,-37190100.0,37190100.0,0.0,0.0
23/07/2026,10200.0,10250.0,-50.0,-0.00487805,10200.0,10300.0,9940.0,89110.0,904062000.0,0.0,0.0,89110.0,904062000.0,9900.0,-9900.0,0.0,0.0,101120000.0,-101120000.0,0.0,0.0
22/07/2026,10250.0,10600.0,-350.0,-0.03301887,10550.0,10600.0,10100.0,159326.0,1642925600.0,0.0,0.0,159326.0,1642925600.0,-26600.0,26600.0,0.0,0.0,-271700000.0,271700000.0,0.0,0.0
21/07/2026,10600.0,11000.0,-400.0,-0.03636364,10800.0,10950.0,10550.0,82520.0,880897300.0,0.0,0.0,82520.0,880897300.0,6798.0,-6798.0,0.0,0.0,73883500.0,-73883500.0,0.0,0.0
20/07/2026,11000.0,11250.0,-250.0,-0.02222222,11150.0,11150.0,10800.0,44727.0,489162300.0,0.0,0.0,44727.0,489162300.0,-1119.0,1119.0,0.0,0.0,-10864000.0,10864000.0,0.0,0.0
17/07/2026,11250.0,11300.0,-50.0,-0.00442478,11300.0,11300.0,10850.0,18501.0,204746300.0,0.0,0.0,18501.0,204746300.0,11499.0,-11499.0,0.0,0.0,127598701.0,-127598700.0,0.0,0.0
16/07/2026,11300.0,11300.0,0.0,0.0,11300.0,11300.0,10900.0,74573.0,827266900.0,0.0,0.0,74573.0,827266900.0,-6931.0,6931.0,0.0,0.0,-74447900.0,74447900.0,0.0,0.0
15/07/2026,11300.0,11400.0,-100.0,-0.00877193,11400.0,11400.0,11000.0,88802.0,993962700.0,0.0,0.0,88802.0,993962700.0,44898.0,-44898.0,0.0,0.0,500807301.0,-500807300.0,0.0,0.0
14/07/2026,11400.0,11400.0,0.0,0.0,11400.0,11400.0,11300.0,23102.0,262452700.0,0.0,0.0,23102.0,262452700.0,6298.0,-6298.0,0.0,0.0,71742300.0,-71742300.0,0.0,0.0
13/07/2026,11400.0,11450.0,-50.0,-0.00436681,11450.0,11450.0,11100.0,57323.0,649509650.0,0.0,0.0,57323.0,649509650.0,995.0,-995.0,0.0,0.0,11667550.0,-11667550.0,0.0,0.0
