NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,11800.0,11850.0,-50.0,-0.00421941,11800.0,11800.0,11750.0,3133.0,36946900.0,0.0,0.0,3133.0,36946900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,11850.0,11900.0,-50.0,-0.00420168,11850.0,11850.0,11850.0,4700.0,55695000.0,0.0,0.0,4700.0,55695000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,11900.0,11900.0,0.0,0.0,11900.0,11900.0,11900.0,29322.0,348932600.0,0.0,0.0,29322.0,348932600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,11900.0,11950.0,-50.0,-0.0041841,11650.0,11900.0,11600.0,5327.0,63214150.0,0.0,0.0,5327.0,63214150.0,-104.0,104.0,0.0,0.0,-1204300.0,1204300.0,0.0,0.0
25/08/2026,11950.0,11900.0,50.0,0.00420168,11850.0,11950.0,11850.0,22802.0,272433800.0,0.0,0.0,22802.0,272433800.0,-5100.0,0.0,0.0,5100.0,-60945000.0,0.0,0.0,60945000.0
24/08/2026,11900.0,11900.0,0.0,0.0,11900.0,11950.0,11450.0,57754.0,689639700.0,0.0,0.0,57754.0,689639700.0,-49252.0,-748.0,0.0,50000.0,-588831751.0,-8668250.0,0.0,597500000.0
21/08/2026,11900.0,12000.0,-100.0,-0.00833333,12000.0,12000.0,11900.0,5506.0,65561700.0,0.0,0.0,5506.0,65561700.0,-3.0,3.0,0.0,0.0,-36000.0,36000.0,0.0,0.0
20/08/2026,12000.0,11950.0,50.0,0.0041841,11300.0,12200.0,11150.0,6904.0,80493300.0,0.0,0.0,6904.0,80493300.0,-1100.0,1100.0,0.0,0.0,-12430000.0,12430000.0,0.0,0.0
19/08/2026,11950.0,11950.0,0.0,0.0,11950.0,11950.0,11200.0,38092.0,452379300.0,0.0,0.0,38092.0,452379300.0,-25348.0,787.0,0.0,24561.0,-302533500.0,9029550.0,0.0,293503950.0
18/08/2026,11950.0,11950.0,0.0,0.0,12200.0,12200.0,11950.0,5321.0,64374300.0,0.0,0.0,5321.0,64374300.0,211.0,-211.0,0.0,0.0,2557300.0,-2557300.0,0.0,0.0
