NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,2940.0,2930.0,10.0,0.00341297,2920.0,2960.0,2920.0,111212.0,327266260.0,0.0,0.0,111212.0,327266260.0,8900.0,0.0,0.0,-8900.0,26292000.0,0.0,0.0,-26292000.0
03/09/2026,2930.0,2940.0,-10.0,-0.00340136,2940.0,2950.0,2900.0,129340.0,377304710.0,0.0,0.0,129340.0,377304710.0,-8000.0,0.0,0.0,8000.0,-23295000.0,0.0,0.0,23295000.0
28/08/2026,2940.0,2950.0,-10.0,-0.00338983,2950.0,2970.0,2920.0,119132.0,350699390.0,0.0,0.0,119132.0,350699390.0,-2933.0,12833.0,0.0,-9900.0,-8605440.0,37832440.0,0.0,-29227000.0
27/08/2026,2950.0,2960.0,-10.0,-0.00337838,2970.0,2970.0,2940.0,45202.0,133295920.0,0.0,0.0,45202.0,133295920.0,10598.0,-10998.0,0.0,400.0,31253080.0,-32410080.0,0.0,1157000.0
26/08/2026,2960.0,2960.0,0.0,0.0,2960.0,2990.0,2940.0,92000.0,272072000.0,0.0,0.0,92000.0,272072000.0,-9700.0,2200.0,0.0,7500.0,-28773000.0,6642000.0,0.0,22131000.0
25/08/2026,2960.0,2990.0,-30.0,-0.01003344,3000.0,3020.0,2960.0,112320.0,334519040.0,0.0,0.0,112320.0,334519040.0,-16904.0,15904.0,0.0,1000.0,-50167970.0,47199970.0,0.0,2968000.0
24/08/2026,2990.0,2940.0,50.0,0.0170068,2950.0,3050.0,2950.0,116030.0,347671480.0,0.0,0.0,116030.0,347671480.0,-22902.0,12602.0,0.0,10300.0,-68658980.0,37914980.0,0.0,30744000.0
21/08/2026,2940.0,2930.0,10.0,0.00341297,2950.0,2970.0,2910.0,137572.0,404132070.0,0.0,0.0,137572.0,404132070.0,-22602.0,13602.0,0.0,9000.0,-66323790.0,40113790.0,0.0,26210000.0
20/08/2026,2930.0,2950.0,-20.0,-0.00677966,2950.0,2970.0,2910.0,52100.0,152860550.0,0.0,0.0,52100.0,152860550.0,2800.0,-3900.0,0.0,1100.0,7997000.0,-11218000.0,0.0,3221000.0
19/08/2026,2950.0,2950.0,0.0,0.0,2950.0,2970.0,2940.0,74400.0,219663000.0,0.0,0.0,74400.0,219663000.0,-6600.0,13600.0,0.0,-7000.0,-19507000.0,40227000.0,0.0,-20720000.0
18/08/2026,2950.0,3000.0,-50.0,-0.01666667,3040.0,3040.0,2900.0,191080.0,564132300.0,0.0,0.0,191080.0,564132300.0,-1327.0,11727.0,0.0,-10400.0,-3620700.0,34528700.0,0.0,-30908000.0
17/08/2026,3000.0,3030.0,-30.0,-0.00990099,3030.0,3040.0,2990.0,47727.0,143422020.0,0.0,0.0,47727.0,143422020.0,1553.0,1747.0,0.0,-3300.0,4668321.0,5268680.0,0.0,-9937000.0
14/08/2026,3030.0,3050.0,-20.0,-0.00655738,3050.0,3050.0,3000.0,140540.0,424271800.0,0.0,0.0,140540.0,424271800.0,18677.0,-21677.0,0.0,3000.0,56401480.0,-65450480.0,0.0,9049000.0
13/08/2026,3050.0,3050.0,0.0,0.0,3050.0,3080.0,3040.0,109021.0,333083280.0,0.0,0.0,109021.0,333083280.0,24400.0,-22800.0,0.0,-1600.0,74679000.0,-69740000.0,0.0,-4939000.0
12/08/2026,3050.0,3080.0,-30.0,-0.00974026,3080.0,3110.0,3050.0,169142.0,519379360.0,0.0,0.0,169142.0,519379360.0,18320.0,-23620.0,0.0,5300.0,56402600.0,-72368600.0,0.0,15966000.0
11/08/2026,3080.0,3060.0,20.0,0.00653595,3080.0,3100.0,3060.0,108564.0,334117280.0,4400000.0,13464000000.0,4508564.0,13798117280.0,-23600.0,23800.0,0.0,-200.0,-72554000.0,73178000.0,0.0,-624000.0
10/08/2026,3060.0,3050.0,10.0,0.00327869,3000.0,3110.0,3000.0,224626.0,685834170.0,0.0,0.0,224626.0,685834170.0,-53600.0,42100.0,0.0,11500.0,-166074000.0,131323000.0,0.0,34751000.0
07/08/2026,3050.0,3010.0,40.0,0.01328904,3020.0,3110.0,3010.0,113862.0,348094610.0,0.0,0.0,113862.0,348094610.0,-11025.0,8725.0,0.0,2300.0,-32999750.0,25932750.0,0.0,7067000.0
06/08/2026,3010.0,3050.0,-40.0,-0.01311475,3050.0,3080.0,3010.0,51353.0,155518980.0,0.0,0.0,51353.0,155518980.0,19900.0,-18100.0,0.0,-1800.0,60104000.0,-54610000.0,0.0,-5494000.0
05/08/2026,3050.0,3100.0,-50.0,-0.01612903,3070.0,3100.0,3050.0,88323.0,271406500.0,0.0,0.0,88323.0,271406500.0,3975.0,325.0,0.0,-4300.0,12144080.0,1053920.0,0.0,-13198000.0
04/08/2026,3100.0,3080.0,20.0,0.00649351,3120.0,3140.0,3020.0,129461.0,398811490.0,0.0,0.0,129461.0,398811490.0,-25239.0,25239.0,0.0,0.0,-77992510.0,77992510.0,0.0,0.0
03/08/2026,3080.0,2970.0,110.0,0.03703704,2970.0,3080.0,2940.0,112987.0,336415290.0,0.0,0.0,112987.0,336415290.0,-16405.0,15605.0,0.0,800.0,-49067850.0,46684850.0,0.0,2383000.0
31/07/2026,2970.0,2980.0,-10.0,-0.0033557,2990.0,2990.0,2940.0,78204.0,231344920.0,0.0,0.0,78204.0,231344920.0,-13500.0,13700.0,0.0,-200.0,-39957000.0,40566000.0,0.0,-609000.0
30/07/2026,2980.0,2970.0,10.0,0.003367,2970.0,3000.0,2930.0,99405.0,293129610.0,0.0,0.0,99405.0,293129610.0,-22600.0,25200.0,0.0,-2600.0,-66518000.0,74228000.0,0.0,-7710000.0
29/07/2026,2970.0,2970.0,0.0,0.0,2990.0,2990.0,2900.0,73707.0,216470070.0,0.0,0.0,73707.0,216470070.0,-9800.0,17200.0,0.0,-7400.0,-28665000.0,50671000.0,0.0,-22006000.0
28/07/2026,2970.0,3000.0,-30.0,-0.01,2930.0,3000.0,2880.0,147155.0,430669920.0,0.0,0.0,147155.0,430669920.0,62287.0,-57587.0,0.0,-4700.0,181339000.0,-167362000.0,0.0,-13977000.0
27/07/2026,3000.0,3000.0,0.0,0.0,3030.0,3050.0,2980.0,50715.0,152624830.0,0.0,0.0,50715.0,152624830.0,7598.0,-7798.0,0.0,200.0,22722981.0,-23320980.0,0.0,598000.0
24/07/2026,3000.0,3020.0,-20.0,-0.00662252,3020.0,3050.0,2980.0,266801.0,798385020.0,0.0,0.0,266801.0,798385020.0,191900.0,-189500.0,0.0,-2400.0,573730000.0,-566545000.0,0.0,-7185000.0
23/07/2026,3020.0,3000.0,20.0,0.00666667,2980.0,3080.0,2970.0,133791.0,402223460.0,0.0,0.0,133791.0,402223460.0,-2163.0,-10737.0,0.0,12900.0,-5612200.0,-32861800.0,0.0,38474000.0
22/07/2026,3000.0,3090.0,-90.0,-0.02912621,3000.0,3070.0,3000.0,121500.0,366230000.0,0.0,0.0,121500.0,366230000.0,30700.0,-24800.0,0.0,-5900.0,92761000.0,-75000000.0,0.0,-17761000.0
21/07/2026,3090.0,3090.0,0.0,0.0,3150.0,3150.0,3070.0,99700.0,309624000.0,0.0,0.0,99700.0,309624000.0,-17700.0,17700.0,0.0,0.0,-54730000.0,54730000.0,0.0,0.0
20/07/2026,3090.0,3180.0,-90.0,-0.02830189,3230.0,3230.0,3080.0,66188.0,207936260.0,0.0,0.0,66188.0,207936260.0,-26472.0,26172.0,0.0,300.0,-82671020.0,81737020.0,0.0,934000.0
17/07/2026,3180.0,3130.0,50.0,0.01597444,3150.0,3190.0,3080.0,122521.0,386514990.0,0.0,0.0,122521.0,386514990.0,-24111.0,24111.0,0.0,0.0,-75816089.0,75816090.0,0.0,0.0
16/07/2026,3130.0,3190.0,-60.0,-0.01880878,3190.0,3200.0,3130.0,170695.0,538591000.0,0.0,0.0,170695.0,538591000.0,-32600.0,32600.0,0.0,0.0,-103496000.0,103496000.0,0.0,0.0
15/07/2026,3190.0,3250.0,-60.0,-0.01846154,3250.0,3250.0,3190.0,63100.0,203819000.0,0.0,0.0,63100.0,203819000.0,4900.0,-4900.0,0.0,0.0,15147000.0,-15147000.0,0.0,0.0
