NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,27050.0,27400.0,-350.0,-0.01277372,27300.0,27300.0,26900.0,1280269.0,34591852550.0,0.0,0.0,1280269.0,34591852550.0,0.0,0.0,0.0,-28804.0,0.0,0.0,0.0,-774412100.0
28/08/2026,27400.0,27650.0,-250.0,-0.00904159,27600.0,27600.0,27300.0,1378089.0,37799418700.0,0.0,0.0,1378089.0,37799418700.0,583219.0,-419340.0,2600.0,-163879.0,16004228400.0,-11513021400.0,71760000.0,-4491207000.0
27/08/2026,27650.0,27600.0,50.0,0.00181159,27850.0,27900.0,27250.0,1484111.0,40918314550.0,459000.0,12668400000.0,1943111.0,53586714550.0,496615.0,-64415.0,0.0,-432200.0,13705078550.0,-1794713550.0,0.0,-11910365000.0
26/08/2026,27600.0,27500.0,100.0,0.00363636,27500.0,27900.0,27400.0,1961803.0,54126772400.0,3080000.0,86847000000.0,5041803.0,140973772400.0,980926.0,-586826.0,0.0,-394100.0,27085786950.0,-16218816950.0,0.0,-10866970000.0
25/08/2026,27500.0,27400.0,100.0,0.00364964,27300.0,27700.0,27300.0,1586411.0,43606090950.0,1590000.0,46587000000.0,3176411.0,90193090950.0,588826.0,-374560.0,0.0,-214266.0,16195316100.0,-10310135400.0,0.0,-5885180700.0
24/08/2026,27400.0,27350.0,50.0,0.00182815,27350.0,27450.0,27250.0,1724778.0,47190855250.0,3993100.0,113690675000.0,5717878.0,160881530250.0,609174.0,-199374.0,600.0,-409800.0,16650526700.0,-5440726700.0,16470000.0,-11209800000.0
21/08/2026,27350.0,27100.0,250.0,0.00922509,26850.0,27450.0,26850.0,1545640.0,42087355900.0,559000.0,15333900000.0,2104640.0,57421255900.0,207864.0,-33464.0,1100.0,-174400.0,5683839201.0,-959424200.0,29700000.0,-4724415000.0
20/08/2026,27100.0,26950.0,150.0,0.00556586,26900.0,27250.0,26800.0,1380464.0,37275150200.0,0.0,0.0,1380464.0,37275150200.0,-242490.0,417590.0,0.0,-175100.0,-6504541250.0,11225731250.0,0.0,-4721190000.0
19/08/2026,26950.0,27050.0,-100.0,-0.00369686,26800.0,27050.0,26600.0,1054472.0,28265327700.0,230000.0,6624000000.0,1284472.0,34889327700.0,130890.0,49710.0,-11000.0,-180600.0,3488373900.0,1352731100.0,-295035000.0,-4841105000.0
18/08/2026,27050.0,27050.0,0.0,0.0,26850.0,27200.0,26700.0,1026853.0,27651009300.0,0.0,0.0,1026853.0,27651009300.0,171338.0,-3838.0,0.0,-167500.0,4625744300.0,-115759300.0,0.0,-4509985000.0
17/08/2026,27050.0,26950.0,100.0,0.00371058,26750.0,27050.0,26650.0,1062238.0,28531198750.0,0.0,0.0,1062238.0,28531198750.0,61464.0,131936.0,-9300.0,-193400.0,1633315500.0,3557759500.0,-249885000.0,-5191075000.0
14/08/2026,26950.0,27550.0,-600.0,-0.02177858,27400.0,27400.0,26650.0,2064229.0,55557307800.0,0.0,0.0,2064229.0,55557307800.0,529372.0,88718.0,300.0,-618090.0,14272135449.0,2379599050.0,8010000.0,-16651734500.0
13/08/2026,27550.0,28000.0,-450.0,-0.01607143,27900.0,28100.0,27350.0,1641204.0,45445879400.0,0.0,0.0,1641204.0,45445879400.0,239128.0,14172.0,0.0,-253300.0,6664039500.0,341385500.0,0.0,-7005425000.0
12/08/2026,28000.0,28200.0,-200.0,-0.0070922,27950.0,28250.0,27900.0,804695.0,22550520350.0,0.0,0.0,804695.0,22550520350.0,36147.0,-23047.0,1100.0,-13100.0,1004062600.0,-636697600.0,30965000.0,-367365000.0
