NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,51900.0,52400.0,-500.0,-0.00954198,52400.0,52500.0,51700.0,90785.0,4715908800.0,0.0,0.0,90785.0,4715908800.0,12831.0,-1900.0,0.0,-10931.0,666222200.0,-99390000.0,0.0,-566832200.0
27/08/2026,52400.0,52400.0,0.0,0.0,52400.0,52500.0,52000.0,36046.0,1884097300.0,265000.0,13780000000.0,301046.0,15664097300.0,-20469.0,20599.0,0.0,-130.0,-1068395500.0,1075261500.0,0.0,-6866000.0
26/08/2026,52400.0,52000.0,400.0,0.00769231,52000.0,52500.0,51500.0,338274.0,17599383000.0,4831000.0,249806500000.0,5169274.0,267405883000.0,-19226.0,196126.0,0.0,-176900.0,-984684400.0,10210734400.0,0.0,-9226050000.0
25/08/2026,52000.0,52000.0,0.0,0.0,51800.0,52000.0,51400.0,368940.0,19114036500.0,4101000.0,212305200000.0,4469940.0,231419236500.0,-21700.0,5400.0,0.0,16300.0,-1121724600.0,280904600.0,0.0,840820000.0
24/08/2026,52000.0,51700.0,300.0,0.00580271,51800.0,52000.0,51300.0,410370.0,21251908500.0,4790000.0,247583000000.0,5200370.0,268834908500.0,-23643.0,17343.0,100.0,6300.0,-1226156900.0,901276900.0,5200000.0,324880000.0
21/08/2026,51700.0,51700.0,0.0,0.0,51600.0,51800.0,51100.0,42200.0,2169654600.0,2510000.0,129058000000.0,2552200.0,131227654600.0,-5781.0,481.0,0.0,5300.0,-295505800.0,24835800.0,0.0,270670000.0
20/08/2026,51700.0,51300.0,400.0,0.00779727,51300.0,51800.0,50600.0,86828.0,4470907700.0,2396000.0,122914800000.0,2482828.0,127385707700.0,-3397.0,-3203.0,0.0,6600.0,-174725000.0,-165185000.0,0.0,339910000.0
19/08/2026,51300.0,51400.0,-100.0,-0.00194553,51300.0,51600.0,50700.0,93228.0,4777876200.0,10455000.0,537387000000.0,10548228.0,542164876200.0,227.0,2573.0,0.0,-2800.0,12295100.0,130774900.0,0.0,-143070000.0
18/08/2026,51400.0,51400.0,0.0,0.0,51000.0,51700.0,50500.0,90810.0,4656424300.0,1781000.0,91543400000.0,1871810.0,96199824300.0,-7291.0,-704.0,0.0,7995.0,-365016200.0,-38078800.0,0.0,403095000.0
17/08/2026,51400.0,51400.0,0.0,0.0,51400.0,51800.0,50800.0,84609.0,4359691800.0,1877800.0,97134040000.0,1962409.0,101493731800.0,979.0,-679.0,100.0,-300.0,50851901.0,-35021900.0,5140000.0,-15830000.0
