NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,17300.0,17600.0,-300.0,-0.01704545,17650.0,17750.0,17250.0,6940365.0,120424255250.0,0.0,0.0,6940365.0,120424255250.0,0.0,3600.0,3600.0,-2901100.0,0.0,62515000.0,62515000.0,-50301635000.0
03/09/2026,17600.0,18200.0,-600.0,-0.03296703,18050.0,18100.0,17500.0,6715455.0,118856177150.0,0.0,0.0,6715455.0,118856177150.0,1030305.0,0.0,3600.0,-1033905.0,18276867200.0,0.0,63630000.0,-18340497200.0
28/08/2026,18200.0,18400.0,-200.0,-0.01086957,18400.0,18400.0,18100.0,4352951.0,79347919700.0,0.0,0.0,4352951.0,79347919700.0,398662.0,52121.0,0.0,-450783.0,7266767600.0,954363600.0,-60000.0,-8221131200.0
27/08/2026,18400.0,18400.0,0.0,0.0,18450.0,18550.0,18200.0,3548689.0,65150108600.0,0.0,0.0,3548689.0,65150108600.0,1016840.0,-503040.0,-3600.0,-513800.0,18679114150.0,-9243294150.0,-65880000.0,-9435820000.0
26/08/2026,18400.0,18200.0,200.0,0.01098901,18300.0,18500.0,18000.0,5470983.0,99928048550.0,0.0,0.0,5470983.0,99928048550.0,-412631.0,-681469.0,1200.0,1094100.0,-7595961549.0,-12397503450.0,22680000.0,19993465000.0
25/08/2026,18200.0,18550.0,-350.0,-0.01886792,18550.0,18550.0,18150.0,5390900.0,98536127800.0,0.0,0.0,5390900.0,98536127800.0,899900.0,-833500.0,2400.0,-66400.0,16525155000.0,-15321960000.0,44155000.0,-1203195000.0
24/08/2026,18550.0,18000.0,550.0,0.03055556,18200.0,18800.0,18000.0,11398886.0,209271158500.0,0.0,0.0,11398886.0,209271158500.0,2168081.0,-1704471.0,-14600.0,-463610.0,39796785700.0,-31101179200.0,-270315000.0,-8695606500.0
21/08/2026,18000.0,17150.0,850.0,0.04956268,17200.0,18100.0,17100.0,6267971.0,111002082600.0,0.0,0.0,6267971.0,111002082600.0,385334.0,-1667158.0,0.0,1281824.0,6907180051.0,-29640533350.0,0.0,22733353300.0
20/08/2026,17150.0,17400.0,-250.0,-0.01436782,17450.0,17500.0,17100.0,3053759.0,52608173950.0,400000.0,7268400000.0,3453759.0,59876573950.0,591612.0,-447470.0,1200.0,-144142.0,10192530000.0,-7722017550.0,20760000.0,-2470512450.0
19/08/2026,17400.0,17700.0,-300.0,-0.01694915,17700.0,17750.0,17050.0,4198714.0,73091869800.0,900000.0,15750000000.0,5098714.0,88841869800.0,806494.0,-83243.0,1184.0,-723251.0,14117195501.0,-1488008250.0,20903000.0,-12629187250.0
