NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,4870.0,4830.0,40.0,0.00828157,4840.0,4870.0,4800.0,1548177.0,7483897490.0,445000.0,2047000000.0,1993177.0,9530897490.0,-82200.0,0.0,0.0,82200.0,-396727000.0,0.0,0.0,396727000.0
03/09/2026,4830.0,4850.0,-20.0,-0.00412371,4830.0,4830.0,4800.0,857269.0,4123386840.0,515000.0,2369000000.0,1372269.0,6492386840.0,171900.0,0.0,0.0,-171900.0,826400000.0,0.0,0.0,-826400000.0
28/08/2026,4850.0,4890.0,-40.0,-0.00817996,4900.0,4900.0,4840.0,803559.0,3906672720.0,0.0,0.0,803559.0,3906672720.0,-27015.0,125715.0,0.0,-98700.0,-129631710.0,607649710.0,0.0,-478018000.0
27/08/2026,4890.0,4890.0,0.0,0.0,4870.0,4900.0,4820.0,1278466.0,6213989420.0,0.0,0.0,1278466.0,6213989420.0,272540.0,-364440.0,0.0,91900.0,1325118250.0,-1772045250.0,0.0,446927000.0
26/08/2026,4890.0,4860.0,30.0,0.00617284,4860.0,4890.0,4830.0,1820142.0,8840376680.0,0.0,0.0,1820142.0,8840376680.0,53897.0,-1197.0,0.0,-52700.0,260107320.0,-4944321.0,0.0,-255163000.0
25/08/2026,4860.0,4880.0,-20.0,-0.00409836,4880.0,4900.0,4840.0,1724985.0,8380938370.0,2975000.0,14875000000.0,4699985.0,23255938370.0,117039.0,-77139.0,0.0,-39900.0,570315010.0,-377685010.0,0.0,-192630000.0
24/08/2026,4880.0,4850.0,30.0,0.00618557,4930.0,4930.0,4840.0,4086066.0,19970283570.0,0.0,0.0,4086066.0,19970283570.0,-484045.0,80645.0,0.0,403400.0,-2380271530.0,408415530.0,0.0,1971856000.0
21/08/2026,4850.0,4770.0,80.0,0.01677149,4780.0,4880.0,4750.0,2974920.0,14292310700.0,0.0,0.0,2974920.0,14292310700.0,-126218.0,-278382.0,0.0,404600.0,-590240230.0,-1351606770.0,0.0,1941847000.0
20/08/2026,4770.0,4770.0,0.0,0.0,4770.0,4790.0,4750.0,1591747.0,7587435670.0,0.0,0.0,1591747.0,7587435670.0,-56729.0,102229.0,0.0,-45500.0,-268149040.0,484867040.0,0.0,-216718000.0
19/08/2026,4770.0,4770.0,0.0,0.0,4770.0,4780.0,4740.0,1468802.0,6987908930.0,0.0,0.0,1468802.0,6987908930.0,-424229.0,429129.0,0.0,-4900.0,-2017997731.0,2041488730.0,0.0,-23491000.0
18/08/2026,4770.0,4770.0,0.0,0.0,4770.0,4780.0,4750.0,1569110.0,7477717650.0,0.0,0.0,1569110.0,7477717650.0,-355615.0,340315.0,0.0,15300.0,-1693640960.0,1620718960.0,0.0,72922000.0
17/08/2026,4770.0,4740.0,30.0,0.00632911,4750.0,4790.0,4720.0,2366753.0,11238195010.0,0.0,0.0,2366753.0,11238195010.0,-125453.0,-65447.0,0.0,190900.0,-596787979.0,-309717020.0,0.0,906505000.0
14/08/2026,4740.0,4800.0,-60.0,-0.0125,4780.0,4800.0,4740.0,1823947.0,8688829820.0,0.0,0.0,1823947.0,8688829820.0,-765071.0,731171.0,0.0,33900.0,-3647089630.0,3485226630.0,0.0,161863000.0
13/08/2026,4800.0,4810.0,-10.0,-0.002079,4810.0,4820.0,4780.0,2009733.0,9649308230.0,0.0,0.0,2009733.0,9649308230.0,-53564.0,35964.0,0.0,17600.0,-257202760.0,172367760.0,0.0,84835000.0
12/08/2026,4810.0,4780.0,30.0,0.00627615,4780.0,4810.0,4760.0,2150096.0,10281922080.0,0.0,0.0,2150096.0,10281922080.0,-259343.0,286543.0,0.0,-27200.0,-1236737200.0,1366756200.0,0.0,-130019000.0
