NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,2320.0,2330.0,-10.0,-0.00429185,2330.0,2340.0,2320.0,23100.0,53817000.0,0.0,0.0,23100.0,53817000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,2330.0,2320.0,10.0,0.00431034,2320.0,2350.0,2300.0,23400.0,54146000.0,0.0,0.0,23400.0,54146000.0,17200.0,-17200.0,0.0,0.0,39759000.0,-39759000.0,0.0,0.0
27/08/2026,2320.0,2340.0,-20.0,-0.00854701,2350.0,2350.0,2320.0,16409.0,38237060.0,0.0,0.0,16409.0,38237060.0,11400.0,-11400.0,0.0,0.0,26516001.0,-26516000.0,0.0,0.0
26/08/2026,2340.0,2320.0,20.0,0.00862069,2360.0,2360.0,2310.0,28800.0,67220000.0,0.0,0.0,28800.0,67220000.0,2100.0,-2100.0,0.0,0.0,4914000.0,-4914000.0,0.0,0.0
25/08/2026,2320.0,2270.0,50.0,0.02202643,2350.0,2360.0,2290.0,19909.0,46588700.0,0.0,0.0,19909.0,46588700.0,11009.0,-11009.0,0.0,0.0,25854701.0,-25854700.0,0.0,0.0
24/08/2026,2270.0,2360.0,-90.0,-0.03813559,2280.0,2360.0,2230.0,2002.0,4608720.0,0.0,0.0,2002.0,4608720.0,-500.0,500.0,0.0,0.0,-1140000.0,1140000.0,0.0,0.0
21/08/2026,2360.0,2350.0,10.0,0.00425532,2350.0,2360.0,2270.0,20611.0,47414480.0,0.0,0.0,20611.0,47414480.0,18299.0,-18299.0,0.0,0.0,42013120.0,-42013120.0,0.0,0.0
20/08/2026,2350.0,2340.0,10.0,0.0042735,2350.0,2350.0,2310.0,1200.0,2789000.0,0.0,0.0,1200.0,2789000.0,100.0,-100.0,0.0,0.0,232000.0,-232000.0,0.0,0.0
19/08/2026,2340.0,2310.0,30.0,0.01298701,2310.0,2340.0,2290.0,6200.0,14372000.0,0.0,0.0,6200.0,14372000.0,1600.0,-1600.0,0.0,0.0,3703000.0,-3703000.0,0.0,0.0
18/08/2026,2310.0,2280.0,30.0,0.01315789,2300.0,2350.0,2130.0,16800.0,37617000.0,0.0,0.0,16800.0,37617000.0,-6700.0,6400.0,0.0,300.0,-14885000.0,14204000.0,0.0,681000.0
17/08/2026,2280.0,2350.0,-70.0,-0.02978723,2350.0,2360.0,2210.0,10147.0,23054450.0,0.0,0.0,10147.0,23054450.0,4000.0,-4000.0,0.0,0.0,8984000.0,-8984000.0,0.0,0.0
14/08/2026,2350.0,2340.0,10.0,0.0042735,2360.0,2360.0,2320.0,2001.0,4658360.0,0.0,0.0,2001.0,4658360.0,1500.0,-1500.0,0.0,0.0,3482000.0,-3482000.0,0.0,0.0
13/08/2026,2340.0,2330.0,10.0,0.00429185,2350.0,2370.0,2340.0,40769.0,96255790.0,0.0,0.0,40769.0,96255790.0,28900.0,-28900.0,0.0,0.0,68187001.0,-68187000.0,0.0,0.0
12/08/2026,2330.0,2360.0,-30.0,-0.01271186,2350.0,2350.0,2330.0,4000.0,9358000.0,0.0,0.0,4000.0,9358000.0,2100.0,-2100.0,0.0,0.0,4893000.0,-4893000.0,0.0,0.0
11/08/2026,2360.0,2370.0,-10.0,-0.00421941,2370.0,2370.0,2340.0,2082.0,4905680.0,0.0,0.0,2082.0,4905680.0,-500.0,500.0,0.0,0.0,-1176000.0,1176000.0,0.0,0.0
10/08/2026,2370.0,2350.0,20.0,0.00851064,2350.0,2370.0,2350.0,3502.0,8243740.0,0.0,0.0,3502.0,8243740.0,-1102.0,1102.0,0.0,0.0,-2597740.0,2597740.0,0.0,0.0
07/08/2026,2350.0,2340.0,10.0,0.0042735,2310.0,2370.0,2300.0,5806.0,13478090.0,0.0,0.0,5806.0,13478090.0,4095.0,-4095.0,0.0,0.0,9459250.0,-9459250.0,0.0,0.0
06/08/2026,2340.0,2340.0,0.0,0.0,2360.0,2360.0,2310.0,10700.0,24747000.0,0.0,0.0,10700.0,24747000.0,10200.0,-10200.0,0.0,0.0,23575000.0,-23575000.0,0.0,0.0
05/08/2026,2340.0,2340.0,0.0,0.0,2350.0,2360.0,2190.0,6712.0,15681300.0,0.0,0.0,6712.0,15681300.0,1690.0,-1690.0,0.0,0.0,3950399.0,-3950400.0,0.0,0.0
04/08/2026,2340.0,2340.0,0.0,0.0,2350.0,2400.0,2340.0,10200.0,23901000.0,0.0,0.0,10200.0,23901000.0,-5700.0,5700.0,0.0,0.0,-13337000.0,13337000.0,0.0,0.0
03/08/2026,2340.0,2280.0,60.0,0.02631579,2300.0,2340.0,2290.0,17606.0,40767680.0,0.0,0.0,17606.0,40767680.0,-11700.0,11700.0,0.0,0.0,-27171000.0,27171000.0,0.0,0.0
31/07/2026,2280.0,2300.0,-20.0,-0.00869565,2300.0,2300.0,2220.0,7304.0,16550490.0,0.0,0.0,7304.0,16550490.0,2700.0,-2700.0,0.0,0.0,6138000.0,-6138000.0,0.0,0.0
30/07/2026,2300.0,2310.0,-10.0,-0.004329,2340.0,2340.0,2270.0,3701.0,8476320.0,0.0,0.0,3701.0,8476320.0,201.0,-201.0,0.0,0.0,457320.0,-457320.0,0.0,0.0
29/07/2026,2310.0,2310.0,0.0,0.0,2310.0,2360.0,2260.0,8700.0,19796000.0,0.0,0.0,8700.0,19796000.0,-4900.0,4900.0,0.0,0.0,-11096000.0,11096000.0,0.0,0.0
28/07/2026,2310.0,2330.0,-20.0,-0.00858369,2340.0,2340.0,2220.0,7802.0,17913560.0,0.0,0.0,7802.0,17913560.0,-4901.0,4901.0,0.0,0.0,-11216280.0,11216279.0,0.0,0.0
27/07/2026,2330.0,2310.0,20.0,0.00865801,2310.0,2360.0,2230.0,8014.0,18502500.0,0.0,0.0,8014.0,18502500.0,2896.0,-2896.0,0.0,0.0,6892600.0,-6892600.0,0.0,0.0
24/07/2026,2310.0,2350.0,-40.0,-0.01702128,2360.0,2440.0,2260.0,10040.0,23088400.0,0.0,0.0,10040.0,23088400.0,1500.0,-1500.0,0.0,0.0,3475000.0,-3475000.0,0.0,0.0
23/07/2026,2350.0,2370.0,-20.0,-0.00843882,2360.0,2360.0,2210.0,10500.0,24084000.0,0.0,0.0,10500.0,24084000.0,-2300.0,2300.0,0.0,0.0,-4986000.0,4986000.0,0.0,0.0
22/07/2026,2370.0,2380.0,-10.0,-0.00420168,2380.0,2380.0,2300.0,5100.0,11876000.0,0.0,0.0,5100.0,11876000.0,-1400.0,1400.0,0.0,0.0,-3317000.0,3317000.0,0.0,0.0
21/07/2026,2380.0,2390.0,-10.0,-0.0041841,2390.0,2450.0,2360.0,5600.0,13401000.0,0.0,0.0,5600.0,13401000.0,-2700.0,2700.0,0.0,0.0,-6466000.0,6466000.0,0.0,0.0
20/07/2026,2390.0,2390.0,0.0,0.0,2400.0,2420.0,2360.0,2632.0,6248270.0,0.0,0.0,2632.0,6248270.0,82.0,-82.0,0.0,0.0,186190.0,-186190.0,0.0,0.0
17/07/2026,2390.0,2450.0,-60.0,-0.0244898,2410.0,2480.0,2300.0,14529.0,34205180.0,0.0,0.0,14529.0,34205180.0,2527.0,-2500.0,0.0,-27.0,6015220.0,-5953000.0,0.0,-62220.0
16/07/2026,2450.0,2460.0,-10.0,-0.00406504,2450.0,2530.0,2350.0,6512.0,15848000.0,0.0,0.0,6512.0,15848000.0,-200.0,200.0,0.0,0.0,-514000.0,514000.0,0.0,0.0
15/07/2026,2460.0,2470.0,-10.0,-0.00404858,2450.0,2470.0,2450.0,1110.0,2727500.0,0.0,0.0,1110.0,2727500.0,-410.0,410.0,0.0,0.0,-1006500.0,1006500.0,0.0,0.0
14/07/2026,2470.0,2470.0,0.0,0.0,2460.0,2480.0,2450.0,6710.0,16562960.0,0.0,0.0,6710.0,16562960.0,-2100.0,2100.0,0.0,0.0,-5181000.0,5181000.0,0.0,0.0
13/07/2026,2470.0,2510.0,-40.0,-0.01593625,2500.0,2500.0,2440.0,6300.0,15642000.0,0.0,0.0,6300.0,15642000.0,-3100.0,3100.0,0.0,0.0,-7704000.0,7704000.0,0.0,0.0
10/07/2026,2510.0,2470.0,40.0,0.01619433,2470.0,2510.0,2470.0,19900.0,49530000.0,0.0,0.0,19900.0,49530000.0,-3200.0,3200.0,0.0,0.0,-7998000.0,7998000.0,0.0,0.0
09/07/2026,2470.0,2460.0,10.0,0.00406504,2470.0,2480.0,2450.0,13228.0,32545950.0,0.0,0.0,13228.0,32545950.0,1079.0,-1079.0,0.0,0.0,2636340.0,-2636340.0,0.0,0.0
08/07/2026,2460.0,2510.0,-50.0,-0.01992032,2500.0,2500.0,2460.0,5300.0,13105000.0,0.0,0.0,5300.0,13105000.0,-500.0,500.0,0.0,0.0,-1237000.0,1237000.0,0.0,0.0
07/07/2026,2510.0,2460.0,50.0,0.0203252,2460.0,2520.0,2440.0,11702.0,29068200.0,0.0,0.0,11702.0,29068200.0,-5300.0,5300.0,0.0,0.0,-13196000.0,13196000.0,0.0,0.0
06/07/2026,2460.0,2460.0,0.0,0.0,2480.0,2500.0,2400.0,11300.0,27699000.0,0.0,0.0,11300.0,27699000.0,-4100.0,4100.0,0.0,0.0,-10106000.0,10106000.0,0.0,0.0
03/07/2026,2460.0,2460.0,0.0,0.0,2460.0,2480.0,2430.0,16500.0,40452000.0,86000.0,196940000.0,102500.0,237392000.0,5200.0,-5200.0,0.0,0.0,12700000.0,-12700000.0,0.0,0.0
02/07/2026,2460.0,2530.0,-70.0,-0.02766798,2460.0,2520.0,2360.0,34480.0,82013400.0,0.0,0.0,34480.0,82013400.0,16400.0,-16400.0,0.0,0.0,38618999.0,-38619000.0,0.0,0.0
01/07/2026,2530.0,2520.0,10.0,0.00396825,2450.0,2540.0,2450.0,4507.0,11305780.0,90000.0,211500000.0,94507.0,222805780.0,600.0,-600.0,0.0,0.0,1525000.0,-1525000.0,0.0,0.0
