NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,34100.0,34100.0,0.0,0.0,34100.0,34100.0,33500.0,280817.0,9431284650.0,200000.0,6360000000.0,480817.0,15791284650.0,0.0,0.0,0.0,-29500.0,0.0,0.0,0.0,-996700000.0
28/08/2026,34100.0,34300.0,-200.0,-0.0058309,34100.0,34400.0,33850.0,269800.0,9222785000.0,100000.0,3190000000.0,369800.0,12412785000.0,-46000.0,-5400.0,0.0,51400.0,-1575215000.0,-184440000.0,0.0,1759655000.0
27/08/2026,34300.0,34150.0,150.0,0.00439239,34050.0,34300.0,33800.0,263101.0,8933650050.0,0.0,0.0,263101.0,8933650050.0,-17000.0,22100.0,0.0,-5100.0,-589230000.0,762825000.0,0.0,-173595000.0
26/08/2026,34150.0,34200.0,-50.0,-0.00146199,34200.0,34450.0,33800.0,232600.0,7899305000.0,0.0,0.0,232600.0,7899305000.0,4100.0,-6600.0,0.0,2500.0,140580000.0,-224005000.0,0.0,83425000.0
25/08/2026,34200.0,34100.0,100.0,0.00293255,33850.0,34500.0,33300.0,1006040.0,34093234650.0,0.0,0.0,1006040.0,34093234650.0,2100.0,-2800.0,0.0,700.0,71015000.0,-95490000.0,0.0,24475000.0
24/08/2026,34100.0,34950.0,-850.0,-0.02432046,34800.0,34900.0,32550.0,541521.0,18620741000.0,4086500.0,133219900000.0,4628021.0,151840641000.0,24401.0,-28501.0,0.0,4100.0,799040000.0,-938090000.0,0.0,139050000.0
21/08/2026,34950.0,34950.0,0.0,0.0,34700.0,34950.0,34250.0,358037.0,12431925950.0,88000.0,2864400000.0,446037.0,15296325950.0,3600.0,-3700.0,0.0,100.0,126505000.0,-129180000.0,0.0,2675000.0
20/08/2026,34950.0,35000.0,-50.0,-0.00142857,34800.0,34950.0,34400.0,270600.0,9352900000.0,266000.0,8872000000.0,536600.0,18224900000.0,38400.0,-36400.0,0.0,-2000.0,1325755000.0,-1256035000.0,0.0,-69720000.0
19/08/2026,35000.0,35000.0,0.0,0.0,34400.0,35000.0,34400.0,178000.0,6176275000.0,1734000.0,58956000000.0,1912000.0,65132275000.0,6900.0,-4000.0,0.0,-2900.0,240505000.0,-139390000.0,0.0,-101115000.0
18/08/2026,35000.0,34950.0,50.0,0.00143062,35000.0,35200.0,34500.0,107800.0,3759635000.0,172000.0,5676000000.0,279800.0,9435635000.0,5800.0,-2100.0,0.0,-3700.0,201760000.0,-73510000.0,0.0,-128250000.0
