NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,22300.0,23600.0,-1300.0,-0.05508475,22300.0,22300.0,22300.0,100.0,2230000.0,0.0,0.0,100.0,2230000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,23600.0,24900.0,-1300.0,-0.05220884,23600.0,23600.0,23600.0,109.0,2573200.0,0.0,0.0,109.0,2573200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,24900.0,24900.0,0.0,0.0,24900.0,24900.0,24900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,24900.0,24500.0,400.0,0.01632653,24900.0,24900.0,24900.0,101.0,2514500.0,0.0,0.0,101.0,2514500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,24500.0,25400.0,-900.0,-0.03543307,24500.0,24500.0,24500.0,1501.0,36775400.0,0.0,0.0,1501.0,36775400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,25400.0,25400.0,0.0,0.0,25400.0,25400.0,25400.0,1300.0,33020000.0,0.0,0.0,1300.0,33020000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/08/2026,25400.0,25400.0,0.0,0.0,25400.0,25400.0,25400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,25400.0,25400.0,0.0,0.0,25400.0,25400.0,25400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,25400.0,25400.0,0.0,0.0,25400.0,25400.0,25400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,25400.0,25400.0,0.0,0.0,25400.0,25400.0,25400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,25400.0,25400.0,0.0,0.0,25400.0,25400.0,25400.0,5.0,127000.0,0.0,0.0,5.0,127000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,25400.0,25400.0,0.0,0.0,25400.0,25400.0,25400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/08/2026,25400.0,25400.0,0.0,0.0,25400.0,25400.0,25400.0,4.0,101600.0,0.0,0.0,4.0,101600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/08/2026,25400.0,23750.0,1650.0,0.06947368,25400.0,25400.0,25400.0,4868.0,123646700.0,0.0,0.0,4868.0,123646700.0,32.0,-32.0,0.0,0.0,813300.0,-813300.0,0.0,0.0
11/08/2026,23750.0,22200.0,1550.0,0.06981982,23750.0,23750.0,23750.0,2532.0,60135000.0,0.0,0.0,2532.0,60135000.0,-32.0,32.0,0.0,0.0,-760000.0,760000.0,0.0,0.0
10/08/2026,22200.0,23500.0,-1300.0,-0.05531915,22200.0,22200.0,22200.0,111.0,2493500.0,0.0,0.0,111.0,2493500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/08/2026,23500.0,22000.0,1500.0,0.06818182,23300.0,23500.0,23300.0,2300.0,53900000.0,0.0,0.0,2300.0,53900000.0,100.0,-100.0,0.0,0.0,2350000.0,-2350000.0,0.0,0.0
06/08/2026,22000.0,23500.0,-1500.0,-0.06382979,22000.0,22000.0,22000.0,400.0,8800000.0,0.0,0.0,400.0,8800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/08/2026,23500.0,23500.0,0.0,0.0,23500.0,23500.0,23500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
