NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,27950.0,27600.0,350.0,0.01268116,27600.0,28100.0,27550.0,31152.0,866051700.0,0.0,0.0,31152.0,866051700.0,-1200.0,0.0,0.0,1200.0,-33510000.0,0.0,0.0,33510000.0
28/08/2026,27600.0,28000.0,-400.0,-0.01428571,27350.0,28500.0,27350.0,14804.0,410762000.0,0.0,0.0,14804.0,410762000.0,-10100.0,-1400.0,0.0,11500.0,-280225000.0,-38965000.0,0.0,319190000.0
27/08/2026,28000.0,27950.0,50.0,0.00178891,27950.0,28300.0,27800.0,35112.0,977570400.0,0.0,0.0,35112.0,977570400.0,23690.0,-29390.0,0.0,5700.0,657640500.0,-817300500.0,0.0,159660000.0
26/08/2026,27950.0,27900.0,50.0,0.00179211,27900.0,28000.0,27700.0,39222.0,1090897400.0,0.0,0.0,39222.0,1090897400.0,-34801.0,33301.0,0.0,1500.0,-968112900.0,926207900.0,0.0,41905000.0
25/08/2026,27900.0,27850.0,50.0,0.00179533,27600.0,28000.0,27600.0,32146.0,896834400.0,0.0,0.0,32146.0,896834400.0,-29396.0,26196.0,0.0,3200.0,-820165600.0,730865600.0,0.0,89300000.0
24/08/2026,27850.0,27750.0,100.0,0.0036036,27300.0,28200.0,27300.0,9686.0,270196200.0,0.0,0.0,9686.0,270196200.0,-3354.0,-546.0,0.0,3900.0,-93498500.0,-15211500.0,0.0,108710000.0
21/08/2026,27750.0,27000.0,750.0,0.02777778,27000.0,27750.0,27000.0,16758.0,462323600.0,0.0,0.0,16758.0,462323600.0,-12403.0,-1797.0,0.0,14200.0,-343126001.0,-49339000.0,0.0,392465000.0
20/08/2026,27000.0,27300.0,-300.0,-0.01098901,27300.0,27350.0,27000.0,6461.0,174905400.0,0.0,0.0,6461.0,174905400.0,-4710.0,1610.0,0.0,3100.0,-127588001.0,43853000.0,0.0,83735000.0
19/08/2026,27300.0,27400.0,-100.0,-0.00364964,27200.0,27500.0,26900.0,39775.0,1080791250.0,0.0,0.0,39775.0,1080791250.0,4375.0,-7875.0,0.0,3500.0,118981250.0,-214696250.0,0.0,95715000.0
18/08/2026,27400.0,27250.0,150.0,0.00550459,27250.0,27500.0,27150.0,33012.0,902518350.0,0.0,0.0,33012.0,902518350.0,28575.0,-30075.0,0.0,1500.0,781113251.0,-822208250.0,0.0,41095000.0
