NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,7130.0,7160.0,-30.0,-0.00418994,7160.0,7210.0,7120.0,776213.0,5551975200.0,0.0,0.0,776213.0,5551975200.0,97264.0,31236.0,0.0,-128500.0,695321430.0,224351570.0,0.0,-919673000.0
27/08/2026,7160.0,7230.0,-70.0,-0.00968188,7290.0,7290.0,7150.0,972822.0,7011507350.0,0.0,0.0,972822.0,7011507350.0,-151812.0,335612.0,0.0,-183800.0,-1095489291.0,2419988290.0,0.0,-1324499000.0
26/08/2026,7230.0,7270.0,-40.0,-0.00550206,7270.0,7280.0,7220.0,537334.0,3893457370.0,0.0,0.0,537334.0,3893457370.0,90935.0,17565.0,0.0,-108500.0,661438850.0,125550150.0,0.0,-786989000.0
25/08/2026,7270.0,7220.0,50.0,0.00692521,7260.0,7350.0,7250.0,1551648.0,11318414210.0,0.0,0.0,1551648.0,11318414210.0,120136.0,-174936.0,0.0,54800.0,881595820.0,-1280469820.0,0.0,398874000.0
24/08/2026,7220.0,7180.0,40.0,0.00557103,7250.0,7290.0,7170.0,1033026.0,7473045770.0,0.0,0.0,1033026.0,7473045770.0,-160640.0,92240.0,0.0,68400.0,-1158020859.0,663404860.0,0.0,494616000.0
21/08/2026,7180.0,7010.0,170.0,0.02425107,7010.0,7200.0,7000.0,1083744.0,7725483130.0,0.0,0.0,1083744.0,7725483130.0,-314359.0,196359.0,0.0,118000.0,-2254055331.0,1415254330.0,0.0,838801000.0
20/08/2026,7010.0,7020.0,-10.0,-0.0014245,7030.0,7090.0,7000.0,332106.0,2335413950.0,0.0,0.0,332106.0,2335413950.0,51933.0,-20833.0,0.0,-31100.0,365990300.0,-147038300.0,0.0,-218952000.0
19/08/2026,7020.0,7080.0,-60.0,-0.00847458,7080.0,7110.0,7010.0,289415.0,2037407160.0,0.0,0.0,289415.0,2037407160.0,-31256.0,44856.0,0.0,-13600.0,-219849260.0,316222260.0,0.0,-96373000.0
18/08/2026,7080.0,7120.0,-40.0,-0.00561798,7130.0,7150.0,7070.0,335179.0,2380604670.0,0.0,0.0,335179.0,2380604670.0,15570.0,-1370.0,0.0,-14200.0,109609590.0,-9253590.0,0.0,-100356000.0
17/08/2026,7120.0,7050.0,70.0,0.00992908,7120.0,7180.0,7050.0,772596.0,5497459840.0,0.0,0.0,772596.0,5497459840.0,-226445.0,114745.0,0.0,111700.0,-1605659351.0,809843350.0,0.0,795816000.0
14/08/2026,7050.0,7210.0,-160.0,-0.0221914,7260.0,7260.0,7050.0,893403.0,6373231180.0,0.0,0.0,893403.0,6373231180.0,11719.0,-30019.0,0.0,18300.0,81540071.0,-209796070.0,0.0,128256000.0
13/08/2026,7210.0,7400.0,-190.0,-0.02567568,7400.0,7480.0,7210.0,980212.0,7202566640.0,0.0,0.0,980212.0,7202566640.0,67849.0,69651.0,0.0,-137500.0,480094059.0,534448940.0,0.0,-1014543000.0
12/08/2026,7400.0,7320.0,80.0,0.01092896,7290.0,7580.0,7290.0,960344.0,7175858610.0,0.0,0.0,960344.0,7175858610.0,359974.0,-151974.0,0.0,-208000.0,2685711850.0,-1132042850.0,0.0,-1553669000.0
11/08/2026,7320.0,7310.0,10.0,0.00136799,7310.0,7400.0,7310.0,690589.0,5078613860.0,0.0,0.0,690589.0,5078613860.0,191398.0,-197998.0,0.0,6600.0,1406146440.0,-1454234440.0,0.0,48088000.0
10/08/2026,7310.0,7170.0,140.0,0.0195258,7200.0,7350.0,7170.0,1420397.0,10299919970.0,0.0,0.0,1420397.0,10299919970.0,-152445.0,-54955.0,0.0,207400.0,-1088464950.0,-415891050.0,0.0,1504356000.0
07/08/2026,7170.0,7180.0,-10.0,-0.00139276,7160.0,7240.0,7160.0,479779.0,3448251320.0,0.0,0.0,479779.0,3448251320.0,-23936.0,55936.0,0.0,-32000.0,-172471881.0,401310880.0,0.0,-228839000.0
06/08/2026,7180.0,7200.0,-20.0,-0.00277778,7240.0,7300.0,7170.0,635597.0,4586365090.0,715935.0,4796764500.0,1351532.0,9383129590.0,136404.0,-93104.0,0.0,-43300.0,985076381.0,-673489380.0,0.0,-311587000.0
