NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,26000.0,26000.0,0.0,0.0,26100.0,26100.0,25900.0,40014.0,1041689000.0,0.0,0.0,40014.0,1041689000.0,300.0,0.0,0.0,-300.0,7830000.0,0.0,0.0,-7830000.0
28/08/2026,26000.0,26200.0,-200.0,-0.00763359,26150.0,26300.0,25850.0,77178.0,2017022550.0,0.0,0.0,77178.0,2017022550.0,-6132.0,8432.0,0.0,-2300.0,-158971800.0,219221800.0,0.0,-60250000.0
27/08/2026,26200.0,26000.0,200.0,0.00769231,25900.0,26200.0,25700.0,135095.0,3513323000.0,0.0,0.0,135095.0,3513323000.0,5900.0,-8300.0,0.0,2400.0,153615000.0,-216015000.0,0.0,62400000.0
26/08/2026,26000.0,25900.0,100.0,0.003861,25800.0,26000.0,25800.0,79227.0,2051813300.0,0.0,0.0,79227.0,2051813300.0,9380.0,-9380.0,0.0,0.0,242822500.0,-242822500.0,0.0,0.0
25/08/2026,25900.0,25900.0,0.0,0.0,25700.0,25950.0,25700.0,106596.0,2757311050.0,0.0,0.0,106596.0,2757311050.0,11635.0,-11335.0,0.0,-300.0,301824051.0,-293984050.0,0.0,-7840000.0
24/08/2026,25900.0,25850.0,50.0,0.00193424,26150.0,26150.0,25750.0,182210.0,4722985250.0,0.0,0.0,182210.0,4722985250.0,24402.0,-23202.0,0.0,-1200.0,631626300.0,-600386300.0,0.0,-31240000.0
21/08/2026,25850.0,25950.0,-100.0,-0.00385356,25900.0,26000.0,25800.0,48148.0,1248197700.0,0.0,0.0,48148.0,1248197700.0,200.0,2400.0,0.0,-2600.0,5020000.0,62060000.0,0.0,-67080000.0
20/08/2026,25950.0,26250.0,-300.0,-0.01142857,26300.0,26300.0,25500.0,62710.0,1627981950.0,0.0,0.0,62710.0,1627981950.0,10724.0,-11324.0,0.0,600.0,283846200.0,-297561200.0,0.0,13715000.0
19/08/2026,26250.0,26500.0,-250.0,-0.00943396,26500.0,26500.0,25800.0,112338.0,2926580050.0,0.0,0.0,112338.0,2926580050.0,294.0,3706.0,0.0,-4000.0,9467000.0,95673000.0,0.0,-105140000.0
18/08/2026,26500.76,28550.0,50.0,0.00175131,26547.09,26639.75,26176.45,139311.0,3970518150.0,0.0,0.0,139311.0,3970518150.0,5700.0,1200.0,0.0,-6900.0,163045000.0,33630000.0,0.0,-196675000.0
17/08/2026,26454.43,28500.0,50.0,0.00175439,26500.76,26593.42,26361.77,113868.0,3250047100.0,0.0,0.0,113868.0,3250047100.0,-4780.0,4780.0,0.0,0.0,-135597000.0,135597000.0,0.0,0.0
14/08/2026,26408.1,28800.0,-300.0,-0.01041667,26917.73,26917.73,26361.77,84079.0,2405928400.0,0.0,0.0,84079.0,2405928400.0,11941.0,-5641.0,0.0,-6300.0,341765799.0,-161520800.0,0.0,-180245000.0
13/08/2026,26686.08,28850.0,-50.0,-0.0017331,26500.76,27056.72,26500.76,102993.0,2984089500.0,0.0,0.0,102993.0,2984089500.0,18428.0,-20528.0,0.0,2100.0,533634450.0,-594069450.0,0.0,60435000.0
12/08/2026,26732.41,29000.0,-150.0,-0.00517241,26917.73,26917.73,26315.44,94613.0,2739474350.0,0.0,0.0,94613.0,2739474350.0,2050.0,-1650.0,0.0,-400.0,59545250.0,-47950250.0,0.0,-11595000.0
11/08/2026,26871.4,29000.0,0.0,0.0,27103.05,27103.05,26408.1,237596.0,6874567700.0,0.0,0.0,237596.0,6874567700.0,48296.0,-51996.0,0.0,3700.0,1393259000.0,-1499404000.0,0.0,106145000.0
10/08/2026,26871.4,28000.0,1000.0,0.03571429,26269.11,27288.37,25991.13,288950.0,8293740600.0,0.0,0.0,288950.0,8293740600.0,41299.0,-41599.0,0.0,300.0,1181632000.0,-1190077000.0,0.0,8445000.0
07/08/2026,25944.8,27450.0,550.0,0.02003643,25481.5,26269.11,25435.17,279060.0,7808454450.0,0.0,0.0,279060.0,7808454450.0,51098.0,-59798.0,0.0,8700.0,1442404700.0,-1686009700.0,0.0,243605000.0
06/08/2026,25435.17,27650.0,-200.0,-0.00723327,25527.83,25666.82,25435.17,75852.0,2087407450.0,0.0,0.0,75852.0,2087407450.0,37763.0,-36463.0,0.0,-1300.0,1039306149.0,-1003486150.0,0.0,-35820000.0
05/08/2026,25620.49,27500.0,150.0,0.00545455,25527.83,25666.82,25481.5,136003.0,3751053000.0,0.0,0.0,136003.0,3751053000.0,27700.0,-22900.0,0.0,-4800.0,762310000.0,-630340000.0,0.0,-131970000.0
04/08/2026,25481.5,27550.0,-50.0,-0.00181488,25481.5,25713.15,25481.5,68001.0,1873088300.0,0.0,0.0,68001.0,1873088300.0,5001.0,-5001.0,0.0,0.0,137768300.0,-137768300.0,0.0,0.0
03/08/2026,25527.83,27400.0,150.0,0.00547445,25203.52,25805.81,25064.53,86968.0,2400585450.0,0.0,0.0,86968.0,2400585450.0,34500.0,-45200.0,0.0,10700.0,952130000.0,-1248090000.0,0.0,295960000.0
31/07/2026,25388.84,27600.0,-200.0,-0.00724638,25898.47,25898.47,25018.2,30910.0,850328200.0,0.0,0.0,30910.0,850328200.0,18600.0,-21400.0,0.0,2800.0,511740001.0,-588670000.0,0.0,76930000.0
30/07/2026,25574.16,27450.0,150.0,0.00546448,25342.51,25759.48,25110.86,118812.0,3266664900.0,0.0,0.0,118812.0,3266664900.0,38500.0,-59700.0,0.0,21200.0,1061170000.0,-1643870000.0,0.0,582700000.0
29/07/2026,25435.17,27450.0,0.0,0.0,25481.5,25666.82,25388.84,56014.0,1537105000.0,0.0,0.0,56014.0,1537105000.0,8500.0,-21100.0,0.0,12600.0,233190000.0,-579190000.0,0.0,346000000.0
28/07/2026,25435.17,27250.0,200.0,0.00733945,25296.18,25435.17,25157.19,49909.0,1360369900.0,0.0,0.0,49909.0,1360369900.0,3494.0,1906.0,0.0,-5400.0,95041801.0,51878200.0,0.0,-146920000.0
27/07/2026,25249.85,27650.0,-400.0,-0.01446655,25666.82,25713.15,25249.85,49600.0,1367075000.0,0.0,0.0,49600.0,1367075000.0,40700.0,-37500.0,0.0,-3200.0,1122115000.0,-1033715000.0,0.0,-88400000.0
24/07/2026,25620.49,27500.0,150.0,0.00545455,25388.84,25620.49,25388.84,41801.0,1149992500.0,0.0,0.0,41801.0,1149992500.0,600.0,2400.0,0.0,-3000.0,17180000.0,65475000.0,0.0,-82655000.0
23/07/2026,25481.5,27400.0,100.0,0.00364964,25296.18,25620.49,25203.52,127670.0,3504180600.0,0.0,0.0,127670.0,3504180600.0,3599.0,-12399.0,0.0,8800.0,98968000.0,-340263000.0,0.0,241295000.0
22/07/2026,25388.84,27700.0,-300.0,-0.01083032,25574.16,25713.15,25018.2,72747.0,1994050300.0,0.0,0.0,72747.0,1994050300.0,-3913.0,7113.0,0.0,-3200.0,-104861700.0,194671699.0,0.0,-89810000.0
21/07/2026,25666.82,27700.0,0.0,0.0,25481.5,25944.8,25481.5,35711.0,989550350.0,0.0,0.0,35711.0,989550350.0,7299.0,-11499.0,0.0,4200.0,202587100.0,-318552100.0,0.0,115965000.0
20/07/2026,25666.82,28150.0,-450.0,-0.01598579,25944.8,25991.13,24647.56,52851.0,1462628000.0,0.0,0.0,52851.0,1462628000.0,-360.0,3760.0,0.0,-3400.0,-8401000.0,102816000.0,0.0,-94415000.0
17/07/2026,26083.79,28200.0,-50.0,-0.00177305,25991.13,26269.11,25944.8,51005.0,1435991800.0,0.0,0.0,51005.0,1435991800.0,5200.0,-3100.0,0.0,-2100.0,146600000.0,-87285000.0,0.0,-59315000.0
16/07/2026,26130.12,28550.0,-350.0,-0.01225919,26408.1,26408.1,25759.48,68727.0,1928920350.0,0.0,0.0,68727.0,1928920350.0,5900.0,-7700.0,0.0,1800.0,168015000.0,-217325000.0,0.0,49310000.0
15/07/2026,26454.43,28800.0,-250.0,-0.00868056,26686.08,26686.08,26130.12,66425.0,1901381000.0,0.0,0.0,66425.0,1901381000.0,12580.0,-31180.0,0.0,18600.0,359708000.0,-895388000.0,0.0,535680000.0
14/07/2026,26686.08,28800.0,0.0,0.0,26686.08,26686.08,26037.46,85106.0,2429877800.0,0.0,0.0,85106.0,2429877800.0,61200.0,-61900.0,0.0,700.0,1749895001.0,-1768795000.0,0.0,18900000.0
13/07/2026,26686.08,28900.0,-100.0,-0.00346021,27010.39,27010.39,26408.1,84520.0,2421602250.0,0.0,0.0,84520.0,2421602250.0,26597.0,-26797.0,0.0,200.0,761494000.0,-767169000.0,0.0,5675000.0
10/07/2026,26778.74,29000.0,-100.0,-0.00344828,26871.4,27288.37,26778.74,25682.0,750388700.0,0.0,0.0,25682.0,750388700.0,3500.0,-2200.0,0.0,-1300.0,103378301.0,-65278300.0,0.0,-38100000.0
09/07/2026,26871.4,28750.0,250.0,0.00869565,26639.75,26964.06,26500.76,238564.0,6859832350.0,0.0,0.0,238564.0,6859832350.0,24302.0,-29102.0,0.0,4800.0,699906750.0,-837921750.0,0.0,138015000.0
08/07/2026,26639.75,28650.0,100.0,0.0034904,26686.08,26778.74,26593.42,25730.0,741065950.0,0.0,0.0,25730.0,741065950.0,6900.0,-7600.0,0.0,700.0,199019951.0,-219199950.0,0.0,20180000.0
07/07/2026,26547.09,28700.0,-50.0,-0.00174216,26686.08,26686.08,26408.1,23397.0,670344400.0,0.0,0.0,23397.0,670344400.0,744.0,-944.0,0.0,200.0,21402900.0,-27107900.0,0.0,5705000.0
06/07/2026,26593.42,28700.0,0.0,0.0,26593.42,26917.73,26315.44,78372.0,2256322100.0,0.0,0.0,78372.0,2256322100.0,30318.0,-31918.0,0.0,1600.0,874526600.0,-920636600.0,0.0,46110000.0
03/07/2026,26593.42,29000.0,-300.0,-0.01034483,27056.72,27056.72,26500.76,54929.0,1583579800.0,0.0,0.0,54929.0,1583579800.0,24400.0,-25700.0,0.0,1300.0,702355000.0,-739755000.0,0.0,37400000.0
02/07/2026,26871.4,28700.0,300.0,0.01045296,26593.42,27056.72,26593.42,63898.0,1853013400.0,0.0,0.0,63898.0,1853013400.0,24139.0,-26139.0,0.0,2000.0,699285200.0,-757425200.0,0.0,58140000.0
